WaveAmplitudeInput [Volt],WaveFrequencyInput [Hz],WindCondition,Mooring,per_tag,run_tag,Kt_wall,Kt_far,Kt_mean,probe_disagree_frac
0.1,1.3,full,loose230,per240,run1,0.7851491424047029,0.838770444120656,0.8110745142065084,0.06611143708344973
0.1,1.3,full,loose230,per240,run1,0.8251233380333269,0.7811229023377513,0.8025204609254766,0.05482780544290897
0.1,1.3,full,loose230,per40,run1,0.8284217813651246,0.8204003332900186,0.8243915453290819,0.00973014354714658
0.1,1.3,full,loose230,per40,run2,0.8891720470231296,0.8721588473028609,0.8805832794778503,0.019320375615531606
0.1,1.3,full,loose300,per240,run1,0.7638261020079685,0.7353019502513216,0.7492926593067075,0.03806810516873239
0.1,1.3,full,loose300,per240,run1,0.794594087123236,0.767488782251346,0.7808062686898263,0.03471450724566036
0.1,1.3,full,loose300,per40,run1,0.6926976005203712,0.7384670067855733,0.714850438660233,0.06402654847772458
0.1,1.3,full,loose300,per40,run2,0.7948776804398536,0.7663916681721785,0.7803748047019546,0.03650298817445119
0.1,1.3,full,loose300,per40,run2,0.8033261631950069,0.7258656288558955,0.7626340314603618,0.10156973219616613
0.1,1.3,full,loose300,per40,run3,0.7542723093240885,0.7546956794811576,0.7544839350102797,0.0005611387299628721
0.1,1.3,no,loose230,per240,run1,0.6653814900149093,0.6700481133126224,0.6677066479681504,0.006989032252282825
0.1,1.3,no,loose230,per240,run2,0.6246305358953399,0.6227533301605368,0.6236905205111236,0.0030098352837954027
0.1,1.3,no,loose300,per240,run1,0.6561115639170055,0.6683673637173986,0.662182760525963,0.01850818313460535
0.1,1.3,no,loose300,per240,run2,0.6587771123628245,0.6668609882894133,0.6627944021774408,0.012196656912054885
0.1,1.3,no,loose300,per240,run3,0.6554232822551324,0.6667383654836977,0.6610324065262375,0.01711728973777055
0.1,1.3,no,loose300,per240,run4,0.6169201919127684,0.6146278280343122,0.6157718765073391,0.003722748579325374
0.1,1.3,no,loose300,per40,run1,0.6676233051642176,0.6946432617323302,0.6808653189871752,0.039684730319802734
0.1,1.3,no,loose300,per40,run2,0.7044739669215514,0.7160887046145913,0.7102338538320818,0.016353399138005497
0.1,1.3,no,loose300,per40,run3,0.6557658964245233,0.6637967751001836,0.6597568977369019,0.012172481565873496
0.1,1.4,full,loose230,per240,run1,0.8069622700715083,0.8179333424021882,0.8124107686489684,0.013504341343141763
0.1,1.4,full,loose300,per240,run1,0.6832683854365493,0.6033441208401771,0.6408238087193528,0.12472112226306947
0.1,1.4,full,loose300,per40,run1,0.7111219840470455,0.7091952152661373,0.7101572927520715,0.002713157775851947
0.1,1.4,no,loose300,per240,run1,0.4867413128348753,0.4696676363071757,0.47805207614855466,0.03571509753760383
0.1,1.4,no,loose300,per40,run1,0.5315709260486731,0.5217510517912534,0.5266152147253389,0.018647152575227723
0.1,1.5,full,loose230,per240,run1,0.8217310834837933,0.7141613290271919,0.7641792587858661,0.14076507994669876
0.1,1.5,full,loose300,per240,run1,0.6186269731536954,0.8193621833747465,0.7049838242750296,0.2847373277358204
0.1,1.5,full,loose300,per40,run1,0.6183701238105709,0.61443486394483,0.6163962129693796,0.006384302471268308
0.1,1.5,no,loose300,per240,run1,0.4324170126317707,0.4504142865964375,0.44123220467369334,0.040788668129916855
0.1,1.5,no,loose300,per40,run1,0.4547438114199559,0.4739089502192782,0.46412861984782555,0.04129273218619011
0.1,1.6,full,loose230,per240,run1,0.68559508065461,0.6119305073929024,0.6466717102702577,0.1139134000943408
0.1,1.6,full,loose300,per240,run1,0.5639271817754627,0.6321643999268897,0.5960993186862195,0.11447290076059671
0.1,1.6,full,loose300,per40,run1,0.5595440515378739,0.639690969458334,0.5969393330184248,0.1342630875321904
0.1,1.6,no,loose300,per240,run1,0.37729272887320287,0.3631241817667173,0.37007289133957016,0.038285828111318886
0.1,1.6,no,loose300,per40,run1,0.3684806541782423,0.35888200422334887,0.36361799485176605,0.026397620829536846
0.2,1.3,full,loose230,per240,run1,0.868756373621992,0.8952755337198712,0.8818166188830034,0.0300733276397887
0.2,1.3,full,loose300,per240,run1,0.8359838315104273,0.86861848097318,0.8519887606942448,0.03830408447660767
0.2,1.3,full,loose300,per40,run1,0.816227621243093,0.8639575828068997,0.8394146561576624,0.05686100571830124
0.2,1.3,no,loose300,per240,run1,0.8110189725424954,0.8213677371041711,0.8161605510375268,0.012679814711112921
0.2,1.3,no,loose300,per40,run1,0.7996276693314339,0.8103431092840797,0.8049497300725384,0.013311936823284805
0.2,1.4,full,loose230,per240,run1,0.8440818391430336,0.8010801348586728,0.8220189917078118,0.052312300224379514
0.2,1.4,full,loose300,per240,run1,0.7318431119547157,0.7424282314770126,0.7370976716706892,0.014360538540713211
0.2,1.4,full,loose300,per40,run1,0.7216170809326125,0.7149619317116032,0.7182740908765375,0.009265473035353062
0.2,1.4,no,loose300,per240,run1,0.6934533659989753,0.6836597100401861,0.6885217131026192,0.014224178805715533
0.2,1.4,no,loose300,per40,run1,0.6904726665386549,0.680263553073034,0.6853300915510325,0.014896636805361565
0.2,1.5,full,loose230,per240,run1,0.8307521926391191,0.7513248157518614,0.7890446985318814,0.10066270901387786
0.2,1.5,full,loose300,per240,run1,0.6320889711340868,0.8007173975191505,0.7064801595525766,0.23868812747955775
0.2,1.5,full,loose300,per40,run1,0.68534108638409,0.7209735846810368,0.7027059163157248,0.05070755414123649
0.2,1.5,no,loose300,per240,run1,0.6047669765568172,0.6124152385069314,0.6085670782985625,0.012567656422521615
0.2,1.5,no,loose300,per40,run1,0.5783252745226257,0.5819056730792995,0.5801099493603972,0.006171930960021264
0.2,1.6,full,loose230,per240,run1,0.6649534368693071,0.7097490948852193,0.686621416716908,0.06524069439911069
0.2,1.6,full,loose300,per240,run1,0.5867528070732906,0.7421839677841053,0.6553788482658948,0.2371623086739512
0.2,1.6,full,loose300,per40,run1,0.6844019907807048,0.7408166550957804,0.7114927874652502,0.07929056388056627
0.2,1.6,no,loose300,per240,run1,0.48626954396752364,0.4855413745988398,0.4859051864777319,0.0014985832399984735
0.2,1.6,no,loose300,per40,run1,0.4885169072355712,0.4833360220601979,0.4859126551658161,0.01066217378842569
0.3,1.3,full,loose230,per240,run1,0.8338348524405311,0.8043465810341308,0.81882531324393,0.036012896681927184
0.3,1.3,full,loose300,per240,run1,0.8378990730887386,0.8785556155555952,0.8577458418227724,0.0473992883258502
0.3,1.3,full,loose300,per40,run1,0.8357473043657424,0.8242488343660854,0.8299582455346265,0.01385427527411348
0.3,1.3,full,loose300,per40,run2,0.8168505342421766,0.8314596358553099,0.8240903442451569,0.01772754858147847
0.3,1.3,no,loose300,per240,run1,0.8331100856137799,0.8294116580003095,0.8312567580663177,0.004449200054714417
0.3,1.3,no,loose300,per40,run1,0.8294690117206533,0.8266225135808464,0.8280433163633509,0.0034376198485707144
0.3,1.4,full,loose230,per240,run1,0.7564498223411164,0.7575928007114686,0.757020880098691,0.001509837311492991
0.3,1.4,full,loose300,per240,run1,0.7714465477981772,0.7589592480048261,0.7651519530290513,0.016320026033936102
0.3,1.4,full,loose300,per40,run1,0.7732375199594557,0.7735263038547541,0.7733818849488399,0.00037340400766887506
0.3,1.4,full,loose300,per40,run2,0.7302581914261165,0.812052588779665,0.768986461659838,0.10636649854276678
0.3,1.4,no,loose300,per240,run1,0.6780012369481242,0.6695558215838199,0.6737520646943147,0.012534900903251489
0.3,1.4,no,loose300,per40,run1,0.6743140069273345,0.6646997801624653,0.6694723780839026,0.014360901330068317
0.3,1.5,full,loose230,per240,run1,0.720370980370971,0.7343022019150575,0.7272698823674372,0.019155504554563683
0.3,1.5,full,loose300,per240,run1,0.7279800777714448,0.747099433837267,0.7374158473053581,0.025927509065186906
0.3,1.5,full,loose300,per40,run1,0.7311708155423048,0.7483595151293855,0.7396653189902278,0.02323848252145479
0.3,1.5,full,loose300,per40,run2,0.7031345281001817,0.7233872268062215,0.7131171110495463,0.028400242249456573
0.3,1.5,no,loose300,per240,run1,0.6025476701095704,0.624999596353923,0.613568309572995,0.036592382452049516
0.3,1.5,no,loose300,per40,run1,0.6083791147250642,0.6113740219891906,0.6098728916010483,0.004910707305360046
0.3,1.6,full,loose230,per240,run1,0.7014733098527238,0.6953795875890036,0.6984131568949687,0.008725096604439524
0.3,1.6,full,loose230,per240,run1,0.6850609007201196,0.7156916774583836,0.7000413818050512,0.04375566578547508
0.3,1.6,full,loose300,per240,run1,0.6612487334714399,0.7906793656222486,0.7201950694749608,0.17971607643074636
0.3,1.6,full,loose300,per40,run1,0.634956808193788,0.7578118653866356,0.690965861574562,0.17780192050716873
0.3,1.6,full,loose300,per40,run2,0.6694797442188674,0.7807228835140304,0.7208346562961241,0.15432545913755785
0.3,1.6,no,loose300,per40,run2,0.5308534320241026,0.528183786879936,0.5295152446008748,0.005041677593586446
0.3,1.6,no,loose300,per40,run3,0.509145181771689,0.5254216638994347,0.5171553867054832,0.031473097924077195
0.3,1.6,no,loose300,per40,run4,0.5220825368014809,0.5187004670455717,0.5203860068319504,0.006499155841062684
