WaveFrequencyInput [Hz],WaveAmplitudeInput [Volt],Kt_fw,Kt_nw,Delta_Kt,n_nw,n_fw
1.3,0.1,0.7861011937768281,0.660448298308046,0.1256528954687821,9,10
1.4,0.1,0.7211306233734643,0.5023336454369467,0.21879697793651764,2,3
1.5,0.1,0.6951864320100918,0.4526804122607595,0.24250601974933228,2,3
1.6,0.1,0.6132367873249672,0.36684544309566813,0.2463913442292991,2,3
1.3,0.2,0.8577400119116368,0.8105551405550325,0.04718487135660432,2,3
1.4,0.2,0.759130251418346,0.6869259023268259,0.07220434909152007,2,3
1.5,0.2,0.7327435914667276,0.5943385138294799,0.13840507763724774,2,3
1.6,0.2,0.684497684149351,0.485908920821774,0.19858876332757697,2,3
1.3,0.3,0.8326549362116213,0.8296500372148343,0.00300489899678702,2,4
1.4,0.3,0.766135294934105,0.6716122213891086,0.09452307354499645,2,4
1.5,0.3,0.7293670399281424,0.6117206005870217,0.11764643934112073,2,4
1.6,0.3,0.7060900252091333,0.5223522127127694,0.1837378124963639,3,5
