path,folder,name,probe,freq_hz,amp_V,panel,N_samples,df_bin,A_nearest_bin,f_nearest_bin,A_parabolic,f_parabolic,A_goertzel,f_goertzel,A_ls_fit,f_ls_fit
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,20260326-ProbePos4_3,fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,9373/170,1.30000,0.10000,full,1921,0.13014,7330.73611,1.30141,7330.73821,1.30134,7337.46012,1.30000,7329.54661,1.30000
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,20260326-ProbePos4_3,fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,9373/340,1.30000,0.10000,full,1921,0.13014,7291.95558,1.30141,7291.96526,1.30125,7298.98180,1.30000,7291.12673,1.30000
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,20260326-ProbePos4_3,fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,12400/250,1.30000,0.10000,full,1921,0.13014,5465.47311,1.30141,5465.48943,1.30163,5464.23618,1.30000,5470.19307,1.30000
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,20260326-ProbePos4_3,fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,8804/250,1.30000,0.10000,full,1921,0.13014,7697.78015,1.30141,7697.86132,1.30098,7702.80317,1.30000,7697.77432,1.30000
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run2.csv,20260326-ProbePos4_3,fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run2.csv,9373/170,1.30000,0.10000,full,1921,0.13014,7257.65379,1.30141,7257.65433,1.30137,7263.76353,1.30000,7257.57235,1.30000
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run2.csv,20260326-ProbePos4_3,fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run2.csv,9373/340,1.30000,0.10000,full,1921,0.13014,7283.73465,1.30141,7283.74063,1.30152,7289.92158,1.30000,7283.66060,1.30000
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run2.csv,20260326-ProbePos4_3,fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run2.csv,12400/250,1.30000,0.10000,full,1921,0.13014,5232.05494,1.30141,5232.25727,1.30059,5232.39848,1.30000,5234.89662,1.30000
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run2.csv,20260326-ProbePos4_3,fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run2.csv,8804/250,1.30000,0.10000,full,1921,0.13014,7608.43573,1.30141,7608.47438,1.30170,7607.03897,1.30000,7607.78978,1.30000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,9373/170,1.30000,0.20000,full,1921,0.13014,14794.32370,1.30141,14794.36738,1.30118,14801.86959,1.30000,14787.20024,1.30000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,9373/340,1.30000,0.20000,full,1921,0.13014,14975.78201,1.30141,14975.78654,1.30133,14983.99181,1.30000,14970.08966,1.30000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,12400/250,1.30000,0.20000,full,1921,0.13014,11588.26875,1.30141,11588.46414,1.30087,11585.81516,1.30000,11597.91969,1.30000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,8804/250,1.30000,0.20000,full,1921,0.13014,15352.78874,1.30141,15352.79488,1.30149,15356.09430,1.30000,15346.25340,1.30000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,9373/170,1.40000,0.10000,full,1791,0.13959,7765.89975,1.39587,7765.90059,1.39591,7764.52620,1.40000,7787.37808,1.40000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,9373/340,1.40000,0.10000,full,1791,0.13959,7807.67978,1.39587,7807.80433,1.39530,7810.48471,1.40000,7833.28454,1.40000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,12400/250,1.40000,0.10000,full,1791,0.13959,4201.00404,1.39587,4201.02265,1.39617,4217.71164,1.40000,4206.18009,1.40000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,8804/250,1.40000,0.10000,full,1791,0.13959,7502.89671,1.39587,7502.91349,1.39608,7526.88313,1.40000,7508.24319,1.40000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1600-per40-depth580-mstop30-run1.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0200-freq1600-per40-depth580-mstop30-run1.csv,9373/170,1.60000,0.20000,full,1561,0.16015,14535.13428,1.60154,14535.14419,1.60140,14542.84609,1.60000,14539.30267,1.60000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1600-per40-depth580-mstop30-run1.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0200-freq1600-per40-depth580-mstop30-run1.csv,9373/340,1.60000,0.20000,full,1561,0.16015,14778.99761,1.60154,14779.06764,1.60119,14785.30016,1.60000,14783.12749,1.60000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1600-per40-depth580-mstop30-run1.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0200-freq1600-per40-depth580-mstop30-run1.csv,12400/250,1.60000,0.20000,full,1561,0.16015,7078.41563,1.60154,7078.66654,1.60250,7080.81606,1.60000,7075.66990,1.60000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1600-per40-depth580-mstop30-run1.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0200-freq1600-per40-depth580-mstop30-run1.csv,8804/250,1.60000,0.20000,full,1561,0.16015,14993.04512,1.60154,14993.04639,1.60158,14990.99648,1.60000,15003.26042,1.60000
/Users/ole/Kodevik/wave_project/wavedata/20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange/fullpanel-nowind-amp0200-freq1700-per240-depth580-mstop30-run1-rettetterpå.csv,20260327-ProbePos4_3,fullpanel-nowind-amp0200-freq1700-per240-depth580-mstop30-run1-rettetterpå.csv,9373/170,1.70000,0.20000,full,1471,0.16995,13058.91241,1.69952,13058.95999,1.69919,13056.32075,1.70000,13059.89508,1.70000
