scenario,f_true_hz,bin_offset,A_nearest_bin,err_nearest_bin,A_parabolic,err_parabolic,A_goertzel,err_goertzel,A_ls_fit,err_ls_fit
clean,1.22200,-0.60000,0.74436,-0.25564,0.76034,-0.23966,0.99192,-0.00808,1.00000,0.00000
clean,1.22460,-0.58000,0.72019,-0.27981,0.74135,-0.25865,0.99282,-0.00718,1.00000,0.00000
clean,1.22720,-0.56000,0.69558,-0.30442,0.72355,-0.27645,0.99418,-0.00582,1.00000,0.00000
clean,1.22980,-0.54000,0.67061,-0.32939,0.70764,-0.29236,0.99590,-0.00410,1.00000,0.00000
clean,1.23240,-0.52000,0.64537,-0.35463,0.69475,-0.30525,0.99787,-0.00213,1.00000,0.00000
clean,1.23500,-0.50000,0.61993,-0.38007,0.68669,-0.31331,0.99996,-0.00004,1.00000,-0.00000
clean,1.23760,-0.48000,0.67755,-0.32245,0.70881,-0.29119,1.00204,0.00204,1.00000,0.00000
clean,1.24020,-0.46000,0.70183,-0.29817,0.72540,-0.27460,1.00399,0.00399,1.00000,-0.00000
clean,1.24280,-0.44000,0.72522,-0.27478,0.74317,-0.25683,1.00568,0.00568,1.00000,0.00000
clean,1.24540,-0.42000,0.74770,-0.25230,0.76145,-0.23855,1.00701,0.00701,1.00000,0.00000
clean,1.24800,-0.40000,0.76923,-0.23077,0.77981,-0.22019,1.00789,0.00789,1.00000,0.00000
clean,1.25060,-0.38000,0.78981,-0.21019,0.79796,-0.20204,1.00829,0.00829,1.00000,0.00000
clean,1.25320,-0.36000,0.80944,-0.19056,0.81571,-0.18429,1.00817,0.00817,1.00000,-0.00000
clean,1.25580,-0.34000,0.82810,-0.17190,0.83292,-0.16708,1.00755,0.00755,1.00000,0.00000
clean,1.25840,-0.32000,0.84581,-0.15419,0.84950,-0.15050,1.00646,0.00646,1.00000,-0.00000
clean,1.26100,-0.30000,0.86259,-0.13741,0.86539,-0.13461,1.00498,0.00498,1.00000,0.00000
clean,1.26360,-0.28000,0.87843,-0.12157,0.88054,-0.11946,1.00319,0.00319,1.00000,0.00000
clean,1.26620,-0.26000,0.89335,-0.10665,0.89493,-0.10507,1.00121,0.00121,1.00000,-0.00000
clean,1.26880,-0.24000,0.90736,-0.09264,0.90852,-0.09148,0.99916,-0.00084,1.00000,0.00000
clean,1.27140,-0.22000,0.92047,-0.07953,0.92131,-0.07869,0.99718,-0.00282,1.00000,0.00000
clean,1.27400,-0.20000,0.93267,-0.06733,0.93326,-0.06674,0.99538,-0.00462,1.00000,0.00000
clean,1.27660,-0.18000,0.94395,-0.05605,0.94436,-0.05564,0.99388,-0.00612,1.00000,-0.00000
clean,1.27920,-0.16000,0.95431,-0.04569,0.95458,-0.04542,0.99278,-0.00722,1.00000,0.00000
clean,1.28180,-0.14000,0.96373,-0.03627,0.96390,-0.03610,0.99214,-0.00786,1.00000,0.00000
