path,name,freq_hz,amp_V,wind,mooring,N_in,N_out,A_in_nearest,A_in_parabolic,A_out_nearest,A_out_parabolic,f_in_peak,f_out_peak,outin_nearest,outin_parabolic,delta_outin
/Users/ole/Kodevik/wave_project/wavedata/20260307-ProbPos4_31_FPV_2-tett6roof/fullpanel-fullwind-amp0100-freq1500-per40-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0100-freq1500-per40-depth580-mstop30-run1.csv,1.5000,0.1000,full,above_50,3028,2840,7.6495,7.6523,4.6994,4.6995,1.4878,1.4963,0.6143,0.6141,-0.0002
/Users/ole/Kodevik/wave_project/wavedata/20260307-ProbPos4_31_FPV_2-tett6roof/fullpanel-nowind-amp0100-freq1800-per40-depth580-mstop30-run1.csv,fullpanel-nowind-amp0100-freq1800-per40-depth580-mstop30-run1.csv,1.8000,0.1000,no,above_50,3062,3040,7.0504,7.0512,1.1538,1.1538,1.7954,1.8091,0.1637,0.1636,-0.0000
/Users/ole/Kodevik/wave_project/wavedata/20260307-ProbPos4_31_FPV_2-tett6roof/fullpanel-fullwind-amp0200-freq0700-per40-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0200-freq0700-per40-depth580-mstop30-run1.csv,0.7000,0.2000,full,above_50,8205,8214,10.6119,10.6122,10.9650,10.9650,0.7010,0.6999,1.0333,1.0332,-0.0000
/Users/ole/Kodevik/wave_project/wavedata/20260307-ProbPos4_31_FPV_2-tett6roof/fullpanel-fullwind-amp0200-freq1600-per40-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0200-freq1600-per40-depth580-mstop30-run1.csv,1.6000,0.2000,full,above_50,2516,2675,13.8360,13.8375,8.9071,8.9075,1.5888,1.5894,0.6438,0.6437,-0.0000
/Users/ole/Kodevik/wave_project/wavedata/20260307-ProbPos4_31_FPV_2-tett6roof/fullpanel-nowind-amp0200-freq1600-per40-depth580-mstop30-run1.csv,fullpanel-nowind-amp0200-freq1600-per40-depth580-mstop30-run1.csv,1.6000,0.2000,no,above_50,2499,2650,15.3738,15.3739,6.8153,6.8157,1.6005,1.6031,0.4433,0.4433,0.0000
/Users/ole/Kodevik/wave_project/wavedata/20260307-ProbPos4_31_FPV_2-tett6roof/fullpanel-fullwind-amp0200-freq0700-per40-depth580-mstop30-run2.csv,fullpanel-fullwind-amp0200-freq0700-per40-depth580-mstop30-run2.csv,0.7000,0.2000,full,above_50,8225,8211,10.6025,10.6026,11.0313,11.0317,0.6992,0.7001,1.0404,1.0405,0.0000
/Users/ole/Kodevik/wave_project/wavedata/20260307-ProbPos4_31_FPV_2-tett6roof/fullpanel-fullwind-amp0100-freq1800-per40-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0100-freq1800-per40-depth580-mstop30-run1.csv,1.8000,0.1000,full,above_50,3056,3045,8.8706,8.8743,3.6485,3.6533,1.8015,1.8031,0.4113,0.4117,0.0004
/Users/ole/Kodevik/wave_project/wavedata/20260307-ProbPos4_31_FPV_2-tett6roof/fullpanel-nowind-amp0100-freq1500-per40-depth580-mstop30-run1.csv,fullpanel-nowind-amp0100-freq1500-per40-depth580-mstop30-run1.csv,1.5000,0.1000,no,above_50,3170,2830,7.8266,7.8266,3.0907,3.0908,1.4985,1.5015,0.3949,0.3949,0.0000
/Users/ole/Kodevik/wave_project/wavedata/20260307-ProbPos4_31_FPV_2-tett6roof/fullpanel-nowind-amp0100-freq1700-per40-depth580-mstop30-run1.csv,fullpanel-nowind-amp0100-freq1700-per40-depth580-mstop30-run1.csv,1.7000,0.1000,no,above_50,3234,3236,6.9815,6.9815,1.4652,1.4653,1.7007,1.6990,0.2099,0.2099,0.0000
/Users/ole/Kodevik/wave_project/wavedata/20260307-ProbPos4_31_FPV_2-tett6roof/fullpanel-nowind-amp0200-freq1400-per40-depth580-mstop30-run1.csv,fullpanel-nowind-amp0200-freq1400-per40-depth580-mstop30-run1.csv,1.4000,0.2000,no,above_50,3749,3036,13.8109,13.8110,10.2923,10.2925,1.4003,1.4002,0.7452,0.7452,0.0000
/Users/ole/Kodevik/wave_project/wavedata/20260307-ProbPos4_31_FPV_2-tett6roof/fullpanel-fullwind-amp0200-freq1900-per40-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0200-freq1900-per40-depth580-mstop30-run1.csv,1.9000,0.2000,full,above_50,2943,2944,9.0375,11.0320,6.2618,6.2873,1.9218,1.8744,0.6929,0.5699,-0.1230
/Users/ole/Kodevik/wave_project/wavedata/20260307-ProbPos4_31_FPV_2-tett6roof/fullpanel-fullwind-amp0200-freq0800-per40-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0200-freq0800-per40-depth580-mstop30-run1.csv,0.8000,0.2000,full,above_50,7304,7189,9.1477,9.2547,11.6834,11.6836,0.7922,0.8000,1.2772,1.2624,-0.0148
/Users/ole/Kodevik/wave_project/wavedata/20260307-ProbPos4_31_FPV_2-tett6roof/fullpanel-fullwind-amp0200-freq1400-per40-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0200-freq1400-per40-depth580-mstop30-run1.csv,1.4000,0.2000,full,above_50,3763,3044,16.6938,16.6946,10.3975,10.3975,1.3956,1.3962,0.6228,0.6228,-0.0000
/Users/ole/Kodevik/wave_project/wavedata/20260307-ProbPos4_31_FPV_2-tett6roof/fullpanel-fullwind-amp0100-freq1700-per40-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0100-freq1700-per40-depth580-mstop30-run1.csv,1.7000,0.1000,full,above_50,3265,3238,8.6406,8.6448,3.7664,3.7664,1.6864,1.6983,0.4359,0.4357,-0.0002
/Users/ole/Kodevik/wave_project/wavedata/20260307-ProbPos4_31_FPV_2-tett6roof/fullpanel-fullwind-amp0100-freq1400-per40-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0100-freq1400-per40-depth580-mstop30-run1.csv,1.4000,0.1000,full,above_50,3736,3041,8.1104,8.1107,4.7540,4.7541,1.4048,1.3980,0.5862,0.5862,-0.0000
/Users/ole/Kodevik/wave_project/wavedata/20260307-ProbPos4_31_FPV_2-tett6roof/fullpanel-fullwind-amp0200-freq1700-per40-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0200-freq1700-per40-depth580-mstop30-run1.csv,1.7000,0.2000,full,above_50,3264,3245,15.4840,15.5015,8.4467,8.4469,1.6880,1.6952,0.5455,0.5449,-0.0006
/Users/ole/Kodevik/wave_project/wavedata/20260307-ProbPos4_31_FPV_2-tett6roof/fullpanel-fullwind-amp0200-freq0600-per40-depth580-mstop30-run1.csv,fullpanel-fullwind-amp0200-freq0600-per40-depth580-mstop30-run1.csv,0.6000,0.2000,full,above_50,9614,9576,8.7675,8.7676,7.4083,7.4100,0.5982,0.6001,0.8450,0.8452,0.0002
