freq,amp,wind,probe,win_len,expected_len,end_shift_samples,end_shift_T
1.5,0.1,full,9373/170,1670,1670,0,0.0
1.5,0.1,full,9373/340,1680,1670,10,0.059880239520958084
1.5,0.1,full,12400/250,1669,1670,-1,-0.005988023952095809
1.5,0.1,full,8804/250,1670,1670,0,0.0
1.6,0.2,full,9373/170,1560,1560,0,0.0
1.6,0.2,full,9373/340,1564,1560,4,0.02564102564102564
1.6,0.2,full,12400/250,1578,1560,18,0.11538461538461539
1.6,0.2,full,8804/250,1568,1560,8,0.05128205128205128
1.6,0.2,no,9373/170,1566,1560,6,0.038461538461538464
1.6,0.2,no,9373/340,1564,1560,4,0.02564102564102564
1.6,0.2,no,12400/250,1555,1560,-5,-0.03205128205128205
1.6,0.2,no,8804/250,1564,1560,4,0.02564102564102564
1.5,0.1,no,9373/170,1665,1670,-5,-0.029940119760479042
1.5,0.1,no,9373/340,1665,1670,-5,-0.029940119760479042
1.5,0.1,no,12400/250,1666,1670,-4,-0.023952095808383235
1.5,0.1,no,8804/250,1667,1670,-3,-0.017964071856287425
1.7,0.1,no,9373/170,1468,1470,-2,-0.013605442176870748
1.7,0.1,no,9373/340,1469,1470,-1,-0.006802721088435374
1.7,0.1,no,12400/250,1465,1470,-5,-0.034013605442176874
1.7,0.1,no,8804/250,1467,1470,-3,-0.02040816326530612
1.4,0.2,no,9373/170,1786,1790,-4,-0.0223463687150838
1.4,0.2,no,9373/340,1790,1790,0,0.0
1.4,0.2,no,12400/250,1782,1790,-8,-0.0446927374301676
1.4,0.2,no,8804/250,1787,1790,-3,-0.01675977653631285
1.4,0.2,full,9373/170,1796,1790,6,0.0335195530726257
1.4,0.2,full,9373/340,1783,1790,-7,-0.03910614525139665
1.4,0.2,full,12400/250,1789,1790,-1,-0.00558659217877095
1.4,0.2,full,8804/250,1790,1790,0,0.0
1.7,0.1,full,9373/170,1470,1470,0,0.0
1.7,0.1,full,9373/340,1470,1470,0,0.0
1.7,0.1,full,12400/250,1467,1470,-3,-0.02040816326530612
1.7,0.1,full,8804/250,1465,1470,-5,-0.034013605442176874
1.4,0.1,full,9373/170,1790,1790,0,0.0
1.4,0.1,full,9373/340,1790,1790,0,0.0
1.4,0.1,full,12400/250,1777,1790,-13,-0.07262569832402235
1.4,0.1,full,8804/250,1790,1790,0,0.0
1.7,0.2,full,9373/170,1486,1470,16,0.10884353741496598
1.7,0.2,full,9373/340,1489,1470,19,0.1292517006802721
1.7,0.2,full,12400/250,1475,1470,5,0.034013605442176874
1.7,0.2,full,8804/250,1483,1470,13,0.08843537414965986
1.4,0.1,full,9373/170,1790,1790,0,0.0
1.4,0.1,full,9373/340,1790,1790,0,0.0
1.4,0.1,full,12400/250,1781,1790,-9,-0.05027932960893855
1.4,0.1,full,8804/250,1800,1790,10,0.055865921787709494
1.4,0.1,no,9373/170,1787,1790,-3,-0.01675977653631285
1.4,0.1,no,9373/340,1787,1790,-3,-0.01675977653631285
1.4,0.1,no,12400/250,1782,1790,-8,-0.0446927374301676
1.4,0.1,no,8804/250,1788,1790,-2,-0.0111731843575419
1.6,0.1,no,9373/170,1563,1560,3,0.019230769230769232
