path,WaveFrequencyInput [Hz],WaveAmplitudeInput [Volt],WindCondition,PanelCondition,Mooring,quality_flag,Probe 9373/170 hg_snap_shift,Probe 9373/340 hg_snap_shift,Probe 12400/250 hg_snap_shift,Probe 8804/250 hg_snap_shift,9373/170_shift_periods,9373/340_shift_periods,12400/250_shift_periods,8804/250_shift_periods
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,1.50000,0.20000,full,full,below_90_loose230,ok,59.00000,46.00000,-19.00000,24.00000,0.35329,0.27545,-0.11377,0.14371
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq0900-per40-depth580-mstop30-run1.csv,0.90000,0.10000,full,full,below_90_loose230,ok,-120.00000,37.00000,91.00000,-51.00000,-0.43165,0.13309,0.32734,-0.18345
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,1.30000,0.20000,full,full,below_90_loose230,ok,7.00000,3.00000,-40.00000,-70.00000,0.03646,0.01562,-0.20833,-0.36458
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,1.40000,0.10000,full,full,below_90_loose230,ok,47.00000,33.00000,86.00000,10.00000,0.26257,0.18436,0.48045,0.05587
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1200-per33-depth580-mstop30-run1.csv,1.20000,0.10000,full,full,below_90_loose230,ok,,,,,,,,
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq0600-per40-depth580-mstop30-run1.csv,0.60000,0.10000,full,full,below_90_loose230,ok,-37.00000,-23.00000,21.00000,7.00000,-0.08873,-0.05516,0.05036,0.01679
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,1.30000,0.10000,full,full,below_90_loose230,ok,-8.00000,20.00000,-8.00000,-43.00000,-0.04167,0.10417,-0.04167,-0.22396
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1400-per240-depth580-mstop30-run1.csv,1.40000,0.20000,full,full,below_90_loose230,ok,25.00000,19.00000,61.00000,-21.00000,0.13966,0.10615,0.34078,-0.11732
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq0800-per40-depth580-mstop30-run1.csv,0.80000,0.10000,full,full,below_90_loose230,ok,-64.00000,-62.00000,11.00000,-22.00000,-0.20513,-0.19872,0.03526,-0.07051
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per40-depth580-mstop330-run1.csv,1.30000,0.10000,full,full,below_90_loose230,ok,16.00000,16.00000,-15.00000,-36.00000,0.08333,0.08333,-0.07812,-0.18750
