freq_hz,amp_V,wind,probe,n,median,mean,std,p05,p95
1.3000,0.1000,no,9373/170,9,0.3177,0.3119,0.0187,0.2833,0.3281
1.3000,0.1000,no,9373/340,9,0.3177,0.3084,0.0219,0.2750,0.3312
1.3000,0.1000,no,12400/250,9,0.1094,0.0920,0.0312,0.0396,0.1177
1.3000,0.1000,no,8804/250,9,-0.0781,-0.0816,0.0140,-0.1031,-0.0667
1.3000,0.1000,full,9373/170,10,0.0833,0.0797,0.0622,-0.0018,0.1721
1.3000,0.1000,full,9373/340,10,0.0911,0.1047,0.0555,0.0482,0.1964
1.3000,0.1000,full,12400/250,10,-0.0182,-0.0333,0.0364,-0.0982,-0.0023
1.3000,0.1000,full,8804/250,10,-0.2396,-0.2375,0.0553,-0.3245,-0.1674
1.3000,0.2000,no,9373/170,2,0.2161,0.2161,0.0037,0.2138,0.2185
1.3000,0.2000,no,9373/340,2,0.2031,0.2031,0.0000,0.2031,0.2031
1.3000,0.2000,no,12400/250,2,0.0286,0.0286,0.0037,0.0263,0.0310
1.3000,0.2000,no,8804/250,2,-0.1693,-0.1693,0.0110,-0.1763,-0.1622
1.3000,0.2000,full,9373/170,3,0.0365,0.0434,0.0318,0.0177,0.0740
1.3000,0.2000,full,9373/340,3,0.0156,0.0278,0.0506,-0.0125,0.0766
1.3000,0.2000,full,12400/250,3,-0.1250,-0.1458,0.0551,-0.2000,-0.1063
1.3000,0.2000,full,8804/250,3,-0.3438,-0.3438,0.0208,-0.3625,-0.3250
1.3000,0.3000,no,9373/170,2,0.1380,0.1380,0.0110,0.1310,0.1451
1.3000,0.3000,no,9373/340,2,0.1432,0.1432,0.0110,0.1362,0.1503
1.3000,0.3000,no,12400/250,2,-0.0938,-0.0938,0.0147,-0.1031,-0.0844
1.3000,0.3000,no,8804/250,2,-0.2656,-0.2656,0.0074,-0.2703,-0.2609
1.3000,0.3000,full,9373/170,4,0.0130,0.0182,0.0173,0.0052,0.0385
1.3000,0.3000,full,9373/340,4,0.0156,0.0169,0.0290,-0.0096,0.0453
1.3000,0.3000,full,12400/250,4,-0.2240,-0.2201,0.0123,-0.2292,-0.2055
1.3000,0.3000,full,8804/250,4,-0.3620,-0.3581,0.0137,-0.3690,-0.3417
1.4000,0.1000,no,9373/170,2,0.4693,0.4693,0.0079,0.4642,0.4743
1.4000,0.1000,no,9373/340,2,0.4609,0.4609,0.0119,0.4534,0.4684
1.4000,0.1000,no,12400/250,2,-0.3073,-0.3073,0.0079,-0.3123,-0.3022
1.4000,0.1000,no,8804/250,2,0.1648,0.1648,0.0040,0.1623,0.1673
1.4000,0.1000,full,9373/170,3,0.2626,0.2868,0.0571,0.2475,0.3430
1.4000,0.1000,full,9373/340,3,0.2291,0.2402,0.0622,0.1888,0.2994
1.4000,0.1000,full,12400/250,3,-0.4022,-0.1229,0.5230,-0.4425,0.3922
1.4000,0.1000,full,8804/250,3,0.0559,0.0596,0.0337,0.0307,0.0911
1.4000,0.2000,no,9373/170,2,0.3631,0.3631,0.0237,0.3480,0.3782
1.4000,0.2000,no,9373/340,2,0.3547,0.3547,0.0198,0.3422,0.3673
1.4000,0.2000,no,12400/250,2,-0.3883,-0.3883,0.0119,-0.3958,-0.3807
1.4000,0.2000,no,8804/250,2,0.0726,0.0726,0.0237,0.0575,0.0877
1.4000,0.2000,full,9373/170,3,0.1508,0.1471,0.0065,0.1408,0.1508
1.4000,0.2000,full,9373/340,3,0.1341,0.1453,0.0457,0.1089,0.1894
1.4000,0.2000,full,12400/250,3,0.3911,0.3855,0.0422,0.3458,0.4212
1.4000,0.2000,full,8804/250,3,-0.0950,-0.0968,0.0196,-0.1151,-0.0799
