freq_hz,wind,run_type,path,t_arr_in_s,settle_t_s,settle_t_T_past_arr,plateau_med_mm
1.3,full,per240,fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,15.528841833594761,25.296,12.69730561632681,15.015584835862139
1.3,no,per240,fullpanel-nowind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,15.528841833594761,27.032,14.95410561632681,14.900220555684871
1.3,full,per240,fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,15.528841833594761,27.032,14.95410561632681,14.918567419484958
1.3,full,per40,fullpanel-fullwind-amp0200-freq1300-per40-depth580-mstop30-run1.csv,15.528841833594761,28.52,16.88850561632681,15.15447325198576
1.3,no,per40,fullpanel-nowind-amp0200-freq1300-per40-depth580-mstop30-run1.csv,15.528841833594761,22.816,9.47330561632681,15.082996172161243
1.4,full,per240,fullpanel-fullwind-amp0200-freq1400-per240-depth580-mstop30-run1.csv,16.780212234365884,28.272,16.08850287188776,15.471986759616787
1.4,no,per40,fullpanel-nowind-amp0200-freq1400-per40-depth580-mstop30-run1.csv,16.780212234365884,18.848,2.894902871887761,15.16148220458558
1.4,full,per40,fullpanel-fullwind-amp0200-freq1400-per40-depth580-mstop30-run1.csv,16.780212234365884,21.824,7.061302871887764,16.692342563021384
1.4,full,per240,fullpanel-fullwind-amp0200-freq1400-per240-depth580-mstop30-run1.csv,16.780212234365884,19.84,4.283702871887762,15.798971214449601
1.4,no,per240,fullpanel-nowind-amp0200-freq1400-per240-depth580-mstop30-run1.csv,16.780212234365884,20.336,4.97810287188776,15.351002871108438
1.5,full,per240,fullpanel-fullwind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,18.00049295173886,38.688,31.031260572391716,16.124604096311735
1.5,full,per240,fullpanel-fullwind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,18.00049295173886,20.584,3.87526057239171,15.384944117356143
1.5,no,per240,fullpanel-nowind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,18.00049295173886,23.808,8.71126057239171,15.242610133171237
1.5,no,per40,fullpanel-nowind-amp0200-freq1500-per40-depth580-mstop30-run1.csv,18.00049295173886,28.024,15.035260572391712,15.286424675343536
1.5,full,per40,fullpanel-fullwind-amp0200-freq1500-per40-depth580-mstop30-run1.csv,18.00049295173886,,,15.632124545827212
1.6,full,per240,fullpanel-fullwind-amp0200-freq1600-per240-depth580-mstop30-run1.csv,19.20781958921887,38.936,31.565088657249806,16.715715031678783
1.6,full,per40,fullpanel-fullwind-amp0200-freq1600-per40-depth580-mstop30-run1.csv,19.20781958921887,27.032,12.518688657249806,14.807215489607401
1.6,no,per40,fullpanel-nowind-amp0200-freq1600-per40-depth580-mstop30-run1.csv,19.20781958921887,22.072,4.582688657249804,14.761954639882452
1.6,full,per240,fullpanel-fullwind-amp0200-freq1600-per240-depth580-mstop30-run1.csv,19.20781958921887,30.504,18.073888657249807,15.859781790824577
1.6,no,per240,fullpanel-nowind-amp0200-freq1600-per240-depth580-mstop30-run1.csv,19.20781958921887,24.304,8.153888657249803,15.179859188474222
