amp_tag,amp_v,mooring,wind,freq,n,Kt_mean,Kt_std
A1,0.1,below_90_loose300,no,1.3,7,0.6646625023275913,0.028214813214122
A1,0.1,below_90_loose300,no,1.4,2,0.5023336454369468,0.034339324603346134
A1,0.1,below_90_loose300,no,1.5,2,0.45268041226075945,0.016190210434491453
A1,0.1,below_90_loose300,no,1.6,2,0.36684544309566813,0.004564301078383501
A1,0.1,below_90_loose300,full,1.3,6,0.7570736896382272,0.024442376553993835
A1,0.1,below_90_loose300,full,1.4,2,0.6754905507357122,0.04902617672282458
A1,0.1,below_90_loose300,full,1.5,2,0.6606900186222047,0.06264090068334312
A1,0.1,below_90_loose300,full,1.6,2,0.5965193258523221,0.0005939798305963095
A1,0.1,below_90_loose230,no,1.3,16,0.6550172440539184,0.028990230863733535
A1,0.1,below_90_loose230,no,1.4,5,0.541045547523781,0.04120031897454176
A1,0.1,below_90_loose230,no,1.5,5,0.43857253513515726,0.03295887680400228
A1,0.1,below_90_loose230,no,1.6,4,0.34197877508546914,0.02280594027569085
A1,0.1,below_90_loose230,full,1.3,9,0.7896521966335137,0.049068652465339646
A1,0.1,below_90_loose230,full,1.4,4,0.7265894872304342,0.05792002526405958
A1,0.1,below_90_loose230,full,1.5,3,0.764887065214749,0.07460310488526459
A1,0.1,below_90_loose230,full,1.6,3,0.5906762382568657,0.04872493960908741
A2,0.2,below_90_loose300,no,1.3,2,0.8105551405550326,0.007927247527011596
A2,0.2,below_90_loose300,no,1.4,2,0.6869259023268259,0.002256817242108046
A2,0.2,below_90_loose300,no,1.5,2,0.5943385138294799,0.020122228845276674
A2,0.2,below_90_loose300,no,1.6,2,0.485908920821774,5.2811599909129e-06
A2,0.2,below_90_loose300,full,1.3,2,0.8457017084259536,0.00889123458516592
A2,0.2,below_90_loose300,full,1.4,2,0.7276858812736133,0.01331028162575752
A2,0.2,below_90_loose300,full,1.5,2,0.7045930379341507,0.0026687929866254304
A2,0.2,below_90_loose300,full,1.6,2,0.6834358178655725,0.039678546926953884
A2,0.2,below_90_loose230,no,1.3,5,0.8000283106637316,0.01765388233390423
A2,0.2,below_90_loose230,no,1.4,5,0.7160158953010101,0.027958365491704412
A2,0.2,below_90_loose230,no,1.5,4,0.6171305673420532,0.01960648576334084
A2,0.2,below_90_loose230,no,1.6,4,0.5004257905710535,0.010097470165984735
A2,0.2,below_90_loose230,full,1.3,4,0.845834674764503,0.030300414979142556
A2,0.2,below_90_loose230,full,1.4,6,0.7659876784519613,0.03553841560123233
A2,0.2,below_90_loose230,full,1.5,5,0.7082057174187845,0.049003689057419385
A2,0.2,below_90_loose230,full,1.6,5,0.6452296413025504,0.026815954138275405
A3,0.3,below_90_loose300,no,1.3,2,0.8296500372148343,0.002272246419115457
A3,0.3,below_90_loose300,no,1.4,2,0.6716122213891087,0.003026195423575637
A3,0.3,below_90_loose300,no,1.5,2,0.6117206005870217,0.002613055107282128
A3,0.3,below_90_loose300,no,1.6,3,0.5223522127127694,0.006410225890941315
A3,0.3,below_90_loose300,full,1.3,3,0.8372648105341852,0.01797811303693469
A3,0.3,below_90_loose300,full,1.4,3,0.7691734332125764,0.004118150509905979
A3,0.3,below_90_loose300,full,1.5,3,0.7300660924483774,0.014721277409202656
A3,0.3,below_90_loose300,full,1.6,3,0.7106651957818823,0.017063120874688403
A3,0.3,below_90_loose230,no,1.3,1,0.8021695205403911,
A3,0.3,below_90_loose230,no,1.4,3,0.7284436882274926,0.025223985236194586
A3,0.3,below_90_loose230,no,1.5,4,0.6066754798207341,0.009750250761146446
A3,0.3,below_90_loose230,no,1.6,4,0.5454600491385049,0.021578663133099158
A3,0.3,below_90_loose230,full,1.3,2,0.8191112077483422,0.00040431588554765016
A3,0.3,below_90_loose230,full,1.4,2,0.7625399976812641,0.007805210937606832
A3,0.3,below_90_loose230,full,1.5,2,0.7253694393360042,0.002687632309569943
A3,0.3,below_90_loose230,full,1.6,4,0.6874110523886319,0.014042452707691725
