amp_tag,amp_v,mooring,wind,freq,n,Kt_mean,Kt_std
A1,0.1,below_90_loose300,no,1.3,7,0.6646625023275913,0.028214813214122
A1,0.1,below_90_loose300,no,1.4,2,0.5023336454369468,0.034339324603346134
A1,0.1,below_90_loose300,no,1.5,2,0.45268041226075945,0.016190210434491453
A1,0.1,below_90_loose300,no,1.6,2,0.36684544309566813,0.004564301078383501
A1,0.1,below_90_loose300,full,1.3,6,0.7570736896382272,0.024442376553993835
A1,0.1,below_90_loose300,full,1.4,2,0.6754905507357122,0.04902617672282458
A1,0.1,below_90_loose300,full,1.5,2,0.6606900186222047,0.06264090068334312
A1,0.1,below_90_loose300,full,1.6,2,0.5965193258523221,0.0005939798305963095
A1,0.1,below_90_loose230,no,1.3,2,0.645698584239637,0.031124102206435012
A1,0.1,below_90_loose230,full,1.3,4,0.8296424499847292,0.03513265640750919
A1,0.1,below_90_loose230,full,1.4,1,0.8124107686489684,
A1,0.1,below_90_loose230,full,1.5,1,0.7641792587858661,
A1,0.1,below_90_loose230,full,1.6,1,0.6466717102702577,
A2,0.2,below_90_loose300,no,1.3,2,0.8105551405550326,0.007927247527011596
A2,0.2,below_90_loose300,no,1.4,2,0.6869259023268259,0.002256817242108046
A2,0.2,below_90_loose300,no,1.5,2,0.5943385138294799,0.020122228845276674
A2,0.2,below_90_loose300,no,1.6,2,0.485908920821774,5.2811599909129e-06
A2,0.2,below_90_loose300,full,1.3,2,0.8457017084259536,0.00889123458516592
A2,0.2,below_90_loose300,full,1.4,2,0.7276858812736133,0.01331028162575752
A2,0.2,below_90_loose300,full,1.5,2,0.7045930379341507,0.0026687929866254304
A2,0.2,below_90_loose300,full,1.6,2,0.6834358178655725,0.039678546926953884
A2,0.2,below_90_loose230,full,1.3,1,0.8818166188830034,
A2,0.2,below_90_loose230,full,1.4,1,0.8220189917078118,
A2,0.2,below_90_loose230,full,1.5,1,0.7890446985318814,
A2,0.2,below_90_loose230,full,1.6,1,0.686621416716908,
A3,0.3,below_90_loose300,no,1.3,2,0.8296500372148343,0.002272246419115457
A3,0.3,below_90_loose300,no,1.4,2,0.6716122213891087,0.003026195423575637
A3,0.3,below_90_loose300,no,1.5,2,0.6117206005870217,0.002613055107282128
A3,0.3,below_90_loose300,no,1.6,3,0.5223522127127694,0.006410225890941315
A3,0.3,below_90_loose300,full,1.3,3,0.8372648105341852,0.01797811303693469
A3,0.3,below_90_loose300,full,1.4,3,0.7691734332125764,0.004118150509905979
A3,0.3,below_90_loose300,full,1.5,3,0.7300660924483774,0.014721277409202656
A3,0.3,below_90_loose300,full,1.6,3,0.7106651957818823,0.017063120874688403
A3,0.3,below_90_loose230,full,1.3,1,0.81882531324393,
A3,0.3,below_90_loose230,full,1.4,1,0.757020880098691,
A3,0.3,below_90_loose230,full,1.5,1,0.7272698823674372,
A3,0.3,below_90_loose230,full,1.6,2,0.6992272693500099,0.0011513288752161678
