amp_v,freq,wind,Kt_230,Kt_300,std_230,std_300,n_230,n_300,Delta,ratio
0.1,1.3,no,0.645698584239637,0.6646625023275913,0.031124102206435012,0.028214813214122,2,7,-0.01896391808795428,0.971468349693951
0.1,1.3,full,0.8296424499847292,0.7570736896382272,0.03513265640750919,0.024442376553993835,4,6,0.07256876034650206,1.0958542891395149
0.1,1.4,no,,0.5023336454369468,,0.034339324603346134,,2,,
0.1,1.4,full,0.8124107686489684,0.6754905507357122,,0.04902617672282458,1,2,0.13692021791325626,1.2026974585567916
0.1,1.5,no,,0.45268041226075945,,0.016190210434491453,,2,,
0.1,1.5,full,0.7641792587858661,0.6606900186222047,,0.06264090068334312,1,2,0.10348924016366146,1.1566381165852584
0.1,1.6,no,,0.36684544309566813,,0.004564301078383501,,2,,
0.1,1.6,full,0.6466717102702577,0.5965193258523221,,0.0005939798305963095,1,2,0.05015238441793557,1.0840750370430607
0.2,1.3,no,,0.8105551405550326,,0.007927247527011596,,2,,
0.2,1.3,full,0.8818166188830034,0.8457017084259536,,0.00889123458516592,1,2,0.03611491045704984,1.0427040765050222
0.2,1.4,no,,0.6869259023268259,,0.002256817242108046,,2,,
0.2,1.4,full,0.8220189917078118,0.7276858812736133,,0.01331028162575752,1,2,0.09433311043419845,1.129634383271384
0.2,1.5,no,,0.5943385138294799,,0.020122228845276674,,2,,
0.2,1.5,full,0.7890446985318814,0.7045930379341507,,0.0026687929866254304,1,2,0.08445166059773068,1.1198587781187008
0.2,1.6,no,,0.485908920821774,,5.2811599909129e-06,,2,,
0.2,1.6,full,0.686621416716908,0.6834358178655725,,0.039678546926953884,1,2,0.003185598851335514,1.0046611529101364
0.3,1.3,no,,0.8296500372148343,,0.002272246419115457,,2,,
0.3,1.3,full,0.81882531324393,0.8372648105341852,,0.01797811303693469,1,3,-0.01843949729025518,0.9779765050934237
0.3,1.4,no,,0.6716122213891087,,0.003026195423575637,,2,,
0.3,1.4,full,0.757020880098691,0.7691734332125764,,0.004118150509905979,1,3,-0.012152553113885411,0.9842005033076502
0.3,1.5,no,,0.6117206005870217,,0.002613055107282128,,2,,
0.3,1.5,full,0.7272698823674372,0.7300660924483774,,0.014721277409202656,1,3,-0.00279621008094022,0.9961699219976609
0.3,1.6,no,,0.5223522127127694,,0.006410225890941315,,3,,
0.3,1.6,full,0.6992272693500099,0.7106651957818823,0.0011513288752161678,0.017063120874688403,2,3,-0.011437926431872358,0.9839053234916222
