amp_v,freq,wind,Kt_230,Kt_300,std_230,std_300,n_230,n_300,Delta,ratio
0.1,1.3,no,0.6550172440539184,0.6646625023275913,0.028990230863733535,0.028214813214122,16,7,-0.009645258273672908,0.9854884874054185
0.1,1.3,full,0.7896521966335137,0.7570736896382272,0.049068652465339646,0.024442376553993835,9,6,0.03257850699528653,1.04303214791529
0.1,1.4,no,0.541045547523781,0.5023336454369468,0.04120031897454176,0.034339324603346134,5,2,0.03871190208683417,1.077064123493383
0.1,1.4,full,0.7265894872304342,0.6754905507357122,0.05792002526405958,0.04902617672282458,4,2,0.05109893649472197,1.0756471521904598
0.1,1.5,no,0.43857253513515726,0.45268041226075945,0.03295887680400228,0.016190210434491453,5,2,-0.014107877125602186,0.9688347965949197
0.1,1.5,full,0.764887065214749,0.6606900186222047,0.07460310488526459,0.06264090068334312,3,2,0.10419704659254436,1.1577094305281554
0.1,1.6,no,0.34197877508546914,0.36684544309566813,0.02280594027569085,0.004564301078383501,4,2,-0.02486666801019899,0.93221486465701
0.1,1.6,full,0.5906762382568657,0.5965193258523221,0.04872493960908741,0.0005939798305963095,3,2,-0.0058430875954564865,0.9902046969105188
0.2,1.3,no,0.8000283106637316,0.8105551405550326,0.01765388233390423,0.007927247527011596,5,2,-0.010526829891301048,0.9870128145950777
0.2,1.3,full,0.845834674764503,0.8457017084259536,0.030300414979142556,0.00889123458516592,4,2,0.00013296633854942286,1.000157226049356
0.2,1.4,no,0.7160158953010101,0.6869259023268259,0.027958365491704412,0.002256817242108046,5,2,0.02908999297418413,1.0423480798666167
0.2,1.4,full,0.7659876784519613,0.7276858812736133,0.03553841560123233,0.01331028162575752,6,2,0.03830179717834792,1.052635069834406
0.2,1.5,no,0.6171305673420532,0.5943385138294799,0.01960648576334084,0.020122228845276674,4,2,0.022792053512573296,1.0383486060254081
0.2,1.5,full,0.7082057174187845,0.7045930379341507,0.049003689057419385,0.0026687929866254304,5,2,0.0036126794846337296,1.0051273278192274
0.2,1.6,no,0.5004257905710535,0.485908920821774,0.010097470165984735,5.2811599909129e-06,4,2,0.014516869749279515,1.0298757012419704
0.2,1.6,full,0.6452296413025504,0.6834358178655725,0.026815954138275405,0.039678546926953884,5,2,-0.038206176563022054,0.944096906301541
0.3,1.3,no,0.8021695205403911,0.8296500372148343,,0.002272246419115457,1,2,-0.02748051667444318,0.9668769777113537
0.3,1.3,full,0.8191112077483422,0.8372648105341852,0.00040431588554765016,0.01797811303693469,2,3,-0.018153602785842993,0.9783179675564523
0.3,1.4,no,0.7284436882274926,0.6716122213891087,0.025223985236194586,0.003026195423575637,3,2,0.056831466838383915,1.0846194649657184
0.3,1.4,full,0.7625399976812641,0.7691734332125764,0.007805210937606832,0.004118150509905979,2,3,-0.006633435531312237,0.9913758909956021
0.3,1.5,no,0.6066754798207341,0.6117206005870217,0.009750250761146446,0.002613055107282128,4,2,-0.005045120766287603,0.991752573378359
0.3,1.5,full,0.7253694393360042,0.7300660924483774,0.002687632309569943,0.014721277409202656,2,3,-0.004696653112373217,0.9935668110586778
0.3,1.6,no,0.5454600491385049,0.5223522127127694,0.021578663133099158,0.006410225890941315,4,3,0.02310783642573544,1.044238036832902
0.3,1.6,full,0.6874110523886319,0.7106651957818823,0.014042452707691725,0.017063120874688403,4,3,-0.02325414339325038,0.9672783421345604
