amp_tag,amp_v,panel,moor_grp,wind,n,ka_mean,Kt_mean,Kt_std
A1,0.1,full,above_50,full,4,0.05512105459559898,0.6340535754789551,0.029309401516075986
A1,0.1,full,above_50,no,9,0.05157021336540193,0.6297261840764807,0.03811542382278757
A1,0.1,full,below_90,full,15,0.051219359898854504,0.7766207938353991,0.043152472964313515
A1,0.1,full,below_90,no,23,0.05149867560978947,0.6579527574415579,0.028473254554109866
A1,0.1,reverse,above_50,full,2,0.05458354330719592,0.7054637555335885,0.014201806220491687
A1,0.1,reverse,above_50,no,7,0.05156673081368105,0.6174831924993153,0.06062447787266762
A2,0.2,full,above_50,full,2,0.1056169220258463,0.7123144841118896,0.0069569479302035294
A2,0.2,full,above_50,no,2,0.10471588009118282,0.7228307853366472,0.01239626165910927
A2,0.2,full,below_90,full,6,0.10108535787911473,0.8457903526516531,0.023805138393084128
A2,0.2,full,below_90,no,7,0.10078668511699125,0.8030359763469603,0.01564068106082197
A2,0.2,reverse,above_50,full,2,0.1038886528410895,0.6854129152724604,0.03366404676033493
A2,0.2,reverse,above_50,no,5,0.10475774219938146,0.6829094038381864,0.03497115834902035
A3,0.3,full,above_50,full,3,0.16221889725719854,0.7252936058924635,0.018950643801176857
A3,0.3,full,above_50,no,2,0.1547536308170793,0.7392469645734133,0.013482552449357055
A3,0.3,full,below_90,full,5,0.15239704012695637,0.8300033694198481,0.016140419147286048
A3,0.3,full,below_90,no,3,0.14759387143329267,0.82048986499002,0.01594703161906236
A3,0.3,reverse,above_50,full,2,0.1600027040187953,0.6844165931888768,0.007757369018110611
A3,0.3,reverse,above_50,no,5,0.15488747587365922,0.7135909126778406,0.027934576181184542
