amp_tag,amp_v,panel,moor_grp,wind,freq,n,ka_mean,Kt_mean,Kt_std
A1,0.1,full,above_50,full,1.3,4,0.055239617774781,0.6340535754789551,0.029309401516075986
A1,0.1,full,above_50,no,1.3,9,0.051624226621339336,0.6297261840764807,0.03811542382278757
A1,0.1,full,below_90,full,1.3,15,0.05132953068912384,0.7766207938353991,0.043152472964313515
A1,0.1,full,below_90,full,1.4,3,0.06136880618097038,0.7211306233734643,0.08631820024286115
A1,0.1,full,below_90,full,1.5,3,0.07217932660169209,0.6951864320100918,0.07437707193143754
A1,0.1,full,below_90,full,1.6,3,0.08538915448339927,0.6132367873249672,0.02895853864212948
A1,0.1,full,below_90,no,1.3,23,0.051451075862971006,0.6579527574415579,0.028473254554109866
A1,0.1,full,below_90,no,1.4,2,0.06362712786426096,0.5023336454369468,0.034339324603346155
A1,0.1,full,below_90,no,1.5,2,0.06927798849683126,0.45268041226075945,0.016190210434491453
A1,0.1,full,below_90,no,1.6,2,0.07381069255550879,0.36684544309566813,0.004564301078383521
A1,0.1,reverse,above_50,full,1.3,2,0.05470095032114004,0.7054637555335885,0.014201806220491687
A1,0.1,reverse,above_50,no,1.3,7,0.05173180154632497,0.6174831924993153,0.06062447787266762
A2,0.2,full,above_50,full,1.3,2,0.10484102993431957,0.7123144841118896,0.0069569479302035294
A2,0.2,full,above_50,no,1.3,2,0.10467121174054464,0.7228307853366472,0.01239626165910927
A2,0.2,full,below_90,full,1.3,6,0.10075586205257635,0.8457903526516531,0.023805138393084128
A2,0.2,full,below_90,full,1.4,3,0.12289608263428968,0.7591302514183461,0.055270489774158715
A2,0.2,full,below_90,full,1.5,3,0.14005945383837778,0.7327435914667276,0.04879469459453728
A2,0.2,full,below_90,full,1.6,3,0.16018250400511588,0.684497684149351,0.02811718732610212
A2,0.2,full,below_90,no,1.3,7,0.10044661223271072,0.8030359763469603,0.01564068106082197
A2,0.2,full,below_90,no,1.4,2,0.11938270345314615,0.6869259023268259,0.002256817242108085
A2,0.2,full,below_90,no,1.5,2,0.13676467939241127,0.5943385138294799,0.020122228845276636
A2,0.2,full,below_90,no,1.6,2,0.15045093426062078,0.485908920821774,5.2811599909129e-06
A2,0.2,reverse,above_50,full,1.3,2,0.10272136985803643,0.6854129152724604,0.03366404676033493
A2,0.2,reverse,above_50,no,1.3,5,0.10445816927371872,0.6829094038381864,0.03497115834902035
A3,0.3,full,above_50,full,1.3,3,0.1611764249597509,0.7252936058924635,0.018950643801176857
A3,0.3,full,above_50,no,1.3,2,0.15409211670207773,0.7392469645734133,0.013482552449357055
A3,0.3,full,below_90,full,1.3,5,0.15175740416855907,0.8300033694198481,0.016140419147286048
A3,0.3,full,below_90,full,1.4,4,0.18028737246644966,0.766135294934105,0.006944583924033468
A3,0.3,full,below_90,full,1.5,4,0.21038157911048913,0.7293670399281423,0.012100910574965871
A3,0.3,full,below_90,full,1.6,5,0.2352619962675476,0.7060900252091333,0.013607140950806573
A3,0.3,full,below_90,no,1.3,3,0.147480009161131,0.82048986499002,0.01594703161906236
A3,0.3,full,below_90,no,1.4,2,0.17723746214858715,0.6716122213891087,0.0030261954235756765
A3,0.3,full,below_90,no,1.5,2,0.19361492073329964,0.6117206005870217,0.002613055107282167
A3,0.3,full,below_90,no,1.6,3,0.21619674724018934,0.5223522127127694,0.00641022589094132
A3,0.3,reverse,above_50,full,1.3,2,0.16076202869167033,0.6844165931888768,0.007757369018110611
A3,0.3,reverse,above_50,no,1.3,5,0.15464376811092267,0.7135909126778406,0.027934576181184542
