freq_hz,amp_v,amp_tag,L_panel_m,march_T_panel_now,march_T_panel_wind,march_G_nopanel_now_at_2_427m,march_G_nopanel_wind_at_2_427m,march_L_nopanel_m,march_k_nopanel_now,march_k_nopanel_wind,march_G_nopanel_now_at_3m,march_G_nopanel_wind_at_3m,march_D_now,march_D_wind,march_R_D,march_n_panel_now,march_n_panel_wind,march_n_nopanel_now,march_n_nopanel_wind,ASSUMPTION_kwind_eq_know_march_D_wind,ASSUMPTION_kwind_eq_know_march_R_D,nov_G_nopanel_now_at_3m,nov_G_nopanel_wind_at_3m,nov_n_nopanel_now,nov_n_nopanel_wind,bridge_D_now_marchpanel_novNopanel,bridge_D_wind_marchpanel_novNopanel,bridge_R_D_marchpanel_novNopanel,panel_source,nopanel_source_march,nopanel_source_bridge,bridge_caveat
1.3,0.1,A1,3.027,0.6586198148332059,0.7450531395155987,0.9618400597748307,,2.427,-0.01603094362140524,,0.9526328883905456,,0.691367916077232,,,14,13,1,0,0.7820989056701068,1.1312340180719918,1.0000814273731933,1.540422388671757,3,2,0.6585661895183195,0.48366808025818653,0.7344259209722643,march_canon,march_rearrang_2.427m_extrapolated,november_3.027m_no_extrapolation,Nov uses IN-centre (9373/250) + OUT-wall (12400/170); march panel uses IN-wall+far + OUT-centre. Lateral swap.
1.4,0.1,A1,3.027,0.5089812824458236,0.6651574307789966,0.970948602750946,,2.427,-0.012147401885909995,,0.9638976275400081,,0.5280449582024701,,,3,5,1,0,0.6900706172257781,1.3068406515514575,,,0,0,,,,march_canon,march_rearrang_2.427m_extrapolated,no_data,Nov uses IN-centre (9373/250) + OUT-wall (12400/170); march panel uses IN-wall+far + OUT-centre. Lateral swap.
1.5,0.1,A1,3.027,0.43263827504663566,0.665328067383586,0.9681941705223108,,2.427,-0.013317932607485709,,0.9604883922073667,,0.45043571432691537,,,3,4,1,0,0.6926976658765737,1.5378391274139298,,,0,0,,,,march_canon,march_rearrang_2.427m_extrapolated,no_data,Nov uses IN-centre (9373/250) + OUT-wall (12400/170); march panel uses IN-wall+far + OUT-centre. Lateral swap.
1.6,0.1,A1,3.027,0.33737631884278,0.5748910672827425,0.967967162062351,,2.427,-0.013414551203247395,,0.9602075245341057,,0.35135771197635174,,,3,4,2,0,0.598715436604895,1.7040053944943487,,,0,0,,,,march_canon,march_rearrang_2.427m_extrapolated,no_data,Nov uses IN-centre (9373/250) + OUT-wall (12400/170); march panel uses IN-wall+far + OUT-centre. Lateral swap.
1.3,0.2,A2,3.027,0.7758005877461984,0.8166471987755295,0.9712892675559885,,2.427,-0.01200286287658474,,0.9643194438960845,,0.8045058021559494,,,3,4,1,0,0.8468637689976225,1.052650915292544,0.9915220298959165,1.4737015005032033,2,2,0.7824340401469818,0.5541469547915103,0.7082347218526084,march_canon,march_rearrang_2.427m_extrapolated,november_3.027m_no_extrapolation,Nov uses IN-centre (9373/250) + OUT-wall (12400/170); march panel uses IN-wall+far + OUT-centre. Lateral swap.
1.4,0.2,A2,3.027,0.6894875019732596,0.7308455245298714,,,2.427,,,,,,,,3,4,0,0,,,,,0,0,,,,march_canon,march_rearrang_2.427m_extrapolated,no_data,Nov uses IN-centre (9373/250) + OUT-wall (12400/170); march panel uses IN-wall+far + OUT-centre. Lateral swap.
1.5,0.2,A2,3.027,0.5872151110332272,0.7027459730150909,,,2.427,,,,,,,,3,4,0,0,,,,,0,0,,,,march_canon,march_rearrang_2.427m_extrapolated,no_data,Nov uses IN-centre (9373/250) + OUT-wall (12400/170); march panel uses IN-wall+far + OUT-centre. Lateral swap.
1.6,0.2,A2,3.027,0.4735195295006576,0.6460666174140286,0.9755975417853868,,2.427,-0.01017928814945271,,0.9696571677874026,,0.48833705894336954,,,3,4,1,0,0.6662835472956342,1.364392759249714,,,0,0,,,,march_canon,march_rearrang_2.427m_extrapolated,no_data,Nov uses IN-centre (9373/250) + OUT-wall (12400/170); march panel uses IN-wall+far + OUT-centre. Lateral swap.
1.3,0.3,A3,3.027,0.829640953541756,0.8333034082772596,,,2.427,,,,,,,,2,4,0,0,,,0.979016310420146,1.4441356304560966,2,2,0.8474230150320117,0.5770257243871755,0.6809181650151173,march_canon,march_rearrang_2.427m_extrapolated,november_3.027m_no_extrapolation,Nov uses IN-centre (9373/250) + OUT-wall (12400/170); march panel uses IN-wall+far + OUT-centre. Lateral swap.
1.4,0.3,A3,3.027,0.6712527710055859,0.764892146752621,,,2.427,,,,,,,,2,4,0,0,,,,,0,0,,,,march_canon,march_rearrang_2.427m_extrapolated,no_data,Nov uses IN-centre (9373/250) + OUT-wall (12400/170); march panel uses IN-wall+far + OUT-centre. Lateral swap.
1.5,0.3,A3,3.027,0.6113907854356088,0.7295555977292296,,,2.427,,,,,,,,2,4,0,0,,,,,0,0,,,,march_canon,march_rearrang_2.427m_extrapolated,no_data,Nov uses IN-centre (9373/250) + OUT-wall (12400/170); march panel uses IN-wall+far + OUT-centre. Lateral swap.
