series,campaign,panel_state,freq_hz,amp_v,amp_tag,wind,L_separation_m,n_runs,A_IN_mean_mm,A_IN_std_mm,A_OUT_mean_mm,A_OUT_std_mm,G_at_L
march_nopanel,march,nopanel,1.3,0.1,A1,no,2.427,1,7.5573071554007845,0.0028521637765498114,7.268920766087446,,0.9618400597748307
march_nopanel,march,nopanel,1.3,0.2,A2,no,2.427,1,14.98697970823101,,14.55669254368416,,0.9712892675559885
march_nopanel,march,nopanel,1.4,0.1,A1,no,2.427,1,7.3869474869608105,,7.17234634105921,,0.970948602750946
march_nopanel,march,nopanel,1.5,0.1,A1,no,2.427,1,7.273736362975947,,7.042389144549467,,0.9681941705223108
march_nopanel,march,nopanel,1.6,0.1,A1,no,2.427,2,6.974299558182807,0.13480611698809383,6.75089295070692,0.126072971516065,0.967967162062351
march_nopanel,march,nopanel,1.6,0.2,A2,no,2.427,1,13.749071329122428,,13.413560190523782,,0.9755975417853868
march_panel,march,panel,1.3,0.1,A1,full,3.027,13,7.640278919700348,0.29691786305862106,5.6924137958975916,0.4513540228241067,0.7450531395155987
march_panel,march,panel,1.3,0.1,A1,no,3.027,14,7.551638289438786,0.19533519763867194,4.973658611877521,0.11632944512206617,0.6586198148332059
march_panel,march,panel,1.3,0.2,A2,full,3.027,4,15.029094757356788,0.40173909135105534,12.273468133727416,0.8906617216614041,0.8166471987755295
march_panel,march,panel,1.3,0.2,A2,no,3.027,3,14.925108611212474,0.2745171033102609,11.578908032754486,0.6151589298291036,0.7758005877461984
march_panel,march,panel,1.3,0.3,A3,full,3.027,4,22.290006832437356,0.5092775486571399,18.57433866399345,0.2135772643373389,0.8333034082772596
march_panel,march,panel,1.3,0.3,A3,no,3.027,2,21.542510068163168,0.059233476849007524,17.87254859463377,0.09828196589770578,0.829640953541756
march_panel,march,panel,1.4,0.1,A1,full,3.027,5,7.928181513542133,0.36199975698333786,5.273488846297221,0.5285448451947571,0.6651574307789966
march_panel,march,panel,1.4,0.1,A1,no,3.027,3,7.753004157207947,0.5200077385346147,3.946133998743503,0.24089813653477618,0.5089812824458236
march_panel,march,panel,1.4,0.2,A2,full,3.027,4,15.742717112241134,0.6025745634009215,11.505494345421255,0.8755159771196022,0.7308455245298714
march_panel,march,panel,1.4,0.2,A2,no,3.027,3,14.807314720105138,0.7117800576032121,10.209458437297167,0.3831613525100611,0.6894875019732596
march_panel,march,panel,1.4,0.3,A3,full,3.027,4,23.10987353377243,0.4073133872775106,17.676560778428772,0.39050148987570443,0.764892146752621
march_panel,march,panel,1.4,0.3,A3,no,3.027,2,22.478482323443423,0.02446654699737474,15.088743547611479,0.11221607120987413,0.6712527710055859
march_panel,march,panel,1.5,0.1,A1,full,3.027,4,7.979670487658387,0.254083307468916,5.3090987439115915,0.5444000552187858,0.665328067383586
march_panel,march,panel,1.5,0.1,A1,no,3.027,3,7.614550819888396,0.11808652848438111,3.294346131971461,0.3136639231267482,0.43263827504663566
march_panel,march,panel,1.5,0.2,A2,full,3.027,4,15.630980149269849,0.5404756823008531,10.98460835417821,0.7919532950420055,0.7027459730150909
march_panel,march,panel,1.5,0.2,A2,no,3.027,3,14.924622946888384,0.28158270775272826,8.763964120886113,0.40263867588855334,0.5872151110332272
march_panel,march,panel,1.5,0.3,A3,full,3.027,4,23.377552411032166,0.7611437961014741,17.055224222676966,0.3374657294906736,0.7295555977292296
march_panel,march,panel,1.5,0.3,A3,no,3.027,2,21.411325809073787,0.134570758894219,13.090687303627345,0.02638025378908843,0.6113907854356088
march_panel,march,panel,1.6,0.1,A1,full,3.027,4,8.48599669734891,0.5044786867607209,4.878523698296743,0.34567903728884203,0.5748910672827425
march_panel,march,panel,1.6,0.1,A1,no,3.027,3,7.280653727002541,0.280845906628944,2.456320153185084,0.2688031096084627,0.33737631884278
march_panel,march,panel,1.6,0.2,A2,full,3.027,4,15.883000579003955,0.7911169461127058,10.261476458462143,0.9101349296834882,0.6460666174140286
march_panel,march,panel,1.6,0.2,A2,no,3.027,3,14.76549920598635,0.10560644517997059,6.99175223686099,0.24817347804513895,0.4735195295006576
nov_nopanel,november,nopanel,1.3,0.1,A1,full,3.027,2,5.455674757349613,4.447799335899999,8.4040435415327,0.3645631109529015,1.540422388671757
nov_nopanel,november,nopanel,1.3,0.1,A1,no,3.027,3,7.591857136374472,0.04997126626433575,7.592475321358745,0.17440835102367416,1.0000814273731933
nov_nopanel,november,nopanel,1.3,0.2,A2,full,3.027,2,10.667884706411272,8.875993241157834,15.721277699033465,0.7448118518590694,1.4737015005032033
nov_nopanel,november,nopanel,1.3,0.2,A2,no,3.027,2,14.980967688036667,0.2153668546578383,14.853959491847252,0.05012885301134979,0.9915220298959165
nov_nopanel,november,nopanel,1.3,0.3,A3,full,3.027,2,15.792522098914363,13.50490369743537,22.806543857807533,0.22588308099874824,1.4441356304560966
nov_nopanel,november,nopanel,1.3,0.3,A3,no,3.027,2,22.240524326569567,0.18657319250564386,21.77383606800764,0.022457940615455606,0.979016310420146
nov_panel,november,panel,1.3,0.1,A1,full,3.027,0,0.16578846915824866,,,,
nov_panel,november,panel,1.3,0.2,A2,full,3.027,0,1.080626463191203,,,,
nov_panel,november,panel,1.3,0.3,A3,full,3.027,0,0.1713619500450271,,,,
