path,campaign,series,panel_state,wind,freq_hz,amp_v,amp_tag,file_date,in_probes,out_probe,L_separation_m,A_IN[9373/170]_mm,A_IN[9373/340]_mm,A_IN_mean_mm,n_in_probes_used,A_OUT_mm,A_IN[9373/250]_mm
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,march,march_panel,panel,full,1.5,0.2,A2,2026-03-26,9373/170+9373/340,12400/250,3.027,14.136865128133868,15.636376973515597,14.886621050824733,2,11.733933170384967,
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1300-per240-depth580-mstop30-run1.csv,march,march_panel,panel,full,1.3,0.2,A2,2026-03-26,9373/170+9373/340,12400/250,3.027,14.922296668501707,14.500812034820337,14.711554351661022,2,12.952984260721095,
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1400-per240-depth580-mstop30-run1.csv,march,march_panel,panel,full,1.4,0.1,A1,2026-03-26,9373/170+9373/340,12400/250,3.027,7.36793195176225,7.2522792346885225,7.310105593225386,2,5.924564379012312,
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,march,march_panel,panel,full,1.3,0.1,A1,2026-03-26,9373/170+9373/340,12400/250,3.027,7.555140668652038,7.062753831253228,7.308947249952633,2,5.9251409969289695,
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0200-freq1400-per240-depth580-mstop30-run1.csv,march,march_panel,panel,full,1.4,0.2,A2,2026-03-26,9373/170+9373/340,12400/250,3.027,14.684267206607782,15.394105201996306,15.039186204302045,2,12.35014558456739,
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per40-depth580-mstop330-run1.csv,march,march_panel,panel,full,1.3,0.1,A1,2026-03-26,9373/170+9373/340,12400/250,3.027,7.41341303323612,7.480839334416438,7.4471261838262794,2,6.140860873458276,
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run1.csv,march,march_panel,panel,no,1.3,0.1,A1,2026-03-26,9373/170+9373/340,12400/250,3.027,7.736989503299463,7.684953356178065,7.710971429738764,2,5.152971035919638,
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1500-per240-depth580-mstop30-run1.csv,march,march_panel,panel,full,1.5,0.1,A1,2026-03-26,9373/170+9373/340,12400/250,3.027,7.118383909647489,8.271278927371212,7.6948314185093505,2,5.821763961747634,
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-nowind-amp0100-freq1300-per240-depth580-mstop30-run2.csv,march,march_panel,panel,no,1.3,0.1,A1,2026-03-26,9373/170+9373/340,12400/250,3.027,7.78960138023619,7.822678557887497,7.806139969061844,2,4.861365799205123,
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1300-per240-depth580-mstop330-run1.csv,march,march_panel,panel,full,1.3,0.1,A1,2026-03-26,9373/170+9373/340,12400/250,3.027,7.324872031674166,7.739775809344627,7.532323920509397,2,6.043296849623259,
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0300-freq1300-per240-depth580-mstop30-run1.csv,march,march_panel,panel,full,1.3,0.3,A3,2026-03-26,9373/170+9373/340,12400/250,3.027,22.532398810621746,23.355444882882683,22.943921846752215,2,18.836201546044656,
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0300-freq1500-per240-depth580-mstop30-run1.csv,march,march_panel,panel,full,1.5,0.3,A3,2026-03-26,9373/170+9373/340,12400/250,3.027,24.015802034377284,23.494228837357127,23.755015435867207,2,17.220460214614135,
/Users/ole/Kodevik/wave_project/wavedata/20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange/fullpanel-fullwind-amp0100-freq1600-per240-depth580-mstop30-run1.csv,march,march_panel,panel,full,1.6,0.1,A1,2026-03-26,9373/170+9373/340,12400/250,3.027,7.483852096323581,8.316456913827052,7.900154505075316,2,5.084411924461143,
