category,WindCondition,WaveFrequencyInput [Hz],n,Kt_mean,Kt_std
canon_full,full,0.5,1,1.033,
canon_full,full,0.6,4,0.887,0.014
canon_full,full,0.7,5,1.012,0.009
canon_full,full,0.8,4,0.956,0.015
canon_full,full,0.9,4,0.919,0.027
canon_full,full,1.0,5,0.919,0.042
canon_full,full,1.1,6,0.843,0.027
canon_full,full,1.2,6,0.786,0.041
canon_full,full,1.3,9,0.682,0.05
canon_full,full,1.4,6,0.647,0.078
canon_full,full,1.5,5,0.621,0.031
canon_full,full,1.6,5,0.546,0.115
canon_full,full,1.7,5,0.519,0.119
canon_full,full,1.8,6,0.436,0.148
canon_full,full,1.9,4,0.427,0.066
canon_full,no,0.5,2,0.995,0.003
canon_full,no,0.6,1,0.891,
canon_full,no,0.7,2,1.007,0.01
canon_full,no,0.8,3,0.948,0.002
canon_full,no,0.9,4,0.941,0.021
canon_full,no,1.0,6,0.936,0.03
canon_full,no,1.1,5,0.892,0.02
canon_full,no,1.2,6,0.796,0.059
canon_full,no,1.3,13,0.661,0.058
canon_full,no,1.4,6,0.645,0.083
canon_full,no,1.5,7,0.498,0.096
canon_full,no,1.6,6,0.4,0.094
canon_full,no,1.7,4,0.27,0.062
canon_full,no,1.8,1,0.172,
canon_full,no,1.9,2,0.162,0.004
nov_reverse,full,0.65,7,0.954,0.01
nov_reverse,full,1.3,6,0.692,0.02
nov_reverse,no,0.65,12,0.965,0.008
nov_reverse,no,1.3,17,0.665,0.061
