f_hz,amp_V,wind,t_settle,t_decay,steady_periods
1.3,0.1,no,15.328,46.844,40.970800000000004
1.3,0.1,full,18.24,30.544,15.995200000000004
1.3,0.2,no,14.432,47.496,42.983200000000004
1.3,0.2,full,15.924,45.228,38.095200000000006
1.3,0.3,no,14.42,46.792,42.083600000000004
1.3,0.3,full,15.156,46.032,40.138799999999996
1.4,0.1,no,16.02,46.696,42.9464
1.4,0.1,full,17.484,23.796,8.836799999999997
1.4,0.2,no,16.004,47.32,43.8424
1.4,0.2,full,16.576,45.94,41.10959999999999
1.4,0.3,no,15.196,47.312,44.962399999999995
1.4,0.3,full,15.824,47.856,44.8448
1.5,0.1,no,16.728,46.1,44.058
1.5,0.1,full,18.732,43.992,37.89
1.5,0.2,no,16.708,46.68,44.958
1.5,0.2,full,17.904,44.048,39.216
1.5,0.3,no,15.948,50.508,51.84
1.5,0.3,full,16.412,45.3,43.331999999999994
1.6,0.1,no,18.1,50.184,51.334399999999995
1.6,0.1,full,19.908,41.784,35.001599999999996
1.6,0.2,no,17.392,46.168,46.0416
1.6,0.2,full,18.548,43.024,39.16160000000001
1.6,0.3,no,23.492,34.764,18.035200000000003
1.6,0.3,full,18.224,38.932,33.1328
