freq_hz,probe,wind,run_type,n,plat_end_strict_s_med,plat_end_strict_s_min,plat_end_strict_s_max,plat_end_strict_T_med,plat_end_relax_s_med,plat_end_relax_T_med
1.3,IN,full,per240,2,27.549999999999997,26.2,28.9,15.627505616326811,53.5,49.36250561632681
1.3,IN,full,per40,1,27.7,27.7,27.7,15.82250561632681,28.5,16.86250561632681
1.3,IN,no,per240,1,24.8,24.8,24.8,12.052505616326812,45.8,39.35250561632681
1.3,IN,no,per40,1,24.8,24.8,24.8,12.052505616326812,37.4,28.43250561632681
1.3,OUT,full,per240,2,46.05,31.0,61.1,33.15797659686893,49.05,37.057976596868926
1.3,OUT,full,per40,1,37.1,37.1,37.1,21.522976596868926,42.2,28.15297659686893
1.3,OUT,no,per240,1,30.7,30.7,30.7,13.202976596868924,32.0,14.892976596868923
1.3,OUT,no,per40,1,32.6,32.6,32.6,15.672976596868926,34.1,17.622976596868927
1.4,IN,full,per240,2,29.75,26.9,32.6,18.15770287188776,40.15,32.71770287188776
1.4,IN,full,per40,1,31.9,31.9,31.9,21.16770287188776,34.6,24.947702871887763
1.4,IN,no,per240,1,47.7,47.7,47.7,43.28770287188777,50.5,47.20770287188776
1.4,IN,no,per40,1,34.4,34.4,34.4,24.66770287188776,34.5,24.807702871887763
1.4,OUT,full,per240,2,33.85,33.5,34.2,16.310891455394028,67.15,62.930891455394026
1.4,OUT,full,per40,1,32.0,32.0,32.0,13.720891455394028,39.9,24.780891455394027
1.4,OUT,no,per240,1,40.4,40.4,40.4,25.480891455394026,51.9,41.580891455394024
1.4,OUT,no,per40,1,34.9,34.9,34.9,17.780891455394027,35.3,18.340891455394022
1.5,IN,full,per240,2,30.4,27.3,33.5,18.599260572391714,31.75,20.62426057239171
1.5,IN,full,per40,1,27.8,27.8,27.8,14.699260572391712,33.5,23.249260572391712
1.5,IN,no,per240,1,39.1,39.1,39.1,31.64926057239171,55.6,56.39926057239172
1.5,IN,no,per40,1,27.6,27.6,27.6,14.399260572391713,31.6,20.39926057239171
1.5,OUT,full,per240,2,45.599999999999994,36.8,54.4,32.67940158942251,49.4,38.37940158942251
1.5,OUT,full,per40,1,35.0,35.0,35.0,16.779401589422513,39.1,22.92940158942251
1.5,OUT,no,per240,1,33.2,33.2,33.2,14.079401589422515,34.8,16.47940158942251
1.5,OUT,no,per40,1,40.1,40.1,40.1,24.42940158942251,40.2,24.579401589422517
1.6,IN,full,per240,2,28.15,26.9,29.4,14.307488657249802,31.299999999999997,19.347488657249805
1.6,IN,full,per40,1,33.5,33.5,33.5,22.867488657249808,33.7,23.187488657249812
1.6,IN,no,per240,1,34.3,34.3,34.3,24.147488657249802,80.0,97.26748865724981
1.6,IN,no,per40,1,31.9,31.9,31.9,20.307488657249806,34.4,24.307488657249806
1.6,OUT,full,per240,2,42.099999999999994,33.8,50.4,26.702458055040807,55.9,48.782458055040806
1.6,OUT,full,per40,1,39.2,39.2,39.2,22.062458055040818,39.3,22.222458055040807
1.6,OUT,no,per240,1,33.0,33.0,33.0,12.142458055040812,52.6,43.50245805504082
1.6,OUT,no,per40,1,36.0,36.0,36.0,16.942458055040813,40.2,23.662458055040815
