amp_v,freq_hz,wind,n,A_in_mm,A_out_mm,OUT_IN,OUT_IN_sd
0.1,1.3,full,10,7.48614152335972,5.845752779809998,0.7775107365206276,0.04593471630968589
0.1,1.3,no,9,7.4965937593012,4.96410100201842,0.6621808732611852,0.028285492059494172
0.1,1.4,full,3,8.01136037340327,5.686978037444424,0.7098642143629552,0.08025776143508224
0.1,1.4,no,2,8.006448612436234,4.056371417746572,0.5068125074685363,0.03662738387405259
0.1,1.5,full,3,7.986783344674809,5.671737282690338,0.710140370399802,0.07584900838094787
0.1,1.5,no,2,7.668073667127805,3.465235255011048,0.45203789169095054,0.015331803679591199
0.1,1.6,full,3,8.294661411483789,5.091280671852184,0.597370474591339,0.030060367639828514
0.1,1.6,no,2,7.119783951675615,2.612585173913854,0.36696637079300576,0.005879919778088197
0.2,1.3,full,3,14.729360381305543,12.749026908656088,0.8435895216408619,0.019112416165630114
0.2,1.3,no,2,14.749865634009133,11.925959015081915,0.8085448450701543,0.007016795539715596
0.2,1.4,full,3,15.557030584722371,11.885865707097738,0.744370194884094,0.05381563624086437
0.2,1.4,no,2,15.25969935811769,10.48371975388969,0.6870072434942021,0.003071985571403853
0.2,1.5,full,3,15.363952416146782,11.346914570502683,0.7136528098657862,0.04479101715693997
0.2,1.5,no,2,14.988599650982593,8.978674696384838,0.5990256365267465,0.019211364534009574
0.2,1.6,full,3,15.277073634275858,10.72098656612823,0.6885061046895372,0.020777811177294266
0.2,1.6,no,2,14.689709805645258,7.134046511250608,0.485650497143004,0.00033337284743108404
0.3,1.3,full,4,22.25088347920375,18.510553759502642,0.8270195714549258,0.01591682795439191
0.3,1.3,no,2,21.51733107146824,17.876359591838938,0.8307856096779269,0.0029886285657604273
0.3,1.4,full,4,23.112170852460615,17.64326505674775,0.76838621179032,0.009168754119839164
0.3,1.4,no,1,22.391305781541345,15.118642106059294,0.6752014488821194,
0.3,1.5,full,4,23.116908405941608,17.054660598298383,0.7372355952743712,0.010091483787918479
0.3,1.5,no,2,21.45926804989881,13.111581215178973,0.6110035951536377,0.0025982600605599085
0.3,1.6,full,5,23.081452809618114,16.227811812162958,0.7019928069224297,0.017146675255534264
0.3,1.6,no,3,20.69933525411872,11.01097808198603,0.5346995734361428,0.025186025359368293
