f_hz,amp_V,wind,n_upcrossings,t_first_uc,t_settle,t_exp_7T,t_snap,settle_minus_snap
1.3,0.1,no,28,0.288,15.264,20.88,21.096,-5.832000000000001
1.3,0.1,full,70,0.132,16.708,20.88,20.848,-4.140000000000001
1.3,0.2,no,35,0.188,14.432,20.88,21.048,-6.615999999999998
1.3,0.2,full,64,0.288,15.904,20.88,20.908,-5.004000000000001
1.3,0.3,no,30,0.404,14.428,20.88,20.992,-6.564
1.3,0.3,full,61,0.16,14.352,20.88,20.912,-6.559999999999999
1.4,0.1,no,22,1.46,16.032,21.832,22.172,-6.140000000000001
1.4,0.1,full,69,0.072,18.032,21.832,22.02,-3.9879999999999995
1.4,0.2,no,24,2.38,16.004,21.832,22.08,-6.075999999999997
1.4,0.2,full,71,0.268,15.864,21.832,21.932,-6.067999999999998
1.4,0.3,no,23,1.324,15.196,21.832,22.012,-6.816000000000001
1.4,0.3,full,68,0.288,15.728,21.832,21.864,-6.136000000000001
1.5,0.1,no,24,0.128,16.728,22.712,22.5,-5.7719999999999985
1.5,0.1,full,80,0.092,19.364,22.712,22.936,-3.571999999999999
1.5,0.2,no,44,0.192,16.732,22.712,22.44,-5.708000000000002
1.5,0.2,full,75,0.168,17.344,22.712,22.948,-5.603999999999999
1.5,0.3,no,24,0.98,15.948,22.712,22.924,-6.975999999999999
1.5,0.3,full,69,0.084,16.436,22.712,22.796,-6.359999999999999
1.6,0.1,no,44,0.292,18.1,23.544,23.492,-5.3919999999999995
1.6,0.1,full,82,0.2,19.244,23.544,23.308,-4.064
1.6,0.2,no,24,0.456,17.392,23.544,23.352,-5.960000000000001
1.6,0.2,full,78,0.16,17.284,23.544,23.824,-6.540000000000003
1.6,0.3,no,39,0.368,,23.544,23.82,
1.6,0.3,full,78,0.22,17.012,23.544,23.608,-6.596
