freq,wind,amp_v,cfg,mean,std,count,cell_key
1.2,full,0.2,100/high,0.8830022982607936,,1,"(1.2, 'full', 0.2)"
1.2,full,0.2,100/low,0.8630116798818325,,1,"(1.2, 'full', 0.2)"
1.3,full,0.1,100/high,0.7674761012639586,0.02656717730649908,4,"(1.3, 'full', 0.1)"
1.3,full,0.1,100/low,0.8296424499847292,0.03513265640750919,4,"(1.3, 'full', 0.1)"
1.3,full,0.1,272/high,0.7183955647068712,,1,"(1.3, 'full', 0.1)"
1.3,full,0.2,100/high,0.8338406933916694,0.022672432309549673,3,"(1.3, 'full', 0.2)"
1.3,full,0.2,100/low,0.8818166188830034,,1,"(1.3, 'full', 0.2)"
1.3,full,0.3,100/high,0.8193971022527544,,1,"(1.3, 'full', 0.3)"
1.3,full,0.3,100/low,0.81882531324393,,1,"(1.3, 'full', 0.3)"
1.3,no,0.1,100/high,0.6561335476837991,0.03338621694030681,11,"(1.3, 'no', 0.1)"
1.3,no,0.1,100/low,0.645698584239637,0.031124102206435012,2,"(1.3, 'no', 0.1)"
1.3,no,0.1,272/high,0.6571365706205435,0.01205281669337276,3,"(1.3, 'no', 0.1)"
1.4,full,0.1,100/high,0.7023892642572813,,1,"(1.4, 'full', 0.1)"
1.4,full,0.1,100/low,0.8124107686489684,,1,"(1.4, 'full', 0.1)"
1.4,full,0.1,272/high,0.6957789580077434,0.014651533077933062,2,"(1.4, 'full', 0.1)"
1.4,full,0.2,100/high,0.7547814158007912,0.025236309352891062,5,"(1.4, 'full', 0.2)"
1.4,full,0.2,100/low,0.8220189917078118,,1,"(1.4, 'full', 0.2)"
1.4,full,0.3,100/high,0.7680591152638374,,1,"(1.4, 'full', 0.3)"
1.4,full,0.3,100/low,0.757020880098691,,1,"(1.4, 'full', 0.3)"
1.4,no,0.1,100/high,0.5500221975066735,0.041546200131534976,4,"(1.4, 'no', 0.1)"
1.4,no,0.1,272/high,0.5051389475922111,,1,"(1.4, 'no', 0.1)"
1.5,full,0.1,100/high,0.6906403818626882,,1,"(1.5, 'full', 0.1)"
1.5,full,0.1,100/low,0.7641792587858661,,1,"(1.5, 'full', 0.1)"
1.5,full,0.1,272/high,0.8398415549956929,,1,"(1.5, 'full', 0.1)"
1.5,full,0.2,100/high,0.6879959721405102,0.021884317677966093,4,"(1.5, 'full', 0.2)"
1.5,full,0.2,100/low,0.7890446985318814,,1,"(1.5, 'full', 0.2)"
1.5,full,0.3,100/high,0.7234689963045713,,1,"(1.5, 'full', 0.3)"
1.5,full,0.3,100/low,0.7272698823674372,,1,"(1.5, 'full', 0.3)"
1.5,no,0.1,100/high,0.44555439198566404,0.03351727782853814,4,"(1.5, 'no', 0.1)"
1.5,no,0.1,272/high,0.4106451077331304,,1,"(1.5, 'no', 0.1)"
1.5,no,0.3,100/high,0.6041195168248428,0.01016874642419902,3,"(1.5, 'no', 0.3)"
1.5,no,0.3,136/high,0.6143433688084081,,1,"(1.5, 'no', 0.3)"
1.6,full,0.1,100/high,0.5579350778112978,,1,"(1.6, 'full', 0.1)"
1.6,full,0.1,100/low,0.6466717102702577,,1,"(1.6, 'full', 0.1)"
1.6,full,0.1,272/high,0.5674219266890416,,1,"(1.6, 'full', 0.1)"
1.6,full,0.2,100/high,0.6348816974489612,0.015650162357449517,4,"(1.6, 'full', 0.2)"
1.6,full,0.2,100/low,0.686621416716908,,1,"(1.6, 'full', 0.2)"
1.6,full,0.3,100/high,0.6755948354272538,0.0056350636953750935,2,"(1.6, 'full', 0.3)"
1.6,full,0.3,100/low,0.6992272693500099,0.0011513288752161678,2,"(1.6, 'full', 0.3)"
1.6,no,0.1,100/high,0.3442842588696908,0.027354612680710984,3,"(1.6, 'no', 0.1)"
1.6,no,0.1,272/high,0.33506232373280453,,1,"(1.6, 'no', 0.1)"
1.6,no,0.3,100/high,0.5472195110663152,0.026074581804224086,3,"(1.6, 'no', 0.3)"
1.6,no,0.3,136/high,0.5401816633550739,,1,"(1.6, 'no', 0.3)"
1.7,full,0.1,100/high,0.5462946243316041,,1,"(1.7, 'full', 0.1)"
1.7,full,0.1,272/high,0.520772527991207,,1,"(1.7, 'full', 0.1)"
1.7,full,0.2,100/high,0.595009555743418,0.031909219378676815,3,"(1.7, 'full', 0.2)"
1.7,full,0.2,100/low,0.6658421576440351,,1,"(1.7, 'full', 0.2)"
1.7,no,0.1,100/high,0.2714148436033546,0.005073208487162945,3,"(1.7, 'no', 0.1)"
1.7,no,0.1,272/high,0.2610775484428893,,1,"(1.7, 'no', 0.1)"
