freq,wind,amp_v,mean_grand,spread_max_min,spread_std,n_cfgs,cfgs,n_runs_total
1.2,full,0.2,0.873006989071313,0.0199906183789611,0.00999530918948055,2,"100/high,100/low",2
1.3,full,0.1,0.7718380386518531,0.11124688527785809,0.04552096399344052,3,"100/high,100/low,272/high",9
1.3,full,0.2,0.8578286561373365,0.047975925491334004,0.023987962745667002,2,"100/high,100/low",4
1.3,full,0.3,0.8191112077483422,0.0005717890088243749,0.00028589450441218744,2,"100/high,100/low",2
1.3,no,0.1,0.6529895675146599,0.01143798638090654,0.005171739977377457,3,"100/high,100/low,272/high",16
1.4,full,0.1,0.7368596636379978,0.11663181064122508,0.05349081627383786,3,"100/high,100/low,272/high",4
1.4,full,0.2,0.7884002037543014,0.06723757590702062,0.03361878795351031,2,"100/high,100/low",6
1.4,full,0.3,0.7625399976812641,0.01103823516514646,0.00551911758257323,2,"100/high,100/low",2
1.4,no,0.1,0.5275805725494422,0.04488324991446235,0.022441624957231177,2,"100/high,272/high",5
1.5,full,0.1,0.764887065214749,0.14920117313300474,0.06091318006541108,3,"100/high,100/low,272/high",3
1.5,full,0.2,0.7385203353361958,0.10104872639137119,0.050524363195685595,2,"100/high,100/low",5
1.5,full,0.3,0.7253694393360042,0.0038008860628658825,0.0019004430314329412,2,"100/high,100/low",2
1.5,no,0.1,0.42809974985939725,0.034909284252533646,0.017454642126266823,2,"100/high,272/high",5
1.5,no,0.3,0.6092314428166254,0.010223851983565346,0.005111925991782673,2,"100/high,136/high",4
1.6,full,0.1,0.5906762382568657,0.08873663245895991,0.03978374659672979,3,"100/high,100/low,272/high",3
1.6,full,0.2,0.6607515570829345,0.05173971926794685,0.025869859633973424,2,"100/high,100/low",5
1.6,full,0.3,0.6874110523886319,0.023632433922756046,0.011816216961378023,2,"100/high,100/low",4
1.6,no,0.1,0.3396732913012477,0.009221935136886239,0.0046109675684431195,2,"100/high,272/high",4
1.6,no,0.3,0.5437005872106946,0.007037847711241274,0.003518923855620637,2,"100/high,136/high",4
1.7,full,0.1,0.5335335761614055,0.02552209634039715,0.012761048170198575,2,"100/high,272/high",2
1.7,full,0.2,0.6304258566937265,0.07083260190061713,0.035416300950308566,2,"100/high,100/low",4
1.7,no,0.1,0.26624619602312194,0.010337295160465332,0.005168647580232666,2,"100/high,272/high",4
