cfg,freq,wind,mean,std,count
100/high,0.8,no,0.94750391804972,,1
100/high,0.9,no,0.9272909241845274,,1
100/high,1.0,no,0.9448648593589496,,1
100/high,1.1,no,0.8795908706854297,,1
100/high,1.2,full,0.8830022982607936,,1
100/high,1.2,no,0.8451215316053762,0.01906837435046207,2
100/high,1.3,full,0.7988529484354496,0.03996076362221375,8
100/high,1.3,no,0.7070458881400493,0.07631469530529998,17
100/high,1.4,full,0.7491936369321535,0.029580841707133126,7
100/high,1.4,no,0.6637916109345184,0.08920248177962407,12
100/high,1.5,full,0.6943488777882166,0.02218081137290182,6
100/high,1.5,no,0.5511907625259451,0.08669661761227429,11
100/high,1.6,full,0.6355216483516644,0.040823954181198704,7
100/high,1.6,no,0.46762144720922316,0.0895112874192803,10
100/high,1.7,full,0.5959289908105735,0.04256611042491367,5
100/high,1.7,no,0.29638435655603373,0.050110523890817577,4
100/high,1.8,full,0.5940864857315616,,1
100/low,0.6,full,0.8405226514820607,,1
100/low,0.7,full,1.0442674132985197,,1
100/low,0.8,full,0.9700786565830943,0.007089677427602669,2
100/low,0.9,full,0.952367494583975,0.004574425348529484,2
100/low,1.0,full,0.9179253804254859,0.01856603198453612,2
100/low,1.1,full,0.8961165949708211,0.035202854965233406,2
100/low,1.2,full,0.8379337742774937,0.022784520998646668,3
100/low,1.3,full,0.8365352886776418,0.03537512582241935,6
100/low,1.3,no,0.645698584239637,0.031124102206435012,2
100/low,1.4,full,0.797150213485157,0.03508350091023881,3
100/low,1.5,full,0.7601646132283949,0.03108247114133323,3
100/low,1.6,full,0.6829369164217964,0.02490527035835784,4
100/low,1.7,full,0.6658421576440351,,1
136/high,1.5,no,0.6143433688084081,,1
136/high,1.6,no,0.5401816633550739,,1
136/high,1.7,no,0.4040067945756295,,1
272/high,1.0,no,0.9275309402157471,,1
272/high,1.3,full,0.7183955647068712,,1
272/high,1.3,no,0.6571365706205435,0.01205281669337276,3
272/high,1.4,full,0.6957789580077434,0.014651533077933062,2
272/high,1.4,no,0.5051389475922111,,1
272/high,1.5,full,0.8398415549956929,,1
272/high,1.5,no,0.4106451077331304,,1
272/high,1.6,full,0.5674219266890416,,1
272/high,1.6,no,0.33506232373280453,,1
272/high,1.7,full,0.520772527991207,,1
272/high,1.7,no,0.2610775484428893,,1
