probe,condition,sw_mean_mm,sw_std_mm,sw_n_runs,wind_mean_mm,wind_std_mm,wind_n_runs,wind_over_sw
9373/170,cond1_h272_high,0.2892265625000061,0.0943728666287572,16,10.574679999999995,0.42513528670296247,5,36.56192539369468
9373/170,cond2_h136_high,0.045000000000001705,0.0,1,,,0,
9373/170,cond3_h100_high_WRONG,0.14999999999999983,0.12986772116272705,17,9.257990000000003,0.6806549257883882,5,61.71993333333342
9373/170,cond4_h100_low,0.10159444444444515,0.08164254575757658,9,9.178033333333332,0.4599802557356829,6,90.33991359982437
12400/250,cond1_h272_high,0.26326562499999945,0.07924410959970772,16,0.9069999999999994,0.15837455603725575,5,3.445189625497067
12400/250,cond2_h136_high,0.0899999999999892,0.0,1,,,0,
12400/250,cond3_h100_high_WRONG,0.0867647058823526,0.060903129447266544,17,0.8239999999999966,0.08612490928877542,5,9.49694915254237
12400/250,cond4_h100_low,0.08722222222222184,0.06423156890847612,9,0.9500000000000005,0.1547255634987315,6,10.891719745222984
9373/340,cond1_h272_high,0.14843750000000888,0.11090113840713466,16,9.950744999999989,0.6202845315861009,5,67.03659789473275
9373/340,cond2_h136_high,0.045000000000001705,0.0,1,,,0,
9373/340,cond3_h100_high_WRONG,0.12352941176470639,0.08665240738653701,17,9.459660000000003,0.8934986110789452,5,76.57819999999971
9373/340,cond4_h100_low,0.0934972222222248,0.11513136548936168,9,8.924604166666667,0.44977426905523216,6,95.4531477465139
8804/250,cond1_h272_high,0.2396875000000005,0.08363549386076487,16,8.700319999999996,0.3191786521683409,5,36.29859713168179
8804/250,cond2_h136_high,0.0899999999999892,0.0,1,,,0,
8804/250,cond3_h100_high_WRONG,0.1429411764705882,0.08455875959076736,17,8.135120000000002,0.5987930126512866,5,56.912362139917725
8804/250,cond4_h100_low,0.06444444444444583,0.09036192659398935,9,7.977566666666669,0.38781140605539843,6,123.78982758620427
