path,quality_flag,WindCondition,WaveFrequencyInput [Hz],WaveAmplitudeInput [Volt],in_position,out_position,IN wave_stability,OUT wave_stability
/Users/ole/Kodevik/wave_project/wavedata/20251113-tett6roof-loosepaneltaped/reversepanel-fullwind-amp0900-freq1300-per22-depth580-mstop30-run1.csv,dropout_critical,full,1.3,0.9,9373/250,12400/170,0.6503222983798581,0.3708797235735932
/Users/ole/Kodevik/wave_project/wavedata/20260305-newProbePos-tett6roof/nopanel-nowind-amp0400-freq1600-per40-depth580-mstop30-run1.csv,dropout_critical,no,1.6,0.4,9373/170,11800/250,0.8366668534179863,0.8376344629696566
/Users/ole/Kodevik/wave_project/wavedata/20260313-ProbePos4_31_FPV_2-tett6roof/fullpanel-nowind-amp0300-freq1600-per240-depth580-mstop30-run1.csv,dropout_critical,no,1.6,0.3,9373/170,12400/250,0.8120920297031571,0.9276261742908117
/Users/ole/Kodevik/wave_project/wavedata/20260313-ProbePos4_31_FPV_2-tett6roof/fullpanel-nowind-amp0600-freq1300-per40-depth580-mstop0-run1.csv,dropout_critical,no,1.3,0.6,9373/170,12400/250,0.7800997938713843,0.49255228365479853
/Users/ole/Kodevik/wave_project/wavedata/20260321-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-RENAMED/fullpanel-nowind-amp0200-freq1500-per240-depth580-mstop30-run1.csv,dropout_critical,no,1.5,0.2,9373/170,12400/250,0.9432986088625585,0.9331288868495987
/Users/ole/Kodevik/wave_project/wavedata/20260323-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100/fullpanel-fullwind-amp0200-freq1500-per40-depth580-mstop30-run1-P2malfunction.csv,dropout_critical,full,1.5,0.2,9373/170,12400/250,0.912474140056792,
/Users/ole/Kodevik/wave_project/wavedata/20260323-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100/fullpanel-nowind-amp0300-freq1800-per40-depth580-mstop30-run1.csv,in_probe_low_snr,no,1.8,0.3,9373/170,12400/250,0.1980355613713906,0.9136879826695274
/Users/ole/Kodevik/wave_project/wavedata/20260323-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100/fullpanel-fullwind-amp0300-freq1400-per40-depth580-mstop30-run1-P2malfunction.csv,dropout_critical,full,1.4,0.3,9373/170,12400/250,0.935740315416535,
/Users/ole/Kodevik/wave_project/wavedata/20260323-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100/fullpanel-fullwind-amp0300-freq1500-per40-depth580-mstop30-run1-P2malfunction.csv,dropout_critical,full,1.5,0.3,9373/170,12400/250,0.9269250300187668,0.0
/Users/ole/Kodevik/wave_project/wavedata/20260323-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100/fullpanel-nowind-amp0200-freq1800-per40-depth580-mstop30-run1.csv,dropout_critical,no,1.8,0.2,9373/170,12400/250,0.6543815224545688,0.9211382752684467
