WaveFrequencyInput [Hz],WaveAmplitudeInput [Volt],Mooring,PanelCondition,probe,n_nowind,n_fullwind,e_wind_naive,e_stokes_baseline,e_wind_pure,stokes_frac_of_naive
1.3,0.1,below_90_loose,full,9373/170,9,10,9.414211381522371,0.15972190760648514,9.261208072388198,0.01625237663926666
1.3,0.1,below_90_loose,full,12400/250,9,10,0.09364223918120013,0.025703016101375393,0.06852364735595606,0.2682399742346928
1.3,0.2,below_90_loose,full,9373/170,2,3,8.571303960970804,0.7660097687534713,7.978375191414136,0.0691760287882162
1.3,0.2,below_90_loose,full,12400/250,2,3,0.40127586883564625,0.06595261460680939,0.3359600698899746,0.1627703134384678
1.3,0.3,below_90_loose,full,9373/170,2,4,4.748553359165937,2.0792771966505605,3.24024689084072,0.3176349414740798
1.3,0.3,below_90_loose,full,12400/250,2,4,1.3116348482653004,0.2693503924414634,1.0427444724842023,0.20500398882868842
1.4,0.1,below_90_loose,full,9373/170,2,3,13.451592516660032,0.1301711615876021,13.321421355072427,0.009677007493825374
1.4,0.1,below_90_loose,full,12400/250,2,3,0.09095161613776426,0.016218801828582406,0.07594009177553467,0.16504956151072303
1.4,0.2,below_90_loose,full,9373/170,2,3,4.695356828284144,0.636570454111274,4.05878637417287,0.13557445736108198
1.4,0.2,below_90_loose,full,12400/250,2,3,0.5341229454262759,0.13498992505552515,0.3995465933979173,0.25195763106742236
1.4,0.3,below_90_loose,full,9373/170,2,4,7.469474353545262,2.65981993834328,4.831921760669722,0.35311087072996905
1.4,0.3,below_90_loose,full,12400/250,2,4,1.2372153214240589,0.9999165563351889,0.28974829569138694,0.7658060883388665
1.5,0.1,below_90_loose,full,9373/170,2,3,8.483463840442727,0.3546468114167761,8.128817029025951,0.04180448200015764
1.5,0.1,below_90_loose,full,12400/250,2,3,0.09175398164000584,0.024445243770677215,0.06822489592815398,0.2564366721889799
1.5,0.2,below_90_loose,full,9373/170,2,3,4.751235732526323,1.1990423033222437,3.878803578964124,0.1836221569874222
1.5,0.2,below_90_loose,full,12400/250,2,3,0.3215149692186636,0.07201192980926271,0.26661465121334693,0.17075509155525126
1.5,0.3,below_90_loose,full,9373/170,2,4,4.910287641866423,4.17158970776835,3.2270595682381273,0.34279622628960554
1.5,0.3,below_90_loose,full,12400/250,2,4,1.0505994743366251,0.16704636317283644,0.8838907896055728,0.15867958132790463
1.6,0.1,below_90_loose,full,9373/170,2,3,6.198436956727702,0.3922654937456389,5.8061714629820615,0.063284582304234
1.6,0.1,below_90_loose,full,12400/250,2,3,0.2022974726375314,0.024008870918949026,0.17828860171858238,0.11868102258483061
1.6,0.2,below_90_loose,full,9373/170,2,3,4.554012379029553,1.727441381064128,3.042562799333001,0.33189404285691415
1.6,0.2,below_90_loose,full,12400/250,2,3,0.8195364502175981,0.17922187456325317,0.6403145756543451,0.21868688636810132
1.6,0.3,below_90_loose,full,9373/170,3,5,4.107975142218625,4.466542726511406,1.7162411258253303,0.582217256334607
1.6,0.3,below_90_loose,full,12400/250,3,5,1.8827478575878893,0.38577662925680656,1.5565714854674129,0.17324485103298018
1.7,0.2,below_90_loose,full,9373/170,1,1,4.611488736097203,1.7580964014570126,3.0138664558866655,0.34644392985390615
1.7,0.2,below_90_loose,full,12400/250,1,1,0.5771545571605747,0.06208596246881276,0.5226117194778879,0.09450300098299677
