category,WindCondition,WaveFrequencyInput [Hz],n,Kt_mean,Kt_std
canon_above_loose,full,0.5,1,1.033,
canon_above_loose,full,0.6,4,0.887,0.014
canon_above_loose,full,0.7,5,1.012,0.009
canon_above_loose,full,0.8,4,0.956,0.015
canon_above_loose,full,0.9,4,0.919,0.027
canon_above_loose,full,1.0,5,0.919,0.042
canon_above_loose,full,1.1,6,0.843,0.027
canon_above_loose,full,1.2,6,0.786,0.041
canon_above_loose,full,1.3,9,0.682,0.05
canon_above_loose,full,1.4,6,0.647,0.078
canon_above_loose,full,1.5,5,0.621,0.031
canon_above_loose,full,1.6,5,0.546,0.115
canon_above_loose,full,1.7,5,0.519,0.119
canon_above_loose,full,1.8,6,0.436,0.148
canon_above_loose,full,1.9,4,0.427,0.066
canon_above_loose,no,0.5,2,0.995,0.003
canon_above_loose,no,0.6,1,0.891,
canon_above_loose,no,0.7,2,1.007,0.01
canon_above_loose,no,0.8,3,0.948,0.002
canon_above_loose,no,0.9,4,0.941,0.021
canon_above_loose,no,1.0,6,0.936,0.03
canon_above_loose,no,1.1,5,0.892,0.02
canon_above_loose,no,1.2,6,0.796,0.059
canon_above_loose,no,1.3,13,0.661,0.058
canon_above_loose,no,1.4,6,0.645,0.083
canon_above_loose,no,1.5,7,0.498,0.096
canon_above_loose,no,1.6,6,0.4,0.094
canon_above_loose,no,1.7,4,0.27,0.062
canon_above_loose,no,1.8,1,0.172,
canon_above_loose,no,1.9,2,0.162,0.004
canon_loose230,full,0.6,1,0.841,
canon_loose230,full,0.7,1,1.044,
canon_loose230,full,0.8,2,0.97,0.007
canon_loose230,full,0.9,2,0.952,0.005
canon_loose230,full,1.0,2,0.918,0.019
canon_loose230,full,1.1,2,0.896,0.035
canon_loose230,full,1.2,4,0.849,0.029
canon_loose230,full,1.3,15,0.809,0.047
canon_loose230,full,1.4,12,0.752,0.043
canon_loose230,full,1.5,10,0.712,0.04
canon_loose230,full,1.6,12,0.646,0.047
canon_loose230,full,1.7,7,0.595,0.054
canon_loose230,full,1.8,1,0.594,
canon_loose230,no,0.8,1,0.948,
canon_loose230,no,0.9,1,0.927,
canon_loose230,no,1.0,2,0.936,0.012
canon_loose230,no,1.1,1,0.88,
canon_loose230,no,1.2,2,0.845,0.019
canon_loose230,no,1.3,22,0.695,0.071
canon_loose230,no,1.4,13,0.652,0.096
canon_loose230,no,1.5,13,0.545,0.091
canon_loose230,no,1.6,12,0.463,0.093
canon_loose230,no,1.7,6,0.308,0.062
canon_loose300,full,0.8,1,0.977,
canon_loose300,full,0.9,1,0.937,
canon_loose300,full,1.0,1,0.955,
canon_loose300,full,1.1,1,0.941,
canon_loose300,full,1.2,1,0.844,
canon_loose300,full,1.3,11,0.795,0.048
canon_loose300,full,1.4,7,0.731,0.047
canon_loose300,full,1.5,7,0.703,0.041
canon_loose300,full,1.6,7,0.67,0.055
canon_loose300,full,1.7,2,0.596,0.094
canon_loose300,no,1.3,11,0.721,0.082
canon_loose300,no,1.4,6,0.62,0.093
canon_loose300,no,1.5,6,0.553,0.079
canon_loose300,no,1.6,7,0.468,0.071
canon_loose300,no,1.7,1,0.412,
nov_above_stiff,full,0.65,7,0.954,0.01
nov_above_stiff,full,1.3,6,0.692,0.02
nov_above_stiff,no,0.65,12,0.965,0.008
nov_above_stiff,no,1.3,17,0.665,0.061
