category,WindCondition,amp,n,mean,std
canon_above_loose,full,0.1,4,0.634,0.029
canon_above_loose,full,0.2,2,0.712,0.007
canon_above_loose,full,0.3,3,0.725,0.019
canon_above_loose,no,0.1,9,0.63,0.038
canon_above_loose,no,0.2,2,0.723,0.012
canon_above_loose,no,0.3,2,0.739,0.013
canon_loose230,full,0.1,9,0.79,0.049
canon_loose230,full,0.2,4,0.846,0.03
canon_loose230,full,0.3,2,0.819,0.0
canon_loose230,no,0.1,16,0.655,0.029
canon_loose230,no,0.2,5,0.8,0.018
canon_loose230,no,0.3,1,0.802,
canon_loose300,full,0.1,6,0.757,0.024
canon_loose300,full,0.2,2,0.846,0.009
canon_loose300,full,0.3,3,0.837,0.018
canon_loose300,no,0.1,7,0.665,0.028
canon_loose300,no,0.2,2,0.811,0.008
canon_loose300,no,0.3,2,0.83,0.002
nov_above_stiff,full,0.1,2,0.705,0.014
nov_above_stiff,full,0.2,2,0.685,0.034
nov_above_stiff,full,0.3,2,0.684,0.008
nov_above_stiff,no,0.1,7,0.617,0.061
nov_above_stiff,no,0.2,5,0.683,0.035
nov_above_stiff,no,0.3,5,0.714,0.028
