cat,WaveFrequencyInput [Hz],Kt_mean_full,Kt_mean_no,Kt_std_full,Kt_std_no,n_full,n_no,blockage_no,delta_Kt,eps,eps_valid,se_eps_to_be,se_Kt_full,se_Kt_no,se_eps
canon_above,1.2,0.7857769591653261,0.7962984338690345,0.04125415167804214,0.05897701936456063,6.0,6.0,0.20370156613096546,-0.010521474703708456,-0.05165141782436716,True,,0.01684193689709761,0.024077267332236023,0.1492894689217726
canon_above,1.3,0.6818582319796656,0.660899319731419,0.049999973023085155,0.05820318579256412,9.0,13.0,0.339100680268581,0.02095891224824653,0.061807343564295576,True,,0.016666657674361717,0.016142659290034393,0.0664106808148547
canon_above,1.4,0.6470357807994668,0.6448460369620604,0.07822598831169329,0.08274290230619083,6.0,6.0,0.35515396303793956,0.0021897438374063327,0.006165618479026832,True,,0.03193562599809492,0.03377964841452084,0.1304642183994662
canon_above,1.5,0.6214300656002483,0.4975846722121951,0.030783822207026374,0.09629282843854677,5.0,7.0,0.502415327787805,0.12384539338805317,0.24650003003164597,True,,0.013766943812435714,0.036395268155343254,0.06107581625283427
canon_above,1.6,0.5455978730082988,0.4002315777293532,0.11503631696092516,0.09368173436418675,5.0,6.0,0.5997684222706468,0.14536629527894557,0.2423707048940778,True,,0.05144580492116813,0.03824540790186898,0.09844573986584752
canon_loose230,1.2,0.8492009052733187,0.8451215316053762,0.029221268993665662,0.01906837435046207,4.0,2.0,0.15487846839462382,0.004079373667942532,0.02633919169156851,True,,0.014610634496832831,0.013483376809415358,0.12682416271248104
canon_loose230,1.3,0.8085620589504213,0.6946630444873519,0.04706695597610449,0.07106958741978492,15.0,22.0,0.30533695551264806,0.11389901446306938,0.3730272815219424,True,,0.012152635776808689,0.015152086948995823,0.050518478683508464
canon_loose230,1.4,0.7522803345830026,0.6515875599081872,0.043083377721661355,0.09607391802617417,12.0,13.0,0.3484124400918128,0.10069277467481541,0.2890045333865837,True,,0.012437099862599756,0.026646110590622694,0.06504602268499154
canon_loose230,1.5,0.7120290576130476,0.545237451102072,0.040397552694005655,0.09057392141950173,10.0,13.0,0.454762548897928,0.16679160651097558,0.366766363930316,True,,0.0127748278409729,0.025120685992143045,0.04486273862905314
canon_loose230,1.6,0.6456517609031565,0.4626215382650092,0.04696164914665252,0.0927593917272369,12.0,12.0,0.5373784617349908,0.18303022263814728,0.3405983597615957,True,,0.013556660388204297,0.026777329891793086,0.04142522720975031
canon_loose300,1.3,0.795058180571257,0.7211861701666249,0.04779465449346014,0.08167703489592634,11.0,11.0,0.2788138298333751,0.0738720104046321,0.264951026456541,True,,0.01441063053995282,0.02462655261259567,0.08298507206563281
canon_loose300,1.4,0.7305533090937686,0.6202905897176271,0.04684984683311583,0.09291875078044118,7.0,6.0,0.37970941028237293,0.11026271937614152,0.29038711285597074,True,,0.017707577668841637,0.037933921158152854,0.08485559395611755
canon_loose300,1.5,0.7029663414939776,0.5529131755590869,0.04112479716393446,0.07888702367298547,7.0,6.0,0.4470868244409131,0.1500531659348907,0.335624218232183,True,,0.01554371228767785,0.03220549255427861,0.05915302227999549
canon_loose300,1.6,0.6702722678259194,0.4675093379961704,0.05519262778612048,0.07079285081030849,7.0,7.0,0.5324906620038297,0.20276292982974903,0.3807821325292851,True,,0.020860852475175457,0.026757182549339092,0.050029102860712
nov_above_stiff,1.3,0.691764421331642,0.6649931723573731,0.01979466619427396,0.060868351603696656,6.0,17.0,0.3350068276426269,0.026771248974268858,0.07991254734314684,True,,0.008081138634115166,0.014762743701133849,0.047178622635199445
