_compare,group,freq,wind,amp_v,mean,std,count
mooring (full panel),above_50,0.5,full,0.2,1.0332964215413027,,1
mooring (full panel),above_50,0.5,no,0.1,0.9924876541418826,,1
mooring (full panel),above_50,0.5,no,0.3,0.9967072564313049,,1
mooring (full panel),above_50,0.6,full,0.2,0.8752464298225271,0.005025669130120914,2
mooring (full panel),above_50,0.6,full,0.3,0.8994401309081703,0.0012339773028135137,2
mooring (full panel),above_50,0.6,no,0.3,0.8914903120888613,,1
mooring (full panel),above_50,0.7,full,0.2,1.011301793849164,0.012282642361796452,3
mooring (full panel),above_50,0.7,full,0.3,1.0133777561788784,0.004134901025905821,2
mooring (full panel),above_50,0.7,no,0.2,1.0135335636446703,,1
mooring (full panel),above_50,0.7,no,0.3,0.9997004138427128,,1
mooring (full panel),above_50,0.8,full,0.2,0.9512275607675948,0.02305994463151558,2
mooring (full panel),above_50,0.8,full,0.3,0.961371444228833,0.008045403604934035,2
mooring (full panel),above_50,0.8,no,0.1,0.9475202666748878,,1
mooring (full panel),above_50,0.8,no,0.2,0.9508467086180242,,1
mooring (full panel),above_50,0.8,no,0.3,0.9469632236677955,,1
mooring (full panel),above_50,0.9,full,0.2,0.8990895510929755,0.02334555337200635,2
mooring (full panel),above_50,0.9,full,0.3,0.9382661796386178,0.00653887279300064,2
mooring (full panel),above_50,0.9,no,0.1,0.9212963023693636,,1
mooring (full panel),above_50,0.9,no,0.2,0.9255667350952019,,1
mooring (full panel),above_50,0.9,no,0.3,0.9590969847200341,0.005644974356593943,2
mooring (full panel),above_50,1.0,full,0.1,0.8492538356312959,,1
mooring (full panel),above_50,1.0,full,0.2,0.921436774855195,0.0027120630206611583,2
mooring (full panel),above_50,1.0,full,0.3,0.9507990437138834,0.0001310135233262819,2
mooring (full panel),above_50,1.0,no,0.1,0.9000567895914193,0.02306044896028027,2
mooring (full panel),above_50,1.0,no,0.2,0.9500545213546656,0.007569061559722284,2
mooring (full panel),above_50,1.0,no,0.3,0.9587938397579903,0.0046832667221043105,2
mooring (full panel),above_50,1.1,full,0.1,0.8143437366812741,0.016696234542759033,2
mooring (full panel),above_50,1.1,full,0.2,0.9287023667258647,0.10737461681619395,2
mooring (full panel),above_50,1.1,full,0.3,0.8667858988262526,0.021040099338112843,2
mooring (full panel),above_50,1.1,no,0.1,0.863166847280092,,1
mooring (full panel),above_50,1.1,no,0.2,0.8935932276334444,0.01433680925301419,2
mooring (full panel),above_50,1.1,no,0.3,0.9037597998088969,0.017922151505470944,2
mooring (full panel),above_50,1.2,full,0.1,0.7386576790403951,0.026640825695457473,2
mooring (full panel),above_50,1.2,full,0.2,0.8109914008376099,0.00545477159481664,2
mooring (full panel),above_50,1.2,full,0.3,0.8076817976179734,0.03314217667173618,2
mooring (full panel),above_50,1.2,no,0.1,0.7315083537274384,0.028213214452145564,2
mooring (full panel),above_50,1.2,no,0.2,0.8117207210450834,0.048810860600996486,2
mooring (full panel),above_50,1.2,no,0.3,0.8456662268345819,0.021619381714976942,2
mooring (full panel),above_50,1.3,full,0.1,0.6340535754789551,0.029309401516076014,4
mooring (full panel),above_50,1.3,full,0.2,0.7123144841118896,0.00695694793020349,2
mooring (full panel),above_50,1.3,full,0.3,0.7252936058924635,0.01895064380117684,3
mooring (full panel),above_50,1.3,no,0.1,0.6297261840764808,0.038115423822787535,9
mooring (full panel),above_50,1.3,no,0.2,0.7228307853366472,0.01239626165910927,2
mooring (full panel),above_50,1.3,no,0.3,0.7392469645734133,0.013482552449357055,2
mooring (full panel),above_50,1.4,full,0.1,0.5898217266622202,0.02177266141738197,2
mooring (full panel),above_50,1.4,full,0.2,0.6106069324319496,0.05743464553221707,2
mooring (full panel),above_50,1.4,full,0.3,0.7406786833042307,0.009205139687066342,2
mooring (full panel),above_50,1.4,no,0.1,0.5391279713894654,0.021244160724354404,2
mooring (full panel),above_50,1.4,no,0.2,0.6926221088777524,0.011835822999534977,2
mooring (full panel),above_50,1.4,no,0.3,0.7681068413788379,0.0894999942882361,2
mooring (full panel),above_50,1.5,full,0.1,0.5863376407771078,,1
mooring (full panel),above_50,1.5,full,0.2,0.6080889118234961,0.01675650014661302,2
mooring (full panel),above_50,1.5,full,0.3,0.6523174317885705,0.003779512305987708,2
mooring (full panel),above_50,1.5,no,0.1,0.39568187499937535,0.023347548112397865,3
mooring (full panel),above_50,1.5,no,0.2,0.5719660433635162,0.0026584658126630207,2
mooring (full panel),above_50,1.5,no,0.3,0.5760574968801037,0.0016982329524751131,2
mooring (full panel),above_50,1.6,full,0.1,0.4817981607319542,,1
mooring (full panel),above_50,1.6,full,0.2,0.46831486493161856,0.10324439460352525,2
mooring (full panel),above_50,1.6,full,0.3,0.6547807372231512,0.049157768715297714,2
mooring (full panel),above_50,1.6,no,0.1,0.2804359052383587,0.0036670632945158626,2
mooring (full panel),above_50,1.6,no,0.2,0.4520048085887181,0.0033741235403430903,3
mooring (full panel),above_50,1.6,no,0.3,0.4845032301332474,,1
mooring (full panel),above_50,1.7,full,0.1,0.4566639683977344,,1
mooring (full panel),above_50,1.7,full,0.2,0.4377060845044002,0.11756534289404846,2
mooring (full panel),above_50,1.7,full,0.3,0.6325873129223026,0.005506507882384602,2
mooring (full panel),above_50,1.7,no,0.1,0.21736703320629214,0.012247906880074209,2
mooring (full panel),above_50,1.7,no,0.2,0.33444966888383626,,1
mooring (full panel),above_50,1.7,no,0.3,0.31095033466191485,,1
mooring (full panel),above_50,1.8,full,0.1,0.4864624704911661,,1
mooring (full panel),above_50,1.8,full,0.2,0.333211426898248,0.1435478448074952,3
mooring (full panel),above_50,1.8,full,0.3,0.5661004997974463,0.0030936072001978674,2
mooring (full panel),above_50,1.8,no,0.1,0.1723863902068833,,1
mooring (full panel),above_50,1.9,full,0.2,0.39003165056863287,0.038090051068443556,2
mooring (full panel),above_50,1.9,full,0.3,0.4640597969540824,0.0771997881669554,2
mooring (full panel),above_50,1.9,no,0.1,0.1584973661189428,,1
mooring (full panel),above_50,1.9,no,0.3,0.1645034178689035,,1
mooring (full panel),below_90_loose230,0.6,full,0.1,0.8405226514820607,,1
mooring (full panel),below_90_loose230,0.7,full,0.1,1.0442674132985197,,1
mooring (full panel),below_90_loose230,0.8,full,0.1,0.9750918155685774,,1
mooring (full panel),below_90_loose230,0.8,full,0.2,0.9650654975976113,,1
mooring (full panel),below_90_loose230,0.8,no,0.2,0.94750391804972,,1
mooring (full panel),below_90_loose230,0.9,full,0.1,0.9556021017679518,,1
mooring (full panel),below_90_loose230,0.9,full,0.2,0.9491328873999981,,1
mooring (full panel),below_90_loose230,0.9,no,0.2,0.9272909241845274,,1
mooring (full panel),below_90_loose230,1.0,full,0.1,0.9047972133094941,,1
mooring (full panel),below_90_loose230,1.0,full,0.2,0.9310535475414777,,1
