freq_hz,amp_v,amp_tag,wind_state,A_IN_mean_mm,A_IN_std_mm,A_OUT_mean_mm,A_OUT_std_mm,T_mean,T_std,n_runs
1.3,0.1,A1,nowind,7.5577,0.1904,4.9866,0.1181,0.6598,0.0282,9
1.3,0.1,A1,wind,7.4995,0.1243,5.8882,0.2933,0.7852,0.0463,10
1.4,0.1,A1,nowind,8.0521,0.0624,4.0447,0.2403,0.5023,0.0337,2
1.4,0.1,A1,wind,7.8446,0.4822,5.6192,0.3208,0.7163,0.0854,3
1.5,0.1,A1,nowind,7.6543,0.1357,3.4738,0.0589,0.4538,0.0157,2
1.5,0.1,A1,wind,8.0138,0.2997,5.5314,0.3849,0.6902,0.0718,3
1.6,0.1,A1,nowind,7.1193,0.0383,2.6112,0.0229,0.3668,0.0052,2
1.6,0.1,A1,wind,8.2865,0.3781,5.0407,0.1466,0.6083,0.0302,3
1.3,0.2,A2,nowind,14.7669,0.0228,11.9308,0.1186,0.8079,0.0068,2
1.3,0.2,A2,wind,14.8497,0.2214,12.7027,0.2908,0.8554,0.0217,3
1.4,0.2,A2,nowind,15.2134,0.1547,10.4208,0.1601,0.685,0.0036,2
1.4,0.2,A2,wind,15.7337,0.7377,11.9083,0.4199,0.7569,0.055,3
1.5,0.2,A2,nowind,15.0872,0.0003,8.963,0.294,0.5941,0.0195,2
1.5,0.2,A2,wind,15.5263,0.6103,11.3479,0.3856,0.7309,0.0487,3
1.6,0.2,A2,nowind,14.7192,0.0971,7.133,0.0584,0.4846,0.0008,2
1.6,0.2,A2,wind,15.5797,0.622,10.6638,0.521,0.6845,0.0275,3
1.3,0.3,A3,nowind,21.5425,0.0592,17.8725,0.0983,0.8296,0.0023,2
1.3,0.3,A3,wind,22.29,0.5093,18.5743,0.2136,0.8333,0.0174,4
1.4,0.3,A3,nowind,22.4785,0.0245,15.0887,0.1122,0.6713,0.0043,2
1.4,0.3,A3,wind,23.1099,0.4073,17.6766,0.3905,0.7649,0.0088,4
1.5,0.3,A3,nowind,21.4113,0.1346,13.0907,0.0264,0.6114,0.0026,2
1.5,0.3,A3,wind,23.3776,0.7611,17.0552,0.3375,0.7296,0.0098,4
