freq_hz,amp_tag,R_IN_mean,R_IN_std,R_OUT_mean,R_OUT_std,R_T_mean,R_T_std,n_runs_nowind,n_runs_wind
1.3,A1,0.9923,0.0098,1.1808,0.0208,1.1901,0.0241,9,10
1.4,A1,0.9742,0.035,1.3893,0.0742,1.426,0.0918,2,3
1.5,A1,1.047,0.0261,1.5923,0.0668,1.5209,0.0742,2,3
1.6,A1,1.1639,0.031,1.9304,0.0346,1.6584,0.0532,2,3
1.3,A2,1.0056,0.0087,1.0647,0.0159,1.0588,0.0183,2,3
1.4,A2,1.0342,0.029,1.1427,0.0264,1.105,0.0401,2,3
1.5,A2,1.0291,0.0234,1.2661,0.0385,1.2303,0.0467,2,3
1.6,A2,1.0585,0.0249,1.495,0.043,1.4125,0.0525,2,3
1.3,A3,1.0347,0.012,1.0393,0.0072,1.0045,0.0136,2,4
1.4,A3,1.0281,0.0091,1.1715,0.0143,1.1394,0.0172,2,4
1.5,A3,1.0918,0.0184,1.3028,0.013,1.1933,0.0234,2,4
