f_hz,amp_V,probe,r_m,c_g,snap_fw_samples,snap_nw_samples,snap_fw_s,snap_nw_s,dt_s,dt_T,u_apparent_mm_s,n_fw,n_nw
1.3,0.1,8804/250,8.804,0.603586545631668,-45.6,-15.666666666666666,-0.1824,-0.06266666666666666,-0.11973333333333334,-0.15565333333333337,4.954663226180185,10,9
1.3,0.1,9373/170,9.373,0.603586545631668,15.3,59.888888888888886,0.061200000000000004,0.23955555555555555,-0.17835555555555554,-0.23186222222222222,6.932456059865368,10,9
1.3,0.1,9373/340,9.373,0.603586545631668,20.1,59.22222222222222,0.0804,0.2368888888888889,-0.1564888888888889,-0.20343555555555556,6.082526236428099,10,9
1.3,0.1,12400/250,12.4,0.603586545631668,-6.4,17.666666666666668,-0.0256,0.07066666666666667,-0.09626666666666667,-0.12514666666666668,2.8283512951052177,10,9
1.3,0.2,8804/250,8.804,0.603586545631668,-66.0,-32.5,-0.264,-0.13,-0.134,-0.17420000000000002,5.545029557139293,3,2
1.3,0.2,9373/170,9.373,0.603586545631668,8.333333333333334,41.5,0.03333333333333333,0.166,-0.13266666666666668,-0.17246666666666668,5.156586428780994,3,2
1.3,0.2,9373/340,9.373,0.603586545631668,5.333333333333333,39.0,0.021333333333333333,0.156,-0.13466666666666666,-0.17506666666666665,5.234323912631962,3,2
1.3,0.2,12400/250,12.4,0.603586545631668,-28.0,5.5,-0.112,0.022,-0.134,-0.17420000000000002,3.9369709855688977,3,2
1.3,0.3,8804/250,8.804,0.603586545631668,-68.75,-51.0,-0.275,-0.204,-0.07100000000000004,-0.09230000000000005,2.9380380489320146,4,2
1.3,0.3,9373/170,9.373,0.603586545631668,3.5,26.5,0.014,0.106,-0.092,-0.1196,3.575924257144608,4,2
1.3,0.3,9373/340,9.373,0.603586545631668,3.25,27.5,0.013,0.11,-0.097,-0.12610000000000002,3.7702679667720327,4,2
1.3,0.3,12400/250,12.4,0.603586545631668,-42.25,-18.0,-0.169,-0.072,-0.09700000000000002,-0.12610000000000002,2.8498969074640534,4,2
1.4,0.1,8804/250,8.804,0.5585745799331483,10.666666666666666,29.5,0.042666666666666665,0.118,-0.07533333333333334,-0.10546666666666667,2.6697431797869697,3,2
1.4,0.1,9373/170,9.373,0.5585745799331483,51.333333333333336,84.0,0.20533333333333334,0.336,-0.13066666666666668,-0.18293333333333334,4.349592092471898,3,2
1.4,0.1,9373/340,9.373,0.5585745799331483,43.0,82.5,0.172,0.33,-0.15800000000000003,-0.22120000000000004,5.259455744468571,3,2
1.4,0.1,12400/250,12.4,0.5585745799331483,-22.0,-55.0,-0.088,-0.22,0.132,0.1848,-3.3213495240217004,3,2
1.4,0.2,8804/250,8.804,0.5585745799331483,-17.333333333333332,13.0,-0.06933333333333333,0.052,-0.12133333333333332,-0.16986666666666664,4.299940342665738,3,2
1.4,0.2,9373/170,9.373,0.5585745799331483,26.333333333333332,65.0,0.10533333333333333,0.26,-0.15466666666666667,-0.21653333333333333,5.148496762517757,3,2
1.4,0.2,9373/340,9.373,0.5585745799331483,26.0,63.5,0.104,0.254,-0.15000000000000002,-0.21000000000000002,4.993154187786619,3,2
1.4,0.2,12400/250,12.4,0.5585745799331483,69.0,-69.5,0.276,-0.278,0.554,0.7756000000000001,-13.939603305363804,3,2
1.4,0.3,8804/250,8.804,0.5585745799331483,-34.75,-6.0,-0.139,-0.024,-0.11500000000000002,-0.161,4.075492907196923,4,2
1.4,0.3,9373/170,9.373,0.5585745799331483,7.75,47.5,0.031,0.19,-0.159,-0.2226,5.292743439053814,4,2
1.4,0.3,9373/340,9.373,0.5585745799331483,11.25,45.5,0.045,0.182,-0.137,-0.1918,4.560414158178444,4,2
1.4,0.3,12400/250,12.4,0.5585745799331483,46.0,77.5,0.184,0.31,-0.126,-0.1764,3.170379091111623,4,2
1.5,0.1,8804/250,8.804,0.5207079620058161,49.666666666666664,-0.5,0.19866666666666666,-0.002,0.20066666666666666,0.301,-6.1799311896540505,3,2
1.5,0.1,9373/170,9.373,0.5207079620058161,-31.666666666666668,-52.5,-0.12666666666666668,-0.21,0.08333333333333331,0.12499999999999997,-2.410618991573762,3,2
1.5,0.1,9373/340,9.373,0.5207079620058161,-26.666666666666668,-54.0,-0.10666666666666667,-0.216,0.10933333333333332,0.16399999999999998,-3.1627321169447766,3,2
1.5,0.1,12400/250,12.4,0.5207079620058161,27.666666666666668,55.5,0.11066666666666668,0.222,-0.11133333333333333,-0.16699999999999998,2.434400136735152,3,2
1.5,0.2,8804/250,8.804,0.5207079620058161,24.333333333333332,60.0,0.09733333333333333,0.24,-0.14266666666666666,-0.214,4.393705231182614,3,2
1.5,0.2,9373/170,9.373,0.5207079620058161,53.0,-71.5,0.212,-0.286,0.498,0.747,-14.405859093644803,3,2
1.5,0.2,9373/340,9.373,0.5207079620058161,53.666666666666664,-75.0,0.21466666666666664,-0.3,0.5146666666666666,0.7719999999999999,-14.887982891959554,3,2
1.5,0.2,12400/250,12.4,0.5207079620058161,-15.333333333333334,34.5,-0.06133333333333334,0.138,-0.19933333333333336,-0.29900000000000004,4.358596651998867,3,2
1.5,0.3,8804/250,8.804,0.5207079620058161,3.0,25.5,0.012,0.102,-0.09,-0.135,2.771729935559126,4,2
