freq_hz,amp_v,amp_tag,wind,probe_tag,n_runs,A_mean_mm,A_std_mm,A_FFT_meta_mean_mm,sigma_pre_mean_mm,sigma_pre_std_mm,phi_mean_rad,phi_std_rad
1.3,0.1,A1,full,IN_wall,10,7.4386256008550955,0.21217714742816052,7.43570345103372,4.031292233474121,0.9448433384449335,2.8335076861522004,0.33311528821695624
1.3,0.1,A1,full,IN_far,10,7.560318219894583,0.24538150735300684,7.559420160757988,4.220357635489492,0.4317682710604126,3.0290235433534143,0.31226203185320395
1.3,0.1,A1,full,OUT,10,5.888243603727365,0.2933011203534032,5.890561186706385,0.3107706906734192,0.043298463243905586,-3.0673181952005497,0.13902737981305188
1.3,0.1,A1,full,IN_mean,10,7.499471910374839,0.12433205522332859,,4.125824934481807,0.5584932639057809,,
1.3,0.1,A1,no,IN_wall,9,7.6052362171247205,0.15596139428298003,7.606365471941095,0.1101122539777588,0.17174192703599028,-3.0373675362028973,0.023791700715782755
1.3,0.1,A1,no,IN_far,9,7.510192586097357,0.2301155680974736,7.510356802208403,0.11065103586743075,0.19033782624673806,-3.0326183725406968,0.03933109183605109
1.3,0.1,A1,no,OUT,9,4.986590389465868,0.11811105284294207,4.987751142590197,0.08152341415540099,0.09719506327865914,-3.1263583448573553,0.04772167928681154
1.3,0.1,A1,no,IN_mean,9,7.5577144016110385,0.19035040038737863,,0.11038164492259478,0.17920846194170703,,
1.3,0.2,A2,full,IN_wall,3,15.12785860197821,0.19428200963183428,15.112300171277914,4.171150707191578,0.4041414722509184,2.9628255984886707,0.18267052289845578
1.3,0.2,A2,full,IN_far,3,14.571561783875383,0.30107103323693274,14.494781584186311,4.3295303959065095,0.3531120064976094,2.8989640624713426,0.19869785837872952
1.3,0.2,A2,full,OUT,3,12.702688098523135,0.29075554091686195,12.696773189643052,0.3300821868157026,0.038886603806501475,3.1075444115007733,0.054778216412521404
1.3,0.2,A2,full,IN_mean,3,14.849710192926798,0.22140125235629055,,4.250340551549043,0.2814236529252959,,
1.3,0.2,A2,no,IN_wall,2,14.853812272673288,0.019789960457182953,14.831084308714146,0.032212473025134726,0.0027332430542461794,3.0587430605096935,0.015244683803917278
1.3,0.2,A2,no,IN_far,2,14.679967210124234,0.025817733145363897,14.639594037466752,0.03608218966360972,0.005472531127313408,3.0220119390167177,0.014620062481435273
1.3,0.2,A2,no,OUT,2,11.930753905909029,0.11860820866061253,11.943809644947432,0.027112136677768316,0.008829770444157418,-3.007098379580058,0.004254646464356158
1.3,0.2,A2,no,IN_mean,2,14.76688974139876,0.022803846801273425,,0.03414733134437222,0.004102887090779792,,
1.3,0.3,A3,full,IN_wall,4,22.313058110705565,0.19850658711284402,22.324390414216857,3.99198224020432,0.30001126575123127,2.9889985258828555,0.07157367102647581
1.3,0.3,A3,full,IN_far,4,22.266955554169147,0.8851517261997767,22.252278996435862,3.4919034022101796,0.7865039617502784,3.065275498381334,0.1495740375801373
1.3,0.3,A3,full,OUT,4,18.57433866399345,0.2135772643373389,18.552767850871266,0.3487782381099366,0.03905738838853241,2.9833918542083864,0.028683149733064257
1.3,0.3,A3,full,IN_mean,4,22.290006832437356,0.5092775486571399,,3.7419428212072496,0.33687621521566946,,
1.3,0.3,A3,no,IN_wall,2,21.503399407461224,0.052090896584523115,21.490638837910968,0.028923544485605645,0.0012657575213689863,3.0641899615962434,0.0004999008322550554
1.3,0.3,A3,no,IN_far,2,21.58162072886511,0.06637605711348692,21.575573372273606,0.03500968880024223,0.004771395043458057,-3.127460100187132,0.011855826363781047
1.3,0.3,A3,no,OUT,2,17.87254859463377,0.09828196589770578,17.865009042368904,0.03143875485013761,0.0111814005010311,-3.137285495266715,0.0231318173913517
1.3,0.3,A3,no,IN_mean,2,21.542510068163168,0.059233476849007524,,0.03196661664292394,0.0017528187610445353,,
1.4,0.1,A1,full,IN_wall,3,7.693906788866511,0.30312082631437776,7.6646898191715644,4.202225473193502,1.7871804973896215,-3.045632689314237,0.27604893932177255
1.4,0.1,A1,full,IN_far,3,7.99526065803968,0.7476344322852546,7.979492054831571,4.197870624732404,0.31456486302172165,2.9391763419333574,0.24618414519035295
1.4,0.1,A1,full,OUT,3,5.619219684015918,0.3208381266136452,5.613538068309064,0.3685954884026619,0.030196685497480558,-3.1262750605859213,0.1062873864076788
1.4,0.1,A1,full,IN_mean,3,7.844583723453095,0.4822007898498201,,4.200048048962953,0.7486181152076301,,
1.4,0.1,A1,no,IN_wall,2,7.9418760346896065,0.014787491939913584,7.943912786886702,0.05488458666592794,0.04082787671278581,-3.022535615840019,0.004498430844031946
1.4,0.1,A1,no,IN_far,2,8.162418933602307,0.11004384967783033,8.163142261257029,0.03429559571315388,0.006401700770180968,-3.0329231941601473,0.020973027773314303
1.4,0.1,A1,no,OUT,2,4.044732491394606,0.2402786878885397,4.044482007905679,0.10833735483903699,0.12199626245283893,3.1171950189316355,0.03786311002056114
1.4,0.1,A1,no,IN_mean,2,8.052147484145957,0.06241567080887322,,0.04459009118954091,0.017213087971302415,,
1.4,0.2,A2,full,IN_wall,3,15.624950928142864,0.8874402794638417,15.584308855127624,4.428896303834198,0.6998204599917596,2.863782403000777,0.08023115487003457
1.4,0.2,A2,full,IN_far,3,15.842497471125663,0.6347612932214708,15.822029163274502,3.874140084145876,0.3222174017108402,2.855213703998127,0.1061090689671316
1.4,0.2,A2,full,OUT,3,11.908290918924223,0.4199069677120674,11.896148422552535,0.35100324749493167,0.02110654511086768,3.020992539823152,0.07997427483
1.4,0.2,A2,full,IN_mean,3,15.733724199634262,0.7376712830412933,,4.151518193990038,0.2860410785881026,,
1.4,0.2,A2,no,IN_wall,2,15.102016648534617,0.15474808713783247,15.084579710173722,0.02936158578629683,0.0016010645146309803,3.0548816563622267,0.01734218866920388
1.4,0.2,A2,no,IN_far,2,15.32473785374754,0.15470967175908348,15.305774328960297,0.033821357377774315,0.0063562373079812705,3.047681415235114,0.008487163621467071
1.4,0.2,A2,no,OUT,2,10.42080315843541,0.16008028359753496,10.438158212420742,0.024199799800259082,0.003142299747289281,-3.022338214876094,0.006864463921761839
1.4,0.2,A2,no,IN_mean,2,15.213377251141079,0.15472887944845798,,0.03159147158203557,0.003978650911306125,,
1.4,0.3,A3,full,IN_wall,4,23.379823571314628,0.8515804281810067,23.38775572209819,4.251718977770752,1.4544439614384823,2.825452096722269,0.07721269418377702
1.4,0.3,A3,full,IN_far,4,22.839923496230227,0.699345219536097,22.85291581785824,3.71594380948037,0.4729163211588831,2.890177987984346,0.049734540553733976
1.4,0.3,A3,full,OUT,4,17.676560778428772,0.39050148987570443,17.713801015862963,0.33662673708476615,0.05522668211300905,2.996282908627785,0.05135166709343796
1.4,0.3,A3,full,IN_mean,4,23.10987353377243,0.4073133872775106,,3.983831393625561,0.5331700613800952,,
1.4,0.3,A3,no,IN_wall,2,22.348944679287573,0.0057179349761534905,22.31377217715469,0.03473753175238457,0.0032647100639942176,-3.0692612805151898,0.005215310844635142
1.4,0.3,A3,no,IN_far,2,22.60801996759927,0.04321515901859599,22.61582874579964,0.042039854154469626,0.003337563718122803,-3.0652955009423244,0.018519843442798098
1.4,0.3,A3,no,OUT,2,15.088743547611479,0.11221607120987413,15.087714240205603,0.031713516298505884,0.010453501012196146,3.129412463191215,0.023551375234827778
1.4,0.3,A3,no,IN_mean,2,22.478482323443423,0.02446654699737474,,0.0383886929534271,0.003301136891058508,,
1.5,0.1,A1,full,IN_wall,3,8.187886476313325,1.0350516666780043,8.170030434765067,4.20562605015568,0.3856766282879132,-3.0233621533086144,0.4236152956863922
1.5,0.1,A1,full,IN_far,3,7.839798109931649,0.7885896466981284,7.793929781229793,4.4094768792043935,0.5216156399713051,-2.765419232574695,0.16003193259323173
1.5,0.1,A1,full,OUT,3,5.531363924428997,0.38489773623745455,5.5336666597931226,0.3232209381913358,0.054597423566075005,-3.0085661158548476,0.05682283737619623
1.5,0.1,A1,full,IN_mean,3,8.013842293122487,0.2997185629377296,,4.307551464680037,0.07314217632147588,,
