freq_hz,amp_v,amp_tag,A_IN_wall_now_mm,A_IN_wall_wind_mm,R_IN_wall,A_IN_far_now_mm,A_IN_far_wind_mm,R_IN_far,A_IN_mean_now_mm,A_IN_mean_wind_mm,R_IN_mean,A_OUT_now_mm,A_OUT_wind_mm,R_OUT,T_IN_wall_now,T_IN_wall_wind,R_T_IN_wall,T_IN_far_now,T_IN_far_wind,R_T_IN_far,T_IN_mean_now,T_IN_mean_wind,R_T_IN_mean,sigma_pre_IN_wall_no_mm,sigma_pre_IN_wall_full_mm,sigma_pre_OUT_no_mm,sigma_pre_OUT_full_mm,dphi_OUT_IN_wall_no_rad,dphi_OUT_IN_wall_full_rad,dphi_shift_wind_minus_now_rad
1.3,0.1,A1,7.6052362171247205,7.4386256008550955,0.9780926441318853,7.510192586097357,7.560318219894583,1.0066743473249964,7.5577144016110385,7.499471910374839,0.9922936369196772,4.986590389465868,5.888243603727365,1.1808155761432164,0.6556785676475841,0.791576820730229,1.207263527874969,0.6639763670903586,0.7788354183601371,1.1729866557948556,0.6598013796873434,0.7851544314182328,1.1899860406328489,0.1101122539777588,4.031292233474121,0.08152341415540099,0.3107706906734192,-0.08898193631144197,0.37166636272987297,0.46064829904131477
1.4,0.1,A1,7.9418760346896065,7.693906788866511,0.968776993654902,8.162418933602307,7.99526065803968,0.9795209879666326,8.052147484145957,7.844583723453095,0.9742225585036118,4.044732491394606,5.619219684015918,1.3892685600274237,0.5092918189263435,0.7303467325789839,1.4340437160735358,0.4955311071750578,0.7028188228441908,1.4183142342987236,0.5023172388928997,0.7163184028766286,1.426027911077439,0.05488458666592794,4.202225473193502,0.10833735483903699,0.3685954884026619,-0.14345467240793242,-0.0778587496508934,0.06559592275703885
1.5,0.1,A1,7.812196680136857,8.187886476313325,1.048090161008323,7.496430937871969,7.839798109931649,1.0458040866254086,7.654313809004412,8.013842293122487,1.0469707008478188,3.473834179220057,5.531363924428997,1.592293598098829,0.44466803915121106,0.6755545451723882,1.5192334183988054,0.46339841025817324,0.705549281609909,1.5225543851495438,0.4538400522765991,0.6902262013785868,1.5208578394881702,0.10106319030668971,4.20562605015568,0.02451130201632231,0.3232209381913358,-0.056061368554915836,0.012207932202559174,0.06826930075747484
1.6,0.1,A1,7.004095519118031,8.524583748978928,1.2170855930948754,7.2344312132196364,8.048435920003728,1.112518134846129,7.119263366168834,8.28650983449133,1.1639560735833037,2.6112324067960007,5.040667318621224,1.9303786616244378,0.37281507650324164,0.5913094958126246,1.5860664792816745,0.36094508743471604,0.6262915389675972,1.7351435461242404,0.3667840719595701,0.6082979950907941,1.658463498267301,0.0271767025109434,3.7896519102288444,0.024274719949229605,0.34233821697919953,-0.057151234210658375,-0.20068631603536308,-0.14353508182470476
1.3,0.2,A2,14.853812272673288,15.12785860197821,1.0184495619221665,14.679967210124234,14.571561783875383,0.9926154176847147,14.76688974139876,14.849710192926798,1.0056085237296688,11.930753905909029,12.702688098523135,1.0647012082138234,0.8032115720122679,0.83968844717137,1.0454137819101852,0.8127234710497736,0.8717451352798498,1.072622074214049,0.8079395265247585,0.8554165659457562,1.0587631101862458,0.032212473025134726,4.171150707191578,0.027112136677768316,0.3300821868157026,0.21734386708983422,0.14431737874347195,-0.07302648834636205
1.4,0.2,A2,15.102016648534617,15.624950928142864,1.0346267847386454,15.32473785374754,15.842497471125663,1.0337858710745587,15.213377251141079,15.733724199634262,1.0342032501990415,10.42080315843541,11.908290918924223,1.1427421416443055,0.690027259336028,0.7621330123652176,1.1044969630599415,0.679998787443342,0.7516675284706925,1.1053953953312337,0.6849763196172499,0.7568640944653802,1.104949284799071,0.02936158578629683,4.428896303834198,0.024199799800259082,0.35100324749493167,0.20596543594126526,0.15706426173435944,-0.04890117420690565
1.5,0.2,A2,15.153583685908242,15.993715730388246,1.0554411459291486,15.02080581355572,15.058975831926555,1.0025411431879632,15.087194749731982,15.526345781157401,1.0291075338199118,8.963049232980465,11.3479451804585,1.2660808710837563,0.591480498524944,0.7095252517773136,1.19957505538518,0.5967089478576206,0.7535668631859882,1.2628717331817103,0.5940832196879867,0.730883193019586,1.2302707243666078,0.02655839296562655,3.723996902022195,0.1091278774685444,0.3138090766715181,0.0427165895175996,-0.22568065225358133,-0.26839724177118107
1.6,0.2,A2,14.667767589292351,16.55867505874737,1.12891583248397,14.770566031608787,14.600742510114685,0.9885025718628059,14.71916681045057,15.579708784431029,1.0584640411418855,7.133039595804517,10.663769883561498,1.4949825723431667,0.4863071051801859,0.6439989821485265,1.3242639790547843,0.48292256238115183,0.7303580537889875,1.5123709486419576,0.48460892438151304,0.6844652895064328,1.4124075209303841,0.028132116673247443,3.630284653618521,0.06570750935190711,0.30520014994025324,0.3168765177373993,-0.08348799412239657,-0.40036451185979605
1.3,0.3,A3,21.503399407461224,22.313058110705565,1.0376525910114196,21.58162072886511,22.266955554169147,1.0317554846280572,21.542510068163168,22.290006832437356,1.0346986846894357,17.87254859463377,18.57433866399345,1.039266367952156,0.8311499152283975,0.8324425353009628,1.0015552189188517,0.8281374609984453,0.834166063645629,1.0072797125249173,0.829640953541756,0.8333034082772596,1.0044145057206595,0.028923544485605645,3.99198224020432,0.03143875485013761,0.3487782381099366,0.08170985031662759,-0.005571155397432087,-0.08728100571405983
1.4,0.3,A3,22.348944679287573,23.379823571314628,1.0461265132121629,22.60801996759927,22.839923496230227,1.010257578017151,22.478482323443423,23.10987353377243,1.028088693944898,15.088743547611479,17.676560778428772,1.1715064758474831,0.6751434470011167,0.7560604862782904,1.1198516250681165,0.6674066799850648,0.7739325738698872,1.1596116686863343,0.6712527710055859,0.764892146752621,1.1394994252414876,0.03473753175238457,4.251718977770752,0.031713516298505884,0.33662673708476615,-0.08451156347318191,0.1708325789704869,0.2553441424436689
1.5,0.3,A3,21.641723385327673,23.673435235783472,1.0938793927951795,21.180928232819902,23.081669586280857,1.0897383406698744,21.411325809073787,23.377552411032166,1.0918311467253992,13.090687303627345,17.055224222676966,1.3028517011441465,0.6048819250920826,0.7204372349348446,1.191037796054446,0.6180412472831711,0.7389077362416688,1.1955637904263041,0.6113907854356088,0.7295555977292296,1.1932721511486795,0.03381757154764366,3.8682301405367383,0.0326748937804075,0.3240607471043237,0.22568890512512588,-0.18239512258198476,-0.4080840277071105
