file_date,Mooring,probe_height_mm,probe_range_mode,PanelCondition,duration_s,Probe 8804/250 Amplitude,Probe 9373/170 Amplitude,Probe 9373/340 Amplitude,Probe 12400/250 Amplitude,run_filename
2025-11-12,above_50,272,high,no,,,,,,nopanel-fullwind-nowave-per40-depth580-mstop30-run1.csv
2026-03-07,above_50,272,high,full,,8.34,9.94,8.94,0.99,fullpanel-fullwind-nowave-ULSonly-endofday.csv
2026-03-07,above_50,272,high,full,,8.47,10.38,10.03,0.78,fullpanel-fullwind-nowave-depth580-ULSonly.csv
2026-03-14,above_50,272,high,full,,8.79,10.64,10.44,1.14,fullpanel-fullwind-nowave-run1.csv
2026-03-14,above_50,272,high,full,,9.16,10.95,10.46,0.85,fullpanel-fullwind-nowave-run2.csv
2026-03-19,below_90_loose230,272,high,full,,8.73,10.96,9.89,0.77,fullpanel-fullwind-nowave-depth580-mstop30-run1.csv
2026-03-24,below_90_loose230,100,high,full,,7.9,8.96,8.71,0.81,fullpanel-fullwind-nowave-depth580-endofday-run1.csv
2026-03-24,below_90_loose230,100,high,full,,7.19,8.26,8.47,0.9,fullpanel-fullwind-nowave-depth580-run1.csv
2026-03-24,below_90_loose230,100,high,full,,8.56,9.37,9.72,0.69,fullpanel-fullwind-nowave-depth580-run2.csv
2026-03-26,below_90_loose230,100,low,full,,7.53,9.38,8.86,1.23,fullpanel-fullwind-nowave-depth580-mstop30-run1.csv
2026-03-26,below_90_loose230,100,low,full,,7.78,9.04,8.9,0.91,fullpanel-fullwind-nowave-depth580-mstop30-run2.csv
2026-03-26,below_90_loose230,100,low,full,,7.71,8.35,9.03,0.98,fullpanel-fullwind-nowave-depth580-mstop30-run3.csv
2026-03-26,below_90_loose230,100,low,full,,7.97,9.16,9.34,0.94,fullpanel-fullwind-nowave-depth580-mstop330-run1.csv
2026-03-27,below_90_loose300,100,low,full,,8.4,9.54,8.1,0.81,fullpanel-fullwind-nowave-depth580-mstop30-run2.csv
2026-03-27,below_90_loose300,100,low,full,,8.49,9.6,9.31,0.82,fullpanel-fullwind-nowave-depth580-mstop30-run4.csv
