dataset,label,before,after,transition_row_idx,n_pre,n_post,pre_mean,post_mean,water_rise_mm,magnitude_mm,date
PROCESSED-20260323-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100,wind ON,no,full,11,3,3,100.26333333333334,99.06333333333333,1.2000000000000028,1.2000000000000028,20260323
PROCESSED-20260323-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100,wind ON,no,full,28,3,3,100.65666666666668,99.52333333333335,1.1333333333333258,1.1333333333333258,20260323
PROCESSED-20260323-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100,wind OFF,full,no,16,3,3,99.04666666666667,100.61666666666667,-1.5700000000000074,1.5700000000000074,20260323
PROCESSED-20260323-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100,wind OFF,full,no,54,3,2,100.18,101.61500000000001,-1.4350000000000023,1.4350000000000023,20260323
PROCESSED-20260324-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100,wind ON,no,full,22,3,3,101.2,99.90666666666668,1.2933333333333223,1.2933333333333223,20260324
PROCESSED-20260324-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100,wind OFF,full,no,2,2,3,99.63499999999999,101.17333333333333,-1.538333333333341,1.538333333333341,20260324
PROCESSED-20260324-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100,wind OFF,full,no,34,3,1,99.98333333333333,101.3,-1.3166666666666629,1.3166666666666629,20260324
PROCESSED-20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange,wind ON,no,full,2,2,2,100.3,99.855,0.4449999999999932,0.4449999999999932,20260326
PROCESSED-20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange,wind ON,no,full,6,2,3,100.715,99.81333333333333,0.9016666666666708,0.9016666666666708,20260326
PROCESSED-20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange,wind OFF,full,no,4,2,2,99.855,100.715,-0.8599999999999994,0.8599999999999994,20260326
PROCESSED-20260326-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100-lowrange,wind OFF,full,no,40,3,1,100.3,101.63,-1.3299999999999983,1.3299999999999983,20260326
PROCESSED-20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange,wind ON,no,full,22,3,3,100.71333333333332,99.5,1.213333333333324,1.213333333333324,20260327
PROCESSED-20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange,wind ON,no,full,64,3,3,101.38333333333333,99.97666666666667,1.406666666666652,1.406666666666652,20260327
PROCESSED-20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange,wind OFF,full,no,47,3,3,99.93666666666667,101.2,-1.2633333333333354,1.2633333333333354,20260327
PROCESSED-20260327-ProbePos4_31_FPV_2-tett6roof-under9Mooring30-height100-lowrange,wind OFF,full,no,80,3,1,100.48,101.78,-1.2999999999999972,1.2999999999999972,20260327
