freq_r,amp_r,wind,OUT_IN_hg_mean,OUT_IN_pipe_mean,OUT_IN_hg_std,OUT_IN_pipe_std,n,delta_OUT_IN,pct_OUT_IN
1.3,0.1,full,0.8010919704735873,0.7837084696341317,0.03621567546829754,0.027875147906349953,4,-0.017383500839455612,-2.1699756682343083
1.3,0.1,no,0.7069535714374261,0.6474296207396839,0.02208396203941472,0.024595893446733085,6,-0.05952395069774219,-8.419782161466989
1.3,0.2,full,0.8394754629443919,0.8600119701795618,0.019184862653841863,0.022672754889497666,2,0.020536507235169865,2.446349910352321
1.3,0.2,no,0.783432426739898,0.8143752727869115,,,1,0.030942846047013473,3.94965091957913
1.3,0.3,full,0.8065074141594131,0.8474768555906615,0.011317904185806605,0.023834617276440807,2,0.04096944143124848,5.079859243941249
1.3,0.3,no,0.8098508997172869,0.8370803906561176,,,1,0.027229490938830758,3.3622844585758163
1.4,0.1,full,0.7751565949671972,0.7193261221513667,0.1382506908579459,0.11338822303798021,2,-0.055830472815830534,-7.202476658047803
1.4,0.1,no,0.5380834691359145,0.48449864531651016,,,1,-0.05358482381940438,-9.958459401373913
1.4,0.2,full,0.7811635808102158,0.7836947544706191,0.049706593202989265,0.057740279840876874,2,0.002531173660403341,0.32402607118191945
1.4,0.2,no,0.6944168411014878,0.6868635746447244,,,1,-0.007553266456763463,-1.0877136050995582
1.4,0.3,full,0.7579750345288429,0.7580512777401134,0.008015890780762293,0.004746081482595897,2,7.624321127053246e-05,0.010058802440363387
1.4,0.3,no,0.7832303344437695,0.6756140715131608,,,1,-0.10761626293060877,-13.740052982885953
1.5,0.1,full,0.715615186883885,0.7314520003276058,0.007738389591480829,0.032771023810270306,2,0.015836813443720787,2.21303484526111
1.5,0.1,no,0.45094011116578525,0.438496456803869,,,1,-0.012443654361916245,-2.759491571895545
1.5,0.2,full,0.7362422760000826,0.7541646775727716,0.03609605451499997,0.05455806088853849,2,0.017922401572688984,2.43430758554905
1.5,0.2,no,0.5902851804896422,0.6102988056821332,,,1,0.020013625192491058,3.390501041528729
1.5,0.3,full,0.7479194775727844,0.7387134098829532,0.0007595369276976415,0.009564051332692263,2,-0.009206067689831232,-1.2308902182501773
1.5,0.3,no,0.628209981505273,0.6075592391176705,,,1,-0.02065074238760245,-3.287235637058899
1.6,0.1,full,0.6170940906560094,0.6232198395262913,0.023430938406391516,0.03524825074710721,2,0.006125748870281944,0.9926766376534075
1.6,0.1,no,0.3906794535967234,0.37341072985336005,,,1,-0.017268723743363357,-4.4201771002753825
1.6,0.2,full,0.6725213043742977,0.6772367092694331,0.01422618155095041,0.013569953139870255,2,0.004715404895135444,0.7011532370000645
1.6,0.2,no,0.4759330527939347,0.48439179286259504,,,1,0.00845874006866032,1.7772962014308156
1.6,0.3,full,0.7045096629696865,0.7054654366627847,0.00280600336818471,0.016827263324300037,3,0.000955773693098183,0.13566509351615633
