freq_hz,wind,run_type,N_length_T,OUT_IN_med,OUT_IN_std,n
1.3,full,per240,5,0.8599822686257165,0.018105765861194837,2
1.3,full,per240,6,0.8551926490423021,0.018134841843793287,2
1.3,full,per240,7,0.8544497076335603,0.018879930275578154,2
1.3,full,per240,8,0.8520732742117463,0.019887265676011748,2
1.3,full,per240,9,0.8508289371045814,0.022344709925186883,2
1.3,full,per240,10,0.8492263211444129,0.025293860707122896,2
1.3,full,per240,11,0.8484665034871184,0.022149851762000624,2
1.3,full,per240,12,0.8471778274326721,0.024535999855957464,2
1.3,full,per240,13,0.8466080741353875,0.0248014691557183,2
1.3,full,per240,14,0.8459952240021176,0.02375020716707973,2
1.3,full,per240,15,0.8476687995845689,0.02359789157057519,2
1.3,full,per240,16,0.8475512963709138,0.024488829035728413,2
1.3,full,per240,17,0.8462014046106247,0.021502295424107636,2
1.3,full,per240,18,0.8463490299183891,0.020294093395210513,2
1.3,full,per240,19,0.8467647248723258,0.02142948344879576,2
1.3,full,per240,20,0.8457738706572258,0.023825729560725775,2
1.3,full,per240,21,0.8454477476326409,0.024123743775705923,2
1.3,full,per240,22,0.8455689864238747,0.021734069222205485,2
1.3,full,per240,23,0.8445948745985727,0.02372668290405529,2
1.3,full,per240,24,0.8436251830977209,0.02306704505363793,2
1.3,full,per240,25,0.8447879581879194,0.0218254241951925,2
1.3,full,per240,26,0.8431766369775027,0.02216063102960429,2
1.3,full,per240,27,0.8434919760246403,0.02234348289832047,2
1.3,full,per240,28,0.8443240486765986,0.02155843951608553,2
1.3,full,per240,29,0.8444670610530709,0.02175952769026007,2
1.3,full,per240,30,0.8437241085975552,0.022526655407671514,2
1.3,full,per40,5,0.8360025876648186,,1
1.3,full,per40,6,0.8365953336615537,,1
1.3,full,per40,7,0.8389752328728908,,1
1.3,full,per40,8,0.8428323454308152,,1
1.3,full,per40,9,0.8441348854635756,,1
1.3,full,per40,10,0.8421427248756531,,1
1.3,full,per40,11,0.8376010816907811,,1
1.3,full,per40,12,0.8344339289129575,,1
1.3,full,per40,13,0.8335571654069076,,1
1.3,full,per40,14,0.8285914016424321,,1
1.3,full,per40,15,0.8285807853392468,,1
1.3,full,per40,16,0.8249440127711114,,1
1.3,full,per40,17,0.8230863855126063,,1
1.3,full,per40,18,0.8224047816997623,,1
1.3,full,per40,19,0.8163770347061428,,1
1.3,full,per40,20,0.8226295058903914,,1
1.3,full,per40,21,0.8191177618254882,,1
1.3,full,per40,22,0.8134748485412077,,1
1.3,full,per40,23,0.8145849237688746,,1
1.3,full,per40,24,0.8138070281048889,,1
1.3,full,per40,25,0.8164250838340102,,1
1.3,full,per40,26,0.8161261132139678,,1
1.3,full,per40,27,0.8167587730186106,,1
1.3,full,per40,28,0.8168016467499649,,1
1.3,full,per40,29,0.8173131093052942,,1
1.3,full,per40,30,0.8180372913086298,,1
1.3,no,per240,5,0.8132909707756878,,1
1.3,no,per240,6,0.8159718320340514,,1
