freq_r,amp_r,wind,OUT_IN_old_mean,OUT_IN_new_mean,OUT_IN_old_std,OUT_IN_new_std,n,delta_OUT_IN,pct_OUT_IN
1.3,0.1,full,0.7864823183785136,0.7941421005800817,0.04516047322925675,0.052119027600891175,10,0.007659782201568155,0.9739293589409979
1.3,0.1,no,0.7048604536689536,0.683615048164967,0.017774288653675616,0.029931599979281503,9,-0.02124540550398657,-3.0141293065030905
1.3,0.2,full,0.823353661967044,0.845273567075668,0.031044594985005503,0.0185144867698544,3,0.02191990510862407,2.6622709196745458
1.3,0.2,no,0.7699557496690532,0.808272219275229,0.017893276338912856,0.0006750374764379575,2,0.03831646960617574,4.97645087040978
1.3,0.3,full,0.8106295040806759,0.8370365939873159,0.017649340247186528,0.013710142451230289,4,0.02640708990663998,3.257602859716771
1.3,0.3,no,0.8005361626634175,0.8363388244338807,0.010312636578447694,0.006268157995765296,2,0.03580266177046321,4.472335347268541
1.4,0.1,full,0.7599269738583274,0.7361806874246176,0.101254386762791,0.08950382993173735,3,-0.023746286433709796,-3.1248116267204376
1.4,0.1,no,0.5562309411922934,0.5303179374210072,0.025801223358301036,0.03464348638394159,2,-0.025913003771286247,-4.658677152288786
1.4,0.2,full,0.7497709322176247,0.7533595498418132,0.06474463576928555,0.06637058729597749,3,0.003588617624188495,0.4786285343944064
1.4,0.2,no,0.6917792281040647,0.7008593520639148,0.002277976774243472,0.0002084914972626369,2,0.00908012395985014,1.3125753984744122
1.4,0.3,full,0.7687741429857102,0.7629554429834721,0.013940885962866356,0.009475989653060308,4,-0.005818700002238164,-0.7568802951202172
1.4,0.3,no,0.7118410231275223,0.6804237594876306,,,1,-0.031417263639891724,-4.413522488751466
1.5,0.1,full,0.6735591923497184,0.6833938836523367,0.07304834950570986,0.06737905476775827,3,0.00983469130261827,1.4601079480943384
1.5,0.1,no,0.4790264369975224,0.47506917366938145,0.038876292534733486,0.030748512079755548,2,-0.0039572633281409475,-0.8261054135017218
1.5,0.2,full,0.7265371992123691,0.7256783835975384,0.03056187366869332,0.02719569883793441,3,-0.0008588156148306991,-0.11820669550874086
1.5,0.2,no,0.5928366925571761,0.5935168158327402,0.0035930701450953566,0.006207116070583745,2,0.000680123275564104,0.11472354597864395
1.5,0.3,full,0.7420383847919219,0.7415192914896757,0.008049975747885678,0.00871408596006576,4,-0.0005190933022461985,-0.06995504718960861
1.5,0.3,no,0.627974874199316,0.6243012765288429,0.0005006452295039214,0.003088678527252504,2,-0.003673597670473039,-0.5849911869733594
1.6,0.1,full,0.6088976239188079,0.6022630671920993,0.021818584698009534,0.02329786928855328,3,-0.00663455672670854,-1.089601349404052
1.6,0.1,no,0.3887153001334826,0.3925961934419471,0.0028864701755072953,0.005295176023622519,2,0.0038808933084644726,0.998389645874962
1.6,0.2,full,0.6883745409961349,0.682115221651148,0.029243246313023937,0.038227767964866766,3,-0.006259319344986913,-0.9092897793589461
1.6,0.2,no,0.479451508506193,0.47060048827743883,0.00517272744906048,0.008056561366198586,2,-0.00885102022875417,-1.8460720368428756
1.6,0.3,full,0.7075983318517693,0.7107506865084998,0.016378552768248403,0.017961516960142,5,0.0031523546567304717,0.44550057777564694
1.6,0.3,no,0.526282049300097,0.5316907544259646,0.006697459789017966,0.020796098875823482,3,0.005408705125867552,1.0277198572629627
