side,pair,amp,freq,wind,n,delta_mean_mm,delta_std_mm,delta_frac_mean,delta_frac_std,t_stat,p_value,significant_05
in_mar,9373/170 − 9373/340,0.1,1.3,full,10,-0.5349936111930795,1.5569598694808136,-0.08293936150241217,0.25638765641509215,-1.0866036936281684,0.3054558736986066,False
in_mar,9373/170 − 9373/340,0.1,1.3,no,9,0.11739012711905358,0.10052143208392385,0.015878915500082493,0.013548095204403116,3.5034357753990104,0.008038507104628119,True
in_mar,9373/170 − 9373/340,0.1,1.4,full,3,-0.05427132825702774,0.5627805586232576,-0.0038770445077216443,0.07303803989410916,-0.16702904266163085,0.8827078726038124,False
in_mar,9373/170 − 9373/340,0.1,1.4,no,2,-0.12697367133890847,0.05252902658072416,-0.015988309398326225,0.00674866714125744,,,
in_mar,9373/170 − 9373/340,0.1,1.5,full,3,-0.23737945121742085,2.6869396618511865,-0.04327948197527496,0.3593300003262937,-0.1530191675008153,0.8924269786306838,False
in_mar,9373/170 − 9373/340,0.1,1.5,no,2,0.4179758819473527,0.03299655781255394,0.05462686874827921,0.002852807443058795,,,
in_mar,9373/170 − 9373/340,0.1,1.6,full,3,0.5259396806837117,1.146884409837939,0.061145523131033254,0.1363889128819841,0.7942860159634249,0.510305136433992,False
in_mar,9373/170 − 9373/340,0.1,1.6,no,2,-0.29666301445610666,0.06260417290988504,-0.04135282825190362,0.008845255690813021,,,
in_mar,9373/170 − 9373/340,0.2,1.3,full,3,0.7252700804818257,0.3241464822378671,0.04870262295114975,0.02199570546203773,3.8754226790659887,0.060594018396705675,False
in_mar,9373/170 − 9373/340,0.2,1.3,no,2,-0.02297894786289767,0.008694005037540687,-0.0015396575618189846,0.0005843594031577321,,,
in_mar,9373/170 − 9373/340,0.2,1.4,full,3,-0.21658981640027855,0.5782926226909881,-0.013998697256988615,0.037541382938824426,-0.6487106210375376,0.5830641219694913,False
in_mar,9373/170 − 9373/340,0.2,1.4,no,2,-0.13232723132403734,0.01265626555540774,-0.008693093721843381,0.0007600971568049188,,,
in_mar,9373/170 − 9373/340,0.2,1.5,full,3,1.9450199278526359,2.053098560763741,0.1250064097995781,0.13324304571064732,1.6408726795471116,0.24251428231102407,False
in_mar,9373/170 − 9373/340,0.2,1.5,no,2,0.18482450001529127,0.02874559982034298,0.012222729228028317,0.0018863487632781268,,,
in_mar,9373/170 − 9373/340,0.2,1.6,full,3,2.807323154920487,1.285654907997248,0.18125686548819675,0.08603487621136242,3.78206181716474,0.0633406952876781,False
in_mar,9373/170 − 9373/340,0.2,1.6,no,2,-0.31518560622221425,0.08154488976936375,-0.021164486952025392,0.0057964747779942795,,,
in_mar,9373/170 − 9373/340,0.3,1.3,full,4,-0.8507959206595048,1.3453711964837172,-0.03706214503828749,0.05799866617342374,-1.2647749898067657,0.2952714851550854,False
in_mar,9373/170 − 9373/340,0.3,1.3,no,2,-0.27580821532484023,0.042297025620800364,-0.012771184687645473,0.001993799021697389,,,
in_mar,9373/170 − 9373/340,0.3,1.4,full,4,0.2636433463965622,1.1559989755589375,0.011118515434538987,0.04879862686221087,0.4561307613081368,0.6792907825042439,False
in_mar,9373/170 − 9373/340,0.3,1.4,no,1,-0.39298629361513804,0.0,-0.017631103794709592,0.0,,,
in_mar,9373/170 − 9373/340,0.3,1.5,full,4,1.5768457942677445,0.5572118836564395,0.06751481992777913,0.024097280342160708,5.6597708717927535,0.010921919836552609,True
in_mar,9373/170 − 9373/340,0.3,1.5,no,2,0.3094416698991047,0.26397619008394324,0.014682136634128554,0.012536471386137083,,,
in_mar,9373/170 − 9373/340,0.3,1.6,full,5,2.3992015161672464,2.248362743390346,0.10564763811257456,0.09987095929621229,2.3860819156702804,0.07548843713801351,False
in_mar,9373/170 − 9373/340,0.3,1.6,no,2,0.3827621196318187,0.014664352146629889,0.01794917318090387,0.0006252295836278224,,,
