path,folder_file,mooring,quality_flag,9373/170_cv,9373/170_max_med,9373/170_burst_frac,9373/170_median_rms,9373/340_cv,9373/340_max_med,9373/340_burst_frac,9373/340_median_rms,splashy
/Users/ole/Kodevik/wave_project/wavedata/20260307-ProbPos4_31_FPV_2-tett6roof/fullpanel-fullwind-nowave-ULSonly-endofday.csv,20260307-ProbPos4_31_FPV_2-tett6roof/fullpanel-fullwind-nowave-ULSonly-endofday.csv,above_50,ok,0.2782,1.9492,0.0068,4.1179,0.2679,1.8900,0.0034,3.7942,True
/Users/ole/Kodevik/wave_project/wavedata/20260307-ProbPos4_31_FPV_2-tett6roof/fullpanel-fullwind-nowave-depth580-ULSonly.csv,20260307-ProbPos4_31_FPV_2-tett6roof/fullpanel-fullwind-nowave-depth580-ULSonly.csv,above_50,ok,0.3546,5.2473,0.0154,4.0503,0.2859,2.5174,0.0077,4.0879,True
/Users/ole/Kodevik/wave_project/wavedata/20260314-ProbePos4_31_FPV_2-tett6roof/fullpanel-fullwind-nowave-run2.csv,20260314-ProbePos4_31_FPV_2-tett6roof/fullpanel-fullwind-nowave-run2.csv,above_50,ok,0.3843,4.0474,0.0270,4.4381,0.2735,2.2909,0.0096,4.3765,True
/Users/ole/Kodevik/wave_project/wavedata/20260314-ProbePos4_31_FPV_2-tett6roof/fullpanel-fullwind-nowave-run1.csv,20260314-ProbePos4_31_FPV_2-tett6roof/fullpanel-fullwind-nowave-run1.csv,above_50,ok,0.3622,4.0713,0.0154,4.3089,0.2844,2.3548,0.0077,4.3271,True
/Users/ole/Kodevik/wave_project/wavedata/20260319-ProbePos4_31_FPV_2-tett6roof-under9Mooring/fullpanel-fullwind-nowave-depth580-mstop30-run1.csv,20260319-ProbePos4_31_FPV_2-tett6roof-under9Mooring/fullpanel-fullwind-nowave-depth580-mstop30-run1.csv,below_90_loose230,ok,0.3602,3.3547,0.0270,4.2312,0.2916,2.1844,0.0077,4.0407,True
/Users/ole/Kodevik/wave_project/wavedata/20260323-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100/fullpanel-fullwind-nowave-depth580-mstop30-run1.csv,20260323-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100/fullpanel-fullwind-nowave-depth580-mstop30-run1.csv,below_90_loose230,ok,0.2454,1.7409,0.0252,4.0563,0.2618,1.5870,0.0000,4.1948,False
/Users/ole/Kodevik/wave_project/wavedata/20260323-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100/fullpanel-fullwind-nowave-depth580-mstop30-run2.csv,20260323-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100/fullpanel-fullwind-nowave-depth580-mstop30-run2.csv,below_90_loose230,ok,0.2609,1.7765,0.0000,4.2810,0.2388,1.7629,0.0014,4.2851,True
/Users/ole/Kodevik/wave_project/wavedata/20260324-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100/fullpanel-fullwind-nowave-depth580-run-endofday-P2malfunction-butfirstpartcanbeused.csv,20260324-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100/fullpanel-fullwind-nowave-depth580-run-endofday-P2malfunction-butfirstpartcanbeused.csv,below_90_loose230,dropout_critical,0.2436,1.6647,0.0244,4.2791,0.2532,1.4866,0.0000,4.1970,False
/Users/ole/Kodevik/wave_project/wavedata/20260324-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100/fullpanel-fullwind-nowave-depth580-run1.csv,20260324-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100/fullpanel-fullwind-nowave-depth580-run1.csv,below_90_loose230,ok,0.2319,1.6543,0.0000,3.6430,0.2509,1.7247,0.0000,3.7464,False
/Users/ole/Kodevik/wave_project/wavedata/20260324-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100/fullpanel-fullwind-nowave-depth580-endofday-run1.csv,20260324-ProbePos4_31_FPV_2-tett6roof-under9Mooring-height100/fullpanel-fullwind-nowave-depth580-endofday-run1.csv,below_90_loose230,ok,0.2538,1.7364,0.0000,3.6170,0.2159,1.4404,0.0000,3.7896,True
