amp_v,freq,wind,n,A_in,A_out,Kt,sigma_Kt
0.1,1.3,full,10,7.48614152335972,5.845752779809998,0.7775107365206276,0.04593471630968589
0.1,1.3,no,9,7.4965937593012,4.96410100201842,0.6621808732611852,0.028214715749027612
0.1,1.4,full,3,8.01136037340327,5.686978037444424,0.7098642143629552,0.08025776143508224
0.1,1.4,no,2,8.008070073485262,4.056237614532562,0.5066860919582141,0.036228116026402586
0.1,1.5,full,3,7.986783344674809,5.671737282690338,0.710140370399802,0.07584900838094787
0.1,1.5,no,2,7.668874920390811,3.464099643375776,0.4518460979905663,0.015603040931852382
0.1,1.6,full,3,8.294661411483789,5.091280671852184,0.597370474591339,0.030060367639828514
0.1,1.6,no,2,7.122195171482673,2.610903309845291,0.36660332791653893,0.0054476936459096886
0.2,1.3,full,3,14.729360381305543,12.749026908656088,0.8435895216408619,0.019112416165630114
0.2,1.3,no,2,14.757338596943185,11.93292595570206,0.808607177598291,0.007477263940237257
0.2,1.4,full,3,15.557030584722371,11.885865707097738,0.744370194884094,0.05381563624086437
0.2,1.4,no,2,15.26762315026497,10.484622056956875,0.6867103903546949,0.0028630566529341045
0.2,1.5,full,3,15.363952416146782,11.346914570502683,0.7136528098657862,0.04479101715693997
0.2,1.5,no,2,14.977443632204196,8.978428992219104,0.5994458534332122,0.018616666891548478
0.2,1.6,full,3,15.277073634275858,10.72098656612823,0.6885061046895372,0.020777811177294266
0.2,1.6,no,2,14.68899995031533,7.134047295899467,0.4856737819052722,0.00027433889284493075
0.3,1.3,full,4,22.25088347920375,18.510553759502642,0.8270195714549258,0.01591682795439191
0.3,1.3,no,2,21.521762623318494,17.879097248253874,0.8307418475935335,0.0026014258981991254
0.3,1.4,full,4,23.112170852460615,17.64326505674775,0.76838621179032,0.009168754119839164
0.3,1.4,no,2,22.41375306057588,15.028742472251096,0.6705139570202896,0.005281321053418119
0.3,1.5,full,4,23.116908405941608,17.054660598298383,0.7372355952743712,0.010091483787918479
0.3,1.5,no,2,21.480254706634764,13.090138865057122,0.6094078671083782,0.0018269303944319138
0.3,1.6,full,5,23.081452809618114,16.227811812162958,0.7019928069224297,0.017146675255534264
0.3,1.6,no,3,20.682447653489817,11.01097808198603,0.5348625179129469,0.025411911617399405
