amp_v,freq,wind,n,A_in,A_in_sd,A_out,A_out_sd
0.1,1.3,full,10,7.494482909050231,0.11691657826926319,5.890938026131737,0.29339841052265503
0.1,1.3,no,9,7.570877219956191,0.19571855581081174,4.986886946855021,0.11822006819532846
0.1,1.4,full,3,7.899645020804747,0.46630901462631735,5.635205053179063,0.30291808329491077
0.1,1.4,no,2,8.008070073485262,0.0739820490934372,4.056237614532562,0.25263161643957194
0.1,1.5,full,3,8.031281740511423,0.3370483941699439,5.527074158816945,0.387943201812508
0.1,1.5,no,2,7.668874920390811,0.13478979964484755,3.464099643375776,0.05875352426565963
0.1,1.6,full,3,8.271473082625777,0.39966748496426957,5.063741690588987,0.12498022193901931
0.1,1.6,no,2,7.122195171482673,0.04300612294849577,2.610903309845291,0.023033349586908596
0.2,1.3,full,3,14.847697382979504,0.23005405630793313,12.671831498448782,0.2479077987879754
0.2,1.3,no,2,14.757338596943185,0.009640950432534512,11.93292595570206,0.11814025746340986
0.2,1.4,full,3,15.643094953473744,0.7166580723857641,11.945882664456947,0.3991002500149509
0.2,1.4,no,2,15.26762315026497,0.13035274719351783,10.484622056956875,0.13322665594392513
0.2,1.5,full,3,15.445049853184125,0.5809283888829327,11.350100076284974,0.38717484523063156
0.2,1.5,no,2,14.977443632204196,0.028201811436980324,8.978428992219104,0.295735537912893
0.2,1.6,full,3,15.489510979700322,0.5345847733561419,10.673630700627063,0.4353202701126642
0.2,1.6,no,2,14.68899995031533,0.1083504885446375,7.134047295899467,0.04859322755938995
0.3,1.3,full,4,22.25558566404129,0.472248818729099,18.530386197277586,0.23061542217401398
0.3,1.3,no,2,21.521762623318494,0.05258891968454769,17.879097248253874,0.09967508696488428
0.3,1.4,full,4,23.00274418277,0.376038945384527,17.652713993636585,0.3969484382995428
0.3,1.4,no,2,22.41375306057588,0.003111315769592669,15.028742472251096,0.12046040657314441
0.3,1.5,full,4,23.14125342269712,0.76985858988822,17.030298174663685,0.35050352955742586
0.3,1.5,no,2,21.480254706634764,0.10656197758742829,13.090138865057122,0.02569677727271567
0.3,1.6,full,5,22.914277051834425,0.9176659535204884,16.19001049648063,0.47436439774297157
0.3,1.6,no,3,20.23269612423485,1.019873824608033,11.00233545745501,0.06468636436096101
