""Arit"	""RMS""	""Stan"	""Vari"	""Kurt"	""Medi"	""Mode"	""Summ"	""Skew"
"0,000"	"0,000"	"-0,00"	"-0,00"	"0,000"	"0,000"	"0,000"	"0,000"	"0,000"
"0,000"	"0,000"	"-0,00"	"-0,00"	"0,000"	"0,000"	"0,000"	"0,000"	"0,000"
"5,273"	"5,275"	"0,150"	"0,022"	"7,936"	"5,278"	"5,285"	"5273,"	"0,020"
"5,289"	"5,291"	"0,157"	"0,024"	"7,277"	"5,290"	"5,281"	"5289,"	"-0,22"
"5,325"	"5,327"	"0,149"	"0,022"	"6,683"	"5,321"	"5,310"	"5325,"	"-0,06"
"5,340"	"5,342"	"0,144"	"0,020"	"7,443"	"5,339"	"5,331"	"5340,"	"0,038"
"5,303"	"5,305"	"0,150"	"0,022"	"7,016"	"5,305"	"5,310"	"5303,"	"-0,00"
"5,367"	"5,369"	"0,151"	"0,022"	"7,237"	"5,368"	"5,372"	"5367,"	"-0,13"
"5,388"	"5,390"	"0,154"	"0,023"	"6,697"	"5,387"	"5,378"	"5388,"	"0,110"
"5,348"	"5,350"	"0,148"	"0,021"	"6,677"	"5,348"	"5,349"	"5348,"	"0,083"
"5,320"	"5,322"	"0,144"	"0,020"	"7,364"	"5,320"	"5,318"	"5320,"	"0,104"
"5,310"	"5,312"	"0,151"	"0,023"	"7,441"	"5,307"	"5,303"	"5310,"	"-0,07"
"5,324"	"5,327"	"0,170"	"0,029"	"7,026"	"5,316"	"5,315"	"5324,"	"0,152"
"5,342"	"5,344"	"0,159"	"0,025"	"7,959"	"5,341"	"5,336"	"5342,"	"-0,06"
"5,337"	"5,339"	"0,164"	"0,027"	"8,115"	"5,330"	"5,324"	"5337,"	"0,468"
"5,323"	"5,325"	"0,169"	"0,028"	"6,959"	"5,309"	"5,303"	"5323,"	"0,654"
"5,306"	"5,309"	"0,164"	"0,027"	"7,382"	"5,311"	"5,326"	"5306,"	"-0,22"
"5,325"	"5,327"	"0,170"	"0,029"	"6,672"	"5,316"	"5,293"	"5325,"	"-0,05"
"5,380"	"5,383"	"0,177"	"0,031"	"7,495"	"5,376"	"5,388"	"5380,"	"0,059"
"5,317"	"5,319"	"0,154"	"0,023"	"7,745"	"5,313"	"5,312"	"5317,"	"0,155"
"5,308"	"5,311"	"0,164"	"0,026"	"6,711"	"5,314"	"5,334"	"5308,"	"-0,09"
"5,295"	"5,297"	"0,154"	"0,023"	"7,856"	"5,293"	"5,289"	"5295,"	"0,041"
"5,292"	"5,295"	"0,172"	"0,029"	"7,421"	"5,288"	"5,291"	"5292,"	"0,343"
"5,279"	"5,282"	"0,164"	"0,027"	"7,999"	"5,271"	"5,275"	"5279,"	"0,363"
"5,268"	"5,270"	"0,161"	"0,026"	"7,677"	"5,272"	"5,267"	"5268,"	"-0,25"
"5,305"	"5,307"	"0,165"	"0,027"	"6,578"	"5,307"	"5,314"	"5305,"	"-0,05"
"5,306"	"5,309"	"0,170"	"0,028"	"6,885"	"5,314"	"5,329"	"5306,"	"-0,13"
"5,305"	"5,307"	"0,157"	"0,024"	"8,058"	"5,303"	"5,279"	"5305,"	"0,241"
"5,349"	"5,352"	"0,166"	"0,027"	"6,807"	"5,347"	"5,356"	"5349,"	"0,137"
"5,340"	"5,342"	"0,149"	"0,022"	"7,584"	"5,335"	"5,311"	"5340,"	"-0,13"
"5,263"	"5,266"	"0,169"	"0,028"	"6,948"	"5,263"	"5,251"	"5263,"	"-0,04"
"5,323"	"5,326"	"0,172"	"0,029"	"6,761"	"5,313"	"5,303"	"5323,"	"0,375"
