""Arit"	""RMS""	""Stan"	""Vari"	""Kurt"	""Medi"	""Mode"	""Summ"	""Skew"
"7,066"	"7,066"	"0,041"	"0,001"	"3,403"	"7,060"	"7,042"	"7066,"	"0,181"
"7,061"	"7,061"	"0,042"	"0,001"	"4,477"	"7,056"	"7,030"	"7061,"	"0,387"
"7,142"	"7,143"	"0,032"	"0,001"	"6,289"	"7,144"	"7,148"	"7142,"	"0,208"
"7,151"	"7,151"	"0,032"	"0,001"	"6,111"	"7,152"	"7,159"	"7151,"	"-0,13"
"7,116"	"7,116"	"0,032"	"0,001"	"6,204"	"7,117"	"7,118"	"7116,"	"-0,01"
"7,090"	"7,090"	"0,036"	"0,001"	"5,864"	"7,084"	"7,074"	"7090,"	"0,397"
"7,198"	"7,198"	"0,042"	"0,001"	"3,823"	"7,202"	"7,211"	"7198,"	"-0,18"
"7,264"	"7,264"	"0,031"	"0,000"	"7,041"	"7,264"	"7,261"	"7264,"	"0,002"
"7,280"	"7,280"	"0,042"	"0,001"	"4,047"	"7,280"	"7,252"	"7280,"	"0,143"
"7,357"	"7,357"	"0,036"	"0,001"	"4,953"	"7,357"	"7,336"	"7357,"	"0,035"
"7,334"	"7,334"	"0,044"	"0,002"	"3,261"	"7,320"	"7,306"	"7334,"	"0,198"
"7,332"	"7,332"	"0,058"	"0,003"	"3,610"	"7,307"	"7,293"	"7332,"	"0,840"
"7,361"	"7,361"	"0,073"	"0,005"	"2,385"	"7,356"	"7,349"	"7361,"	"-0,11"
"7,205"	"7,205"	"0,031"	"0,000"	"7,241"	"7,205"	"7,207"	"7205,"	"-0,23"
"7,229"	"7,230"	"0,037"	"0,001"	"4,116"	"7,232"	"7,255"	"7229,"	"-0,24"
"7,355"	"7,355"	"0,042"	"0,001"	"4,397"	"7,365"	"7,382"	"7355,"	"0,044"
"7,316"	"7,316"	"0,036"	"0,001"	"5,964"	"7,308"	"7,296"	"7316,"	"0,342"
"7,256"	"7,257"	"0,054"	"0,002"	"2,545"	"7,267"	"7,227"	"7256,"	"-0,04"
"7,131"	"7,131"	"0,035"	"0,001"	"7,121"	"7,125"	"7,121"	"7131,"	"0,501"
"7,177"	"7,177"	"0,041"	"0,001"	"3,404"	"7,175"	"7,165"	"7177,"	"-0,03"
"7,204"	"7,204"	"0,038"	"0,001"	"4,285"	"7,207"	"7,226"	"7204,"	"-0,05"
"7,182"	"7,182"	"0,034"	"0,001"	"5,073"	"7,181"	"7,198"	"7182,"	"0,151"
"7,159"	"7,159"	"0,043"	"0,001"	"3,609"	"7,167"	"7,193"	"7159,"	"-0,42"
"7,089"	"7,089"	"0,032"	"0,001"	"6,516"	"7,087"	"7,101"	"7089,"	"0,277"
"7,060"	"7,060"	"0,035"	"0,001"	"4,416"	"7,060"	"7,066"	"7060,"	"0,094"
"7,116"	"7,117"	"0,061"	"0,003"	"2,819"	"7,123"	"7,167"	"7116,"	"-0,51"
"7,108"	"7,108"	"0,035"	"0,001"	"5,537"	"7,102"	"7,088"	"7108,"	"0,134"
"7,176"	"7,176"	"0,046"	"0,002"	"3,287"	"7,179"	"7,180"	"7176,"	"0,029"
"7,090"	"7,090"	"0,051"	"0,002"	"3,514"	"7,097"	"7,051"	"7090,"	"-0,02"
"6,930"	"6,930"	"0,052"	"0,002"	"3,809"	"6,924"	"6,887"	"6930,"	"0,247"
