""Arit"	""RMS""	""Stan"	""Vari"	""Kurt"	""Medi"	""Mode"	""Summ"	""Skew"
"6,866"	"6,867"	"0,101"	"0,010"	"8,996"	"6,871"	"6,882"	"6866,"	"-0,13"
"6,886"	"6,887"	"0,105"	"0,011"	"7,544"	"6,890"	"6,905"	"6886,"	"0,310"
"6,800"	"6,801"	"0,122"	"0,014"	"7,387"	"6,800"	"6,830"	"6800,"	"-0,12"
"6,836"	"6,837"	"0,125"	"0,015"	"6,460"	"6,837"	"6,843"	"6836,"	"0,155"
"6,960"	"6,961"	"0,113"	"0,012"	"7,738"	"6,966"	"6,969"	"6960,"	"-0,01"
"6,926"	"6,927"	"0,068"	"0,004"	"14,02"	"6,916"	"6,910"	"6926,"	"1,683"
"6,879"	"6,879"	"0,053"	"0,002"	"5,659"	"6,866"	"6,859"	"6879,"	"0,253"
"6,953"	"6,953"	"0,057"	"0,003"	"4,981"	"6,968"	"6,986"	"6953,"	"-0,22"
"6,929"	"6,930"	"0,052"	"0,002"	"5,607"	"6,933"	"6,904"	"6929,"	"-0,09"
"6,958"	"6,959"	"0,090"	"0,008"	"3,420"	"6,999"	"7,021"	"6958,"	"-0,89"
"6,708"	"6,708"	"0,055"	"0,003"	"5,015"	"6,702"	"6,704"	"6708,"	"0,319"
"6,763"	"6,763"	"0,049"	"0,002"	"5,775"	"6,770"	"6,776"	"6763,"	"-0,08"
"6,787"	"6,787"	"0,058"	"0,003"	"3,425"	"6,801"	"6,824"	"6787,"	"-0,24"
"6,833"	"6,833"	"0,040"	"0,001"	"7,523"	"6,831"	"6,824"	"6833,"	"-0,15"
"6,792"	"6,792"	"0,049"	"0,002"	"5,200"	"6,781"	"6,772"	"6792,"	"0,220"
"6,736"	"6,736"	"0,046"	"0,002"	"3,300"	"6,744"	"6,780"	"6736,"	"-0,22"
"6,697"	"6,697"	"0,046"	"0,002"	"3,131"	"6,686"	"6,685"	"6697,"	"0,296"
"6,788"	"6,788"	"0,027"	"0,000"	"7,160"	"6,789"	"6,797"	"6788,"	"-0,27"
"6,819"	"6,819"	"0,033"	"0,001"	"5,378"	"6,824"	"6,833"	"6819,"	"-0,04"
"6,795"	"6,795"	"0,041"	"0,001"	"4,109"	"6,799"	"6,793"	"6795,"	"-0,20"
"6,643"	"6,643"	"0,045"	"0,002"	"4,077"	"6,640"	"6,641"	"6643,"	"0,691"
"6,737"	"6,737"	"0,073"	"0,005"	"2,774"	"6,714"	"6,759"	"6737,"	"0,724"
"6,894"	"6,894"	"0,046"	"0,002"	"3,532"	"6,908"	"6,919"	"6894,"	"-0,24"
"6,736"	"6,737"	"0,050"	"0,002"	"2,890"	"6,738"	"6,712"	"6736,"	"-0,00"
"6,726"	"6,726"	"0,047"	"0,002"	"3,501"	"6,738"	"6,759"	"6726,"	"0,011"
"6,729"	"6,730"	"0,049"	"0,002"	"3,501"	"6,723"	"6,731"	"6729,"	"0,614"
"6,875"	"6,875"	"0,048"	"0,002"	"2,783"	"6,870"	"6,923"	"6875,"	"-0,10"
"6,905"	"6,905"	"0,032"	"0,001"	"5,865"	"6,904"	"6,906"	"6905,"	"-0,26"
"7,016"	"7,016"	"0,053"	"0,002"	"3,404"	"7,026"	"7,067"	"7016,"	"-0,44"
"6,915"	"6,915"	"0,105"	"0,011"	"1,801"	"6,915"	"6,983"	"6915,"	"-0,19"
"6,734"	"6,734"	"0,038"	"0,001"	"4,459"	"6,742"	"6,754"	"6734,"	"-0,32"
"6,722"	"6,722"	"0,047"	"0,002"	"3,387"	"6,719"	"6,687"	"6722,"	"0,400"
"6,787"	"6,787"	"0,029"	"0,000"	"4,956"	"6,786"	"6,781"	"6787,"	"-0,12"
"6,852"	"6,852"	"0,037"	"0,001"	"4,533"	"6,859"	"6,873"	"6852,"	"-0,18"
"6,910"	"6,910"	"0,036"	"0,001"	"4,017"	"6,917"	"6,922"	"6910,"	"-0,18"
"6,906"	"6,907"	"0,030"	"0,000"	"7,356"	"6,906"	"6,899"	"6906,"	"0,102"
"6,887"	"6,887"	"0,040"	"0,001"	"3,246"	"6,883"	"6,886"	"6887,"	"0,098"
"6,933"	"6,934"	"0,038"	"0,001"	"3,777"	"6,940"	"6,954"	"6933,"	"-0,29"
"6,844"	"6,844"	"0,069"	"0,004"	"2,302"	"6,863"	"6,866"	"6844,"	"-0,36"
"6,719"	"6,719"	"0,030"	"0,000"	"6,691"	"6,717"	"6,703"	"6719,"	"0,160"
"6,780"	"6,780"	"0,029"	"0,000"	"7,121"	"6,779"	"6,781"	"6780,"	"0,544"
"6,819"	"6,819"	"0,032"	"0,001"	"6,198"	"6,824"	"6,830"	"6819,"	"-0,35"
"6,818"	"6,818"	"0,039"	"0,001"	"4,585"	"6,824"	"6,825"	"6818,"	"-0,31"
"6,728"	"6,729"	"0,034"	"0,001"	"5,597"	"6,728"	"6,725"	"6728,"	"0,271"
"6,726"	"6,726"	"0,037"	"0,001"	"5,405"	"6,721"	"6,706"	"6726,"	"0,059"
"6,797"	"6,797"	"0,031"	"0,001"	"5,773"	"6,799"	"6,808"	"6797,"	"0,118"
"6,800"	"6,800"	"0,031"	"0,000"	"12,29"	"6,804"	"6,814"	"6800,"	"-0,82"
"6,766"	"6,766"	"0,028"	"0,000"	"6,222"	"6,767"	"6,770"	"6766,"	"-0,18"
"6,792"	"6,792"	"0,040"	"0,001"	"4,409"	"6,803"	"6,817"	"6792,"	"-0,04"
"6,718"	"6,718"	"0,037"	"0,001"	"10,79"	"6,715"	"6,742"	"6718,"	"-0,66"
"6,727"	"6,727"	"0,033"	"0,001"	"4,335"	"6,725"	"6,710"	"6727,"	"0,086"
"6,733"	"6,733"	"0,033"	"0,001"	"4,689"	"6,730"	"6,718"	"6733,"	"0,278"
"6,838"	"6,838"	"0,043"	"0,001"	"7,037"	"6,843"	"6,837"	"6838,"	"-0,56"
"6,819"	"6,819"	"0,030"	"0,000"	"6,596"	"6,818"	"6,818"	"6819,"	"0,508"
"6,826"	"6,826"	"0,035"	"0,001"	"5,515"	"6,829"	"6,842"	"6826,"	"0,123"
"6,813"	"6,814"	"0,051"	"0,002"	"2,929"	"6,799"	"6,793"	"6813,"	"0,276"
"6,937"	"6,937"	"0,040"	"0,001"	"3,451"	"6,937"	"6,939"	"6937,"	"0,087"
"6,872"	"6,872"	"0,029"	"0,000"	"9,463"	"6,870"	"6,871"	"6872,"	"0,697"
"6,823"	"6,823"	"0,032"	"0,001"	"4,125"	"6,824"	"6,846"	"6823,"	"-0,20"
"6,718"	"6,719"	"0,050"	"0,002"	"2,655"	"6,723"	"6,672"	"6718,"	"-0,16"
"6,597"	"6,597"	"0,040"	"0,001"	"4,394"	"6,592"	"6,573"	"6597,"	"0,343"
"6,658"	"6,658"	"0,057"	"0,003"	"2,601"	"6,664"	"6,713"	"6658,"	"-0,18"
"6,710"	"6,710"	"0,028"	"0,000"	"6,491"	"6,709"	"6,705"	"6710,"	"0,028"
