""Arit"	""RMS""	""Stan"	""Vari"	""Kurt"	""Medi"	""Mode"	""Summ"	""Skew"
"5,287"	"5,288"	"0,084"	"0,007"	"5,921"	"5,283"	"5,256"	"5287,"	"-0,07"
"5,348"	"5,348"	"0,070"	"0,004"	"7,986"	"5,349"	"5,358"	"5348,"	"0,008"
"5,325"	"5,326"	"0,072"	"0,005"	"6,899"	"5,328"	"5,342"	"5325,"	"-0,42"
"5,329"	"5,329"	"0,073"	"0,005"	"6,955"	"5,326"	"5,325"	"5329,"	"0,130"
"5,424"	"5,424"	"0,085"	"0,007"	"4,874"	"5,433"	"5,459"	"5424,"	"0,041"
"5,428"	"5,428"	"0,078"	"0,006"	"6,708"	"5,430"	"5,437"	"5428,"	"0,042"
"5,321"	"5,322"	"0,072"	"0,005"	"7,331"	"5,319"	"5,313"	"5321,"	"-0,00"
"5,340"	"5,341"	"0,073"	"0,005"	"6,526"	"5,340"	"5,346"	"5340,"	"0,001"
"5,385"	"5,386"	"0,080"	"0,006"	"6,076"	"5,386"	"5,402"	"5385,"	"0,159"
"5,445"	"5,445"	"0,074"	"0,005"	"6,732"	"5,442"	"5,438"	"5445,"	"-0,03"
"5,479"	"5,480"	"0,079"	"0,006"	"7,281"	"5,479"	"5,466"	"5479,"	"-0,25"
"5,470"	"5,470"	"0,079"	"0,006"	"6,486"	"5,471"	"5,483"	"5470,"	"0,383"
"5,341"	"5,342"	"0,077"	"0,006"	"6,835"	"5,330"	"5,324"	"5341,"	"0,694"
"5,331"	"5,332"	"0,072"	"0,005"	"7,428"	"5,335"	"5,333"	"5331,"	"-0,17"
"5,260"	"5,260"	"0,080"	"0,006"	"6,590"	"5,258"	"5,244"	"5260,"	"-0,16"
"5,239"	"5,240"	"0,084"	"0,007"	"6,898"	"5,237"	"5,248"	"5239,"	"0,237"
"5,237"	"5,238"	"0,087"	"0,007"	"6,220"	"5,240"	"5,220"	"5237,"	"-0,35"
"5,412"	"5,412"	"0,082"	"0,006"	"5,337"	"5,423"	"5,450"	"5412,"	"-0,05"
"5,386"	"5,387"	"0,076"	"0,005"	"7,109"	"5,388"	"5,386"	"5386,"	"-0,11"
"5,378"	"5,379"	"0,083"	"0,006"	"8,544"	"5,375"	"5,372"	"5378,"	"0,466"
"5,380"	"5,380"	"0,075"	"0,005"	"7,295"	"5,382"	"5,374"	"5380,"	"-0,12"
"5,363"	"5,363"	"0,078"	"0,006"	"6,949"	"5,363"	"5,367"	"5363,"	"-0,00"
"5,367"	"5,368"	"0,083"	"0,006"	"6,158"	"5,371"	"5,399"	"5367,"	"-0,04"
"5,192"	"5,192"	"0,087"	"0,007"	"4,957"	"5,180"	"5,161"	"5192,"	"0,026"
"5,184"	"5,185"	"0,080"	"0,006"	"6,596"	"5,184"	"5,195"	"5184,"	"-0,24"
"5,166"	"5,167"	"0,076"	"0,005"	"6,513"	"5,163"	"5,162"	"5166,"	"0,078"
"5,206"	"5,207"	"0,084"	"0,007"	"5,823"	"5,200"	"5,192"	"5206,"	"-0,02"
"5,301"	"5,302"	"0,078"	"0,006"	"7,300"	"5,302"	"5,290"	"5301,"	"-0,09"
"5,217"	"5,217"	"0,087"	"0,007"	"5,864"	"5,214"	"5,201"	"5217,"	"-0,10"
"5,299"	"5,300"	"0,097"	"0,009"	"5,657"	"5,297"	"5,270"	"5299,"	"0,382"
"5,382"	"5,382"	"0,078"	"0,006"	"7,376"	"5,378"	"5,378"	"5382,"	"0,284"
"5,374"	"5,374"	"0,078"	"0,006"	"6,089"	"5,375"	"5,396"	"5374,"	"0,106"
"5,293"	"5,294"	"0,083"	"0,007"	"5,273"	"5,294"	"5,246"	"5293,"	"0,066"
"5,231"	"5,231"	"0,074"	"0,005"	"7,156"	"5,231"	"5,233"	"5231,"	"-0,07"
"5,203"	"5,204"	"0,076"	"0,005"	"6,118"	"5,202"	"5,192"	"5203,"	"0,041"
"5,325"	"5,326"	"0,087"	"0,007"	"5,762"	"5,331"	"5,358"	"5325,"	"0,329"
"5,372"	"5,372"	"0,073"	"0,005"	"7,680"	"5,369"	"5,359"	"5372,"	"0,176"
"5,347"	"5,348"	"0,072"	"0,005"	"6,771"	"5,345"	"5,344"	"5347,"	"-0,21"
"5,312"	"5,312"	"0,072"	"0,005"	"6,616"	"5,314"	"5,322"	"5312,"	"0,062"
"5,239"	"5,239"	"0,076"	"0,005"	"6,978"	"5,237"	"5,230"	"5239,"	"0,027"
"5,238"	"5,239"	"0,074"	"0,005"	"6,937"	"5,240"	"5,251"	"5238,"	"0,016"
"5,176"	"5,177"	"0,080"	"0,006"	"7,766"	"5,173"	"5,171"	"5176,"	"0,438"
"5,181"	"5,182"	"0,076"	"0,005"	"7,138"	"5,181"	"5,183"	"5181,"	"-0,07"
"5,243"	"5,244"	"0,081"	"0,006"	"4,704"	"5,238"	"5,213"	"5243,"	"-0,13"
"5,303"	"5,304"	"0,072"	"0,005"	"8,168"	"5,299"	"5,299"	"5303,"	"-0,02"
"5,353"	"5,354"	"0,090"	"0,008"	"5,494"	"5,352"	"5,338"	"5353,"	"0,012"
"5,422"	"5,422"	"0,070"	"0,005"	"6,655"	"5,421"	"5,420"	"5422,"	"0,214"
"5,322"	"5,322"	"0,087"	"0,007"	"5,328"	"5,310"	"5,285"	"5322,"	"0,074"
"5,274"	"5,275"	"0,070"	"0,005"	"7,190"	"5,272"	"5,266"	"5274,"	"0,099"
