""Arit"	""RMS""	""Stan"	""Vari"	""Kurt"	""Medi"	""Mode"	""Summ"	""Skew"
"5,183"	"5,183"	"0,042"	"0,001"	"6,031"	"5,185"	"5,193"	"5183,"	"-0,31"
"5,176"	"5,176"	"0,045"	"0,002"	"7,371"	"5,176"	"5,179"	"5176,"	"0,519"
"5,213"	"5,213"	"0,051"	"0,002"	"4,725"	"5,205"	"5,184"	"5213,"	"0,110"
"5,322"	"5,323"	"0,049"	"0,002"	"7,152"	"5,322"	"5,330"	"5322,"	"0,587"
"5,304"	"5,304"	"0,051"	"0,002"	"4,517"	"5,306"	"5,273"	"5304,"	"0,067"
"5,206"	"5,206"	"0,042"	"0,001"	"5,732"	"5,202"	"5,198"	"5206,"	"0,413"
"5,254"	"5,254"	"0,047"	"0,002"	"5,189"	"5,250"	"5,247"	"5254,"	"0,070"
"5,315"	"5,315"	"0,042"	"0,001"	"5,791"	"5,318"	"5,323"	"5315,"	"0,266"
"5,293"	"5,293"	"0,043"	"0,001"	"6,899"	"5,294"	"5,275"	"5293,"	"0,001"
"5,267"	"5,267"	"0,041"	"0,001"	"5,210"	"5,266"	"5,241"	"5267,"	"0,071"
"5,239"	"5,239"	"0,040"	"0,001"	"7,181"	"5,240"	"5,238"	"5239,"	"-0,02"
"5,304"	"5,304"	"0,068"	"0,004"	"9,051"	"5,303"	"5,274"	"5304,"	"-0,59"
"5,331"	"5,332"	"0,061"	"0,003"	"3,473"	"5,336"	"5,281"	"5331,"	"0,055"
"5,278"	"5,279"	"0,043"	"0,001"	"7,558"	"5,278"	"5,286"	"5278,"	"-0,08"
"5,332"	"5,332"	"0,047"	"0,002"	"6,832"	"5,332"	"5,326"	"5332,"	"0,160"
"5,264"	"5,264"	"0,043"	"0,001"	"7,281"	"5,260"	"5,256"	"5264,"	"-0,09"
"5,228"	"5,229"	"0,050"	"0,002"	"5,798"	"5,231"	"5,236"	"5228,"	"-0,30"
"5,210"	"5,210"	"0,044"	"0,001"	"6,064"	"5,210"	"5,209"	"5210,"	"0,073"
"5,231"	"5,231"	"0,042"	"0,001"	"7,210"	"5,231"	"5,235"	"5231,"	"-0,16"
"5,232"	"5,232"	"0,043"	"0,001"	"6,963"	"5,233"	"5,232"	"5232,"	"-0,34"
"5,222"	"5,223"	"0,048"	"0,002"	"6,503"	"5,224"	"5,235"	"5222,"	"0,196"
"5,197"	"5,197"	"0,044"	"0,001"	"7,294"	"5,198"	"5,192"	"5197,"	"-0,10"
"5,221"	"5,221"	"0,043"	"0,001"	"8,651"	"5,219"	"5,220"	"5221,"	"0,730"
"5,257"	"5,258"	"0,044"	"0,001"	"6,826"	"5,255"	"5,252"	"5257,"	"0,301"
"5,272"	"5,272"	"0,047"	"0,002"	"5,437"	"5,276"	"5,287"	"5272,"	"-0,03"
"5,218"	"5,218"	"0,039"	"0,001"	"7,460"	"5,218"	"5,219"	"5218,"	"-0,06"
"5,172"	"5,172"	"0,044"	"0,001"	"6,855"	"5,172"	"5,171"	"5172,"	"0,112"
"5,183"	"5,183"	"0,040"	"0,001"	"7,847"	"5,181"	"5,180"	"5183,"	"0,278"
"5,238"	"5,238"	"0,049"	"0,002"	"4,906"	"5,236"	"5,230"	"5238,"	"-0,02"
"5,260"	"5,260"	"0,046"	"0,002"	"5,906"	"5,255"	"5,243"	"5260,"	"0,328"
