""Arit"	""RMS""	""Stan"	""Vari"	""Kurt"	""Medi"	""Mode"	""Summ"	""Skew"
"8,122"	"8,123"	"0,118"	"0,013"	"7,624"	"8,124"	"8,120"	"8122,"	"-0,25"
"8,065"	"8,066"	"0,114"	"0,013"	"7,998"	"8,074"	"8,076"	"8065,"	"-0,40"
"7,885"	"7,886"	"0,116"	"0,013"	"7,435"	"7,878"	"7,868"	"7885,"	"0,120"
"7,868"	"7,869"	"0,133"	"0,017"	"7,724"	"7,866"	"7,868"	"7868,"	"0,064"
"7,749"	"7,751"	"0,139"	"0,019"	"5,457"	"7,740"	"7,868"	"7749,"	"0,028"
"7,499"	"7,500"	"0,138"	"0,019"	"5,484"	"7,493"	"7,459"	"7499,"	"-0,09"
"7,425"	"7,425"	"0,117"	"0,013"	"7,624"	"7,425"	"7,423"	"7425,"	"-0,14"
"7,589"	"7,590"	"0,142"	"0,020"	"5,771"	"7,602"	"7,666"	"7589,"	"-0,35"
"7,536"	"7,537"	"0,149"	"0,022"	"4,639"	"7,543"	"7,541"	"7536,"	"-0,02"
"7,431"	"7,433"	"0,134"	"0,018"	"6,459"	"7,421"	"7,353"	"7431,"	"0,150"
"7,664"	"7,665"	"0,123"	"0,015"	"6,747"	"7,666"	"7,705"	"7664,"	"-0,22"
"7,653"	"7,654"	"0,127"	"0,016"	"6,380"	"7,662"	"7,670"	"7653,"	"-0,00"
"7,431"	"7,433"	"0,125"	"0,015"	"6,412"	"7,436"	"7,455"	"7431,"	"0,209"
"7,204"	"7,205"	"0,120"	"0,014"	"7,788"	"7,201"	"7,194"	"7204,"	"-0,18"
"7,318"	"7,319"	"0,120"	"0,014"	"7,896"	"7,318"	"7,327"	"7318,"	"0,232"
"7,459"	"7,460"	"0,126"	"0,016"	"6,528"	"7,475"	"7,496"	"7459,"	"-0,28"
"7,574"	"7,575"	"0,118"	"0,014"	"7,068"	"7,570"	"7,570"	"7574,"	"0,485"
"7,461"	"7,463"	"0,150"	"0,022"	"5,964"	"7,464"	"7,492"	"7461,"	"0,111"
"7,376"	"7,377"	"0,129"	"0,016"	"6,124"	"7,370"	"7,368"	"7376,"	"-0,02"
"7,535"	"7,536"	"0,114"	"0,013"	"8,762"	"7,536"	"7,553"	"7535,"	"0,253"
"7,573"	"7,573"	"0,111"	"0,012"	"8,372"	"7,573"	"7,582"	"7573,"	"0,086"
"7,591"	"7,592"	"0,117"	"0,013"	"8,268"	"7,591"	"7,600"	"7591,"	"-0,10"
"7,546"	"7,547"	"0,122"	"0,015"	"6,997"	"7,540"	"7,530"	"7546,"	"0,080"
"7,649"	"7,650"	"0,129"	"0,016"	"8,039"	"7,656"	"7,685"	"7649,"	"-0,46"
"7,560"	"7,561"	"0,144"	"0,020"	"5,807"	"7,557"	"7,577"	"7560,"	"0,374"
"7,429"	"7,430"	"0,110"	"0,012"	"8,120"	"7,431"	"7,416"	"7429,"	"-0,08"
"7,564"	"7,565"	"0,113"	"0,012"	"7,639"	"7,562"	"7,592"	"7564,"	"0,513"
"7,600"	"7,601"	"0,116"	"0,013"	"7,951"	"7,600"	"7,596"	"7600,"	"-0,10"
"7,435"	"7,436"	"0,121"	"0,014"	"7,571"	"7,429"	"7,414"	"7435,"	"0,208"
"7,375"	"7,376"	"0,122"	"0,015"	"6,294"	"7,364"	"7,336"	"7375,"	"0,241"
