""Arit"	""RMS""	""Stan"	""Vari"	""Kurt"	""Medi"	""Mode"	""Summ"	""Skew"
"5,246"	"5,246"	"0,042"	"0,001"	"5,902"	"5,246"	"5,262"	"5246,"	"0,139"
"5,234"	"5,234"	"0,039"	"0,001"	"8,077"	"5,235"	"5,225"	"5234,"	"-0,41"
"5,257"	"5,257"	"0,039"	"0,001"	"6,470"	"5,256"	"5,272"	"5257,"	"0,120"
"5,278"	"5,278"	"0,036"	"0,001"	"8,365"	"5,278"	"5,280"	"5278,"	"0,271"
"5,279"	"5,279"	"0,038"	"0,001"	"9,927"	"5,279"	"5,284"	"5279,"	"0,380"
"5,266"	"5,266"	"0,040"	"0,001"	"8,679"	"5,265"	"5,262"	"5266,"	"-0,28"
"5,304"	"5,305"	"0,036"	"0,001"	"8,020"	"5,304"	"5,304"	"5304,"	"0,232"
"5,322"	"5,322"	"0,040"	"0,001"	"6,953"	"5,324"	"5,326"	"5322,"	"0,047"
"5,355"	"5,355"	"0,045"	"0,002"	"6,198"	"5,356"	"5,370"	"5355,"	"0,371"
"5,303"	"5,303"	"0,058"	"0,003"	"3,714"	"5,292"	"5,256"	"5303,"	"0,225"
"5,244"	"5,244"	"0,041"	"0,001"	"6,564"	"5,244"	"5,236"	"5244,"	"-0,43"
"5,294"	"5,295"	"0,036"	"0,001"	"8,607"	"5,292"	"5,284"	"5294,"	"0,170"
"5,262"	"5,263"	"0,054"	"0,002"	"4,919"	"5,262"	"5,225"	"5262,"	"0,226"
"5,251"	"5,251"	"0,045"	"0,002"	"5,546"	"5,250"	"5,229"	"5251,"	"-0,02"
"5,253"	"5,253"	"0,044"	"0,002"	"6,419"	"5,249"	"5,226"	"5253,"	"0,091"
"5,236"	"5,236"	"0,036"	"0,001"	"9,478"	"5,236"	"5,236"	"5236,"	"0,384"
"5,285"	"5,285"	"0,042"	"0,001"	"6,429"	"5,288"	"5,291"	"5285,"	"-0,07"
"5,265"	"5,265"	"0,041"	"0,001"	"8,117"	"5,261"	"5,252"	"5265,"	"0,583"
"5,272"	"5,272"	"0,037"	"0,001"	"9,354"	"5,273"	"5,281"	"5272,"	"-0,22"
"5,280"	"5,280"	"0,037"	"0,001"	"8,610"	"5,278"	"5,278"	"5280,"	"0,262"
"5,241"	"5,242"	"0,045"	"0,002"	"6,058"	"5,245"	"5,261"	"5241,"	"-0,30"
"5,183"	"5,183"	"0,040"	"0,001"	"6,574"	"5,187"	"5,192"	"5183,"	"0,146"
"5,144"	"5,144"	"0,042"	"0,001"	"7,092"	"5,142"	"5,133"	"5144,"	"0,151"
"5,196"	"5,196"	"0,039"	"0,001"	"8,569"	"5,196"	"5,198"	"5196,"	"0,436"
"5,215"	"5,215"	"0,045"	"0,002"	"5,886"	"5,211"	"5,196"	"5215,"	"-0,00"
