""Arit"	""RMS""	""Stan"	""Vari"	""Kurt"	""Medi"	""Mode"	""Summ"	""Skew"
"5,549"	"5,549"	"0,044"	"0,001"	"9,360"	"5,550"	"5,552"	"5549,"	"-0,02"
"5,524"	"5,525"	"0,055"	"0,003"	"5,987"	"5,524"	"5,520"	"5524,"	"0,179"
"5,470"	"5,470"	"0,057"	"0,003"	"7,163"	"5,470"	"5,444"	"5470,"	"0,116"
"5,437"	"5,437"	"0,057"	"0,003"	"7,803"	"5,434"	"5,431"	"5437,"	"0,047"
"5,455"	"5,455"	"0,061"	"0,003"	"6,190"	"5,454"	"5,459"	"5455,"	"0,326"
"5,386"	"5,386"	"0,055"	"0,003"	"8,094"	"5,385"	"5,381"	"5386,"	"-0,09"
"5,399"	"5,400"	"0,061"	"0,003"	"5,670"	"5,397"	"5,385"	"5399,"	"0,060"
"5,417"	"5,418"	"0,057"	"0,003"	"6,450"	"5,418"	"5,418"	"5417,"	"-0,35"
"5,485"	"5,486"	"0,060"	"0,003"	"6,451"	"5,488"	"5,509"	"5485,"	"0,315"
"5,560"	"5,560"	"0,058"	"0,003"	"7,238"	"5,566"	"5,587"	"5560,"	"0,404"
"5,503"	"5,503"	"0,066"	"0,004"	"5,241"	"5,504"	"5,541"	"5503,"	"-0,04"
"5,451"	"5,451"	"0,053"	"0,002"	"7,907"	"5,448"	"5,445"	"5451,"	"0,545"
"5,407"	"5,407"	"0,055"	"0,003"	"7,142"	"5,411"	"5,416"	"5407,"	"-0,26"
"5,377"	"5,377"	"0,055"	"0,003"	"7,194"	"5,380"	"5,378"	"5377,"	"-0,17"
"5,419"	"5,419"	"0,056"	"0,003"	"8,414"	"5,419"	"5,415"	"5419,"	"0,368"
"5,424"	"5,424"	"0,055"	"0,003"	"8,473"	"5,425"	"5,432"	"5424,"	"-0,25"
"5,421"	"5,421"	"0,057"	"0,003"	"7,139"	"5,418"	"5,412"	"5421,"	"-0,00"
"5,452"	"5,453"	"0,056"	"0,003"	"6,514"	"5,452"	"5,462"	"5452,"	"0,004"
"5,337"	"5,337"	"0,063"	"0,004"	"5,631"	"5,336"	"5,299"	"5337,"	"0,185"
"5,315"	"5,315"	"0,060"	"0,003"	"7,523"	"5,317"	"5,324"	"5315,"	"0,160"
"5,384"	"5,384"	"0,061"	"0,003"	"6,302"	"5,389"	"5,401"	"5384,"	"-0,03"
"5,421"	"5,421"	"0,058"	"0,003"	"8,058"	"5,422"	"5,420"	"5421,"	"-0,12"
"5,382"	"5,382"	"0,060"	"0,003"	"6,270"	"5,380"	"5,361"	"5382,"	"-0,21"
"5,396"	"5,396"	"0,059"	"0,003"	"6,611"	"5,398"	"5,407"	"5396,"	"-0,02"
"5,425"	"5,425"	"0,055"	"0,003"	"7,856"	"5,426"	"5,418"	"5425,"	"-0,21"
"5,388"	"5,389"	"0,057"	"0,003"	"7,043"	"5,389"	"5,393"	"5388,"	"-0,02"
"5,416"	"5,416"	"0,054"	"0,003"	"8,444"	"5,416"	"5,417"	"5416,"	"0,108"
"5,402"	"5,402"	"0,055"	"0,003"	"7,941"	"5,402"	"5,405"	"5402,"	"0,055"
"5,349"	"5,349"	"0,057"	"0,003"	"6,930"	"5,348"	"5,349"	"5349,"	"0,079"
"5,341"	"5,341"	"0,054"	"0,002"	"7,118"	"5,337"	"5,328"	"5341,"	"0,114"
