""Arit"	""RMS""	""Stan"	""Vari"	""Kurt"	""Medi"	""Mode"	""Summ"	""Skew"
"5,205"	"5,205"	"0,037"	"0,001"	"5,215"	"5,206"	"5,193"	"5205,"	"-0,31"
"5,220"	"5,220"	"0,032"	"0,001"	"7,350"	"5,219"	"5,218"	"5220,"	"-0,10"
"5,198"	"5,198"	"0,033"	"0,001"	"5,801"	"5,197"	"5,221"	"5198,"	"0,135"
"5,209"	"5,209"	"0,039"	"0,001"	"4,711"	"5,205"	"5,181"	"5209,"	"0,125"
"5,247"	"5,247"	"0,031"	"0,001"	"7,212"	"5,250"	"5,244"	"5247,"	"-0,03"
"5,264"	"5,264"	"0,032"	"0,001"	"7,685"	"5,264"	"5,271"	"5264,"	"0,034"
"5,305"	"5,305"	"0,032"	"0,001"	"7,327"	"5,305"	"5,310"	"5305,"	"0,318"
"5,295"	"5,295"	"0,030"	"0,000"	"6,190"	"5,295"	"5,307"	"5295,"	"0,319"
"5,234"	"5,234"	"0,034"	"0,001"	"5,184"	"5,232"	"5,252"	"5234,"	"-0,24"
"5,240"	"5,240"	"0,032"	"0,001"	"7,068"	"5,241"	"5,243"	"5240,"	"-0,47"
"5,237"	"5,237"	"0,033"	"0,001"	"7,132"	"5,238"	"5,232"	"5237,"	"-0,35"
"5,181"	"5,181"	"0,054"	"0,003"	"3,563"	"5,173"	"5,180"	"5181,"	"0,719"
"5,356"	"5,356"	"0,047"	"0,002"	"4,286"	"5,362"	"5,364"	"5356,"	"-0,52"
"5,364"	"5,364"	"0,031"	"0,001"	"6,341"	"5,364"	"5,361"	"5364,"	"-0,10"
"5,333"	"5,333"	"0,037"	"0,001"	"4,871"	"5,330"	"5,354"	"5333,"	"0,226"
"5,321"	"5,321"	"0,025"	"0,000"	"9,759"	"5,322"	"5,317"	"5321,"	"0,076"
"5,350"	"5,350"	"0,032"	"0,001"	"7,639"	"5,350"	"5,357"	"5350,"	"0,403"
"5,299"	"5,299"	"0,050"	"0,002"	"3,066"	"5,301"	"5,358"	"5299,"	"0,042"
"5,280"	"5,280"	"0,035"	"0,001"	"5,213"	"5,283"	"5,295"	"5280,"	"-0,03"
"5,280"	"5,280"	"0,032"	"0,001"	"7,468"	"5,280"	"5,280"	"5280,"	"-0,22"
"5,261"	"5,261"	"0,031"	"0,001"	"6,245"	"5,259"	"5,263"	"5261,"	"0,235"
"5,289"	"5,289"	"0,037"	"0,001"	"3,986"	"5,294"	"5,306"	"5289,"	"-0,05"
"5,285"	"5,285"	"0,034"	"0,001"	"5,657"	"5,284"	"5,270"	"5285,"	"0,176"
"5,282"	"5,283"	"0,034"	"0,001"	"5,041"	"5,282"	"5,266"	"5282,"	"0,147"
"5,334"	"5,334"	"0,039"	"0,001"	"4,436"	"5,344"	"5,354"	"5334,"	"-0,25"
"5,330"	"5,330"	"0,036"	"0,001"	"4,645"	"5,324"	"5,318"	"5330,"	"0,178"
"5,378"	"5,378"	"0,037"	"0,001"	"5,089"	"5,374"	"5,363"	"5378,"	"-0,00"
"5,345"	"5,345"	"0,041"	"0,001"	"4,452"	"5,339"	"5,358"	"5345,"	"0,157"
"5,306"	"5,306"	"0,032"	"0,001"	"8,156"	"5,306"	"5,310"	"5306,"	"0,502"
"5,345"	"5,345"	"0,049"	"0,002"	"3,269"	"5,352"	"5,364"	"5345,"	"-0,01"
