""Arit"	""RMS""	""Stan"	""Vari"	""Kurt"	""Medi"	""Mode"	""Summ"	""Skew"
"5,337"	"5,338"	"0,112"	"0,012"	"7,967"	"5,334"	"5,336"	"5336,"	"0,165"
"5,302"	"5,303"	"0,113"	"0,012"	"8,646"	"5,298"	"5,294"	"5302,"	"-0,00"
"5,312"	"5,313"	"0,111"	"0,012"	"7,940"	"5,316"	"5,307"	"5312,"	"0,088"
"5,290"	"5,292"	"0,123"	"0,015"	"8,111"	"5,292"	"5,298"	"5290,"	"-0,01"
"5,260"	"5,262"	"0,109"	"0,012"	"9,718"	"5,263"	"5,243"	"5260,"	"-0,09"
"5,308"	"5,309"	"0,124"	"0,015"	"7,939"	"5,305"	"5,316"	"5308,"	"0,182"
"5,245"	"5,246"	"0,130"	"0,016"	"8,120"	"5,246"	"5,241"	"5245,"	"-0,19"
"5,238"	"5,239"	"0,113"	"0,012"	"8,150"	"5,233"	"5,215"	"5238,"	"0,322"
"5,311"	"5,312"	"0,122"	"0,014"	"7,936"	"5,313"	"5,314"	"5311,"	"-0,06"
"5,308"	"5,309"	"0,116"	"0,013"	"8,278"	"5,306"	"5,304"	"5308,"	"0,334"
"5,348"	"5,349"	"0,117"	"0,013"	"8,696"	"5,351"	"5,373"	"5348,"	"-0,52"
"5,275"	"5,276"	"0,129"	"0,016"	"6,774"	"5,271"	"5,273"	"5275,"	"0,100"
"5,228"	"5,229"	"0,115"	"0,013"	"8,663"	"5,230"	"5,244"	"5228,"	"-0,41"
"5,222"	"5,223"	"0,110"	"0,012"	"8,796"	"5,225"	"5,222"	"5222,"	"-0,36"
"5,242"	"5,244"	"0,123"	"0,015"	"8,360"	"5,245"	"5,247"	"5242,"	"-0,15"
"5,291"	"5,292"	"0,120"	"0,014"	"8,526"	"5,288"	"5,280"	"5291,"	"0,394"
"5,227"	"5,228"	"0,115"	"0,013"	"8,367"	"5,228"	"5,219"	"5227,"	"0,105"
"5,237"	"5,239"	"0,116"	"0,013"	"9,220"	"5,236"	"5,242"	"5237,"	"0,297"
"5,275"	"5,276"	"0,115"	"0,013"	"8,134"	"5,275"	"5,285"	"5275,"	"-0,25"
"5,303"	"5,304"	"0,120"	"0,014"	"7,031"	"5,296"	"5,288"	"5303,"	"0,374"
"5,311"	"5,312"	"0,115"	"0,013"	"8,393"	"5,311"	"5,306"	"5311,"	"-0,24"
"5,286"	"5,287"	"0,119"	"0,014"	"7,638"	"5,291"	"5,291"	"5286,"	"-0,63"
"5,384"	"5,385"	"0,115"	"0,013"	"8,987"	"5,385"	"5,389"	"5384,"	"0,176"
"5,343"	"5,345"	"0,119"	"0,014"	"8,759"	"5,345"	"5,344"	"5343,"	"-0,03"
"5,311"	"5,312"	"0,123"	"0,015"	"8,330"	"5,313"	"5,297"	"5311,"	"-0,13"
"5,289"	"5,291"	"0,129"	"0,016"	"8,607"	"5,292"	"5,287"	"5289,"	"-0,34"
"5,271"	"5,273"	"0,123"	"0,015"	"8,782"	"5,272"	"5,276"	"5271,"	"0,030"
"5,211"	"5,212"	"0,113"	"0,012"	"8,426"	"5,211"	"5,205"	"5211,"	"-0,12"
"5,242"	"5,243"	"0,125"	"0,015"	"8,645"	"5,243"	"5,232"	"5242,"	"0,073"
"5,315"	"5,316"	"0,118"	"0,013"	"7,403"	"5,315"	"5,305"	"5315,"	"0,179"
