""Arit"	""RMS""	""Stan"	""Vari"	""Kurt"	""Medi"	""Mode"	""Summ"	""Skew"
"5,419"	"5,420"	"0,106"	"0,011"	"7,079"	"5,423"	"5,395"	"5419,"	"-0,21"
"5,361"	"5,362"	"0,103"	"0,010"	"7,738"	"5,359"	"5,357"	"5361,"	"0,282"
"5,319"	"5,320"	"0,095"	"0,009"	"8,126"	"5,321"	"5,317"	"5319,"	"-0,22"
"5,261"	"5,263"	"0,107"	"0,011"	"8,502"	"5,264"	"5,254"	"5261,"	"-0,35"
"5,211"	"5,212"	"0,096"	"0,009"	"8,211"	"5,213"	"5,204"	"5211,"	"-0,04"
"5,229"	"5,230"	"0,105"	"0,011"	"8,160"	"5,227"	"5,219"	"5229,"	"0,471"
"5,283"	"5,284"	"0,103"	"0,010"	"7,536"	"5,284"	"5,293"	"5283,"	"-0,31"
"5,290"	"5,291"	"0,105"	"0,011"	"8,574"	"5,295"	"5,298"	"5290,"	"-0,65"
"5,294"	"5,295"	"0,101"	"0,010"	"8,049"	"5,292"	"5,300"	"5294,"	"0,079"
"5,304"	"5,305"	"0,099"	"0,009"	"8,586"	"5,303"	"5,297"	"5304,"	"0,136"
"5,322"	"5,323"	"0,099"	"0,009"	"8,244"	"5,313"	"5,305"	"5322,"	"0,647"
"5,339"	"5,340"	"0,112"	"0,012"	"7,802"	"5,345"	"5,349"	"5339,"	"-0,26"
"5,388"	"5,389"	"0,099"	"0,009"	"9,114"	"5,390"	"5,384"	"5388,"	"-0,34"
"5,420"	"5,421"	"0,105"	"0,011"	"8,281"	"5,417"	"5,414"	"5420,"	"0,065"
"5,430"	"5,431"	"0,108"	"0,011"	"7,323"	"5,424"	"5,415"	"5430,"	"0,292"
"5,371"	"5,372"	"0,090"	"0,008"	"8,343"	"5,374"	"5,387"	"5371,"	"-0,23"
"5,329"	"5,330"	"0,103"	"0,010"	"8,721"	"5,327"	"5,322"	"5329,"	"0,041"
"5,335"	"5,336"	"0,111"	"0,012"	"7,265"	"5,334"	"5,325"	"5335,"	"-0,02"
"5,340"	"5,341"	"0,109"	"0,011"	"8,253"	"5,336"	"5,332"	"5340,"	"0,024"
"5,292"	"5,293"	"0,099"	"0,009"	"9,468"	"5,295"	"5,309"	"5292,"	"0,182"
"5,305"	"5,306"	"0,101"	"0,010"	"7,831"	"5,306"	"5,295"	"5305,"	"-0,06"
"5,330"	"5,331"	"0,108"	"0,011"	"7,624"	"5,327"	"5,331"	"5330,"	"0,143"
"5,311"	"5,313"	"0,109"	"0,012"	"7,993"	"5,315"	"5,312"	"5311,"	"-0,34"
"5,313"	"5,315"	"0,108"	"0,011"	"7,488"	"5,314"	"5,320"	"5313,"	"0,016"
"5,284"	"5,285"	"0,114"	"0,013"	"7,302"	"5,286"	"5,277"	"5284,"	"0,142"
"5,229"	"5,230"	"0,102"	"0,010"	"8,050"	"5,234"	"5,223"	"5229,"	"-0,56"
"5,262"	"5,263"	"0,111"	"0,012"	"7,236"	"5,265"	"5,276"	"5262,"	"0,042"
"5,266"	"5,267"	"0,114"	"0,013"	"7,602"	"5,268"	"5,283"	"5266,"	"-0,11"
"5,280"	"5,281"	"0,111"	"0,012"	"7,485"	"5,273"	"5,288"	"5280,"	"0,892"
"5,263"	"5,264"	"0,112"	"0,012"	"7,561"	"5,264"	"5,259"	"5263,"	"-0,07"
