""Arit"	""RMS""	""Stan"	""Vari"	""Kurt"	""Medi"	""Mode"	""Summ"	""Skew"
"13,34"	"13,34"	"0,115"	"0,013"	"6,965"	"13,34"	"13,34"	"13348"	"0,209"
"13,58"	"13,58"	"0,149"	"0,022"	"4,790"	"13,58"	"13,62"	"13580"	"-0,14"
"13,83"	"13,83"	"0,107"	"0,011"	"7,606"	"13,84"	"13,86"	"13838"	"0,177"
"13,86"	"13,86"	"0,096"	"0,009"	"9,243"	"13,86"	"13,86"	"13864"	"0,611"
"13,85"	"13,85"	"0,098"	"0,009"	"7,989"	"13,85"	"13,84"	"13858"	"-0,02"
"13,85"	"13,85"	"0,103"	"0,010"	"8,442"	"13,85"	"13,85"	"13851"	"0,089"
"13,85"	"13,85"	"0,092"	"0,008"	"9,217"	"13,85"	"13,85"	"13851"	"0,092"
"13,84"	"13,84"	"0,111"	"0,012"	"6,738"	"13,84"	"13,84"	"13840"	"-0,23"
"13,83"	"13,83"	"0,090"	"0,008"	"8,972"	"13,83"	"13,82"	"13831"	"-0,62"
"13,82"	"13,82"	"0,097"	"0,009"	"9,012"	"13,83"	"13,83"	"13829"	"0,159"
"13,84"	"13,84"	"0,106"	"0,011"	"6,782"	"13,84"	"13,83"	"13847"	"0,041"
"13,85"	"13,85"	"0,082"	"0,006"	"8,494"	"13,85"	"13,85"	"13858"	"0,218"
"13,85"	"13,85"	"0,074"	"0,005"	"7,827"	"13,85"	"13,84"	"13854"	"0,577"
"13,84"	"13,84"	"0,079"	"0,006"	"7,611"	"13,85"	"13,85"	"13848"	"-0,22"
"13,82"	"13,82"	"0,082"	"0,006"	"7,320"	"13,82"	"13,83"	"13825"	"-0,19"
"13,79"	"13,79"	"0,080"	"0,006"	"7,859"	"13,79"	"13,80"	"13796"	"0,038"
"13,80"	"13,80"	"0,086"	"0,007"	"6,931"	"13,80"	"13,80"	"13807"	"0,119"
"13,82"	"13,82"	"0,092"	"0,008"	"8,074"	"13,81"	"13,81"	"13821"	"0,279"
"13,82"	"13,82"	"0,076"	"0,005"	"9,104"	"13,82"	"13,80"	"13822"	"0,196"
"13,76"	"13,76"	"0,102"	"0,010"	"6,327"	"13,76"	"13,78"	"13765"	"-0,07"
"13,50"	"13,50"	"0,126"	"0,016"	"4,097"	"13,49"	"13,42"	"13501"	"0,090"
"13,31"	"13,31"	"0,099"	"0,009"	"9,112"	"13,31"	"13,31"	"13315"	"-0,18"
"13,31"	"13,31"	"0,088"	"0,007"	"9,611"	"13,31"	"13,31"	"13315"	"-0,49"
"13,36"	"13,36"	"0,107"	"0,011"	"7,203"	"13,36"	"13,36"	"13367"	"0,211"
"13,40"	"13,40"	"0,096"	"0,009"	"9,880"	"13,40"	"13,39"	"13407"	"0,371"
"13,42"	"13,42"	"0,094"	"0,008"	"8,486"	"13,43"	"13,43"	"13425"	"-0,48"
"13,47"	"13,47"	"0,098"	"0,009"	"8,499"	"13,47"	"13,47"	"13477"	"0,585"
"13,46"	"13,46"	"0,091"	"0,008"	"9,610"	"13,46"	"13,46"	"13463"	"0,404"
"13,46"	"13,46"	"0,096"	"0,009"	"7,983"	"13,46"	"13,46"	"13460"	"-0,05"
"13,53"	"13,53"	"0,126"	"0,016"	"4,584"	"13,50"	"13,46"	"13535"	"0,611"
