""Arit"	""RMS""	""Stan"	""Vari"	""Kurt"	""Medi"	""Mode"	""Summ"	""Skew"
"11,96"	"11,96"	"0,049"	"0,002"	"5,566"	"11,96"	"11,99"	"11962"	"-0,22"
"12,02"	"12,02"	"0,044"	"0,001"	"6,411"	"12,02"	"12,02"	"12024"	"-0,22"
"12,03"	"12,03"	"0,045"	"0,002"	"6,668"	"12,03"	"12,03"	"12031"	"0,082"
"12,02"	"12,02"	"0,043"	"0,001"	"6,916"	"12,01"	"12,01"	"12021"	"0,468"
"12,02"	"12,02"	"0,044"	"0,001"	"9,128"	"12,02"	"12,02"	"12023"	"0,413"
"11,99"	"11,99"	"0,036"	"0,001"	"8,654"	"11,99"	"11,98"	"11998"	"0,134"
"11,98"	"11,98"	"0,043"	"0,001"	"7,521"	"11,98"	"11,98"	"11982"	"-0,06"
"12,04"	"12,04"	"0,050"	"0,002"	"5,658"	"12,04"	"12,04"	"12041"	"0,203"
"12,06"	"12,06"	"0,039"	"0,001"	"8,262"	"12,06"	"12,06"	"12060"	"-0,61"
"12,07"	"12,07"	"0,036"	"0,001"	"10,66"	"12,07"	"12,07"	"12075"	"0,614"
"12,06"	"12,06"	"0,042"	"0,001"	"6,882"	"12,06"	"12,07"	"12063"	"-0,20"
"12,08"	"12,08"	"0,045"	"0,002"	"6,464"	"12,08"	"12,06"	"12083"	"-0,25"
"12,10"	"12,10"	"0,040"	"0,001"	"9,566"	"12,10"	"12,10"	"12102"	"0,368"
"12,04"	"12,04"	"0,047"	"0,002"	"5,346"	"12,04"	"12,02"	"12049"	"-0,04"
"12,02"	"12,02"	"0,041"	"0,001"	"9,047"	"12,02"	"12,02"	"12025"	"-0,05"
"12,05"	"12,05"	"0,043"	"0,001"	"7,200"	"12,05"	"12,04"	"12057"	"0,000"
"12,09"	"12,09"	"0,042"	"0,001"	"9,047"	"12,09"	"12,09"	"12095"	"0,306"
"12,07"	"12,07"	"0,038"	"0,001"	"8,677"	"12,07"	"12,07"	"12076"	"0,453"
"12,04"	"12,04"	"0,046"	"0,002"	"6,730"	"12,04"	"12,04"	"12045"	"0,266"
"12,00"	"12,00"	"0,047"	"0,002"	"8,520"	"12,01"	"12,02"	"12007"	"-0,00"
"11,97"	"11,97"	"0,040"	"0,001"	"9,094"	"11,97"	"11,97"	"11974"	"0,194"
"11,98"	"11,98"	"0,045"	"0,002"	"7,886"	"11,98"	"11,98"	"11986"	"0,053"
"11,94"	"11,94"	"0,042"	"0,001"	"7,189"	"11,94"	"11,94"	"11949"	"0,188"
"11,95"	"11,95"	"0,045"	"0,002"	"7,060"	"11,95"	"11,95"	"11956"	"0,008"
"11,99"	"11,99"	"0,046"	"0,002"	"6,973"	"11,99"	"12,00"	"11995"	"0,034"
"12,01"	"12,01"	"0,041"	"0,001"	"10,32"	"12,01"	"12,01"	"12016"	"-0,05"
"12,01"	"12,01"	"0,041"	"0,001"	"8,156"	"12,01"	"12,01"	"12018"	"0,128"
"12,01"	"12,01"	"0,041"	"0,001"	"6,701"	"12,01"	"12,02"	"12010"	"-0,30"
"11,96"	"11,96"	"0,043"	"0,001"	"32,29"	"11,96"	"11,96"	"11963"	"-1,66"
"11,99"	"11,99"	"0,048"	"0,002"	"5,504"	"12,00"	"12,01"	"11996"	"-0,29"
