""Arit"	""RMS""	""Stan"	""Vari"	""Kurt"	""Medi"	""Mode"	""Summ"	""Skew"
"6,742"	"6,743"	"0,081"	"0,006"	"5,877"	"6,749"	"6,796"	"6742,"	"-0,07"
"6,757"	"6,757"	"0,085"	"0,007"	"4,366"	"6,773"	"6,797"	"6757,"	"-0,18"
"6,837"	"6,837"	"0,095"	"0,009"	"3,892"	"6,813"	"6,783"	"6837,"	"0,206"
"6,948"	"6,948"	"0,070"	"0,005"	"6,245"	"6,944"	"6,913"	"6948,"	"0,268"
"6,842"	"6,843"	"0,096"	"0,009"	"3,593"	"6,864"	"6,883"	"6842,"	"-0,31"
"6,635"	"6,636"	"0,090"	"0,008"	"5,030"	"6,634"	"6,621"	"6635,"	"0,076"
"6,560"	"6,560"	"0,076"	"0,005"	"7,136"	"6,550"	"6,538"	"6560,"	"0,502"
"6,533"	"6,533"	"0,076"	"0,005"	"7,671"	"6,530"	"6,544"	"6533,"	"0,448"
"6,649"	"6,650"	"0,123"	"0,015"	"2,837"	"6,631"	"6,601"	"6649,"	"-0,02"
"6,748"	"6,749"	"0,073"	"0,005"	"6,659"	"6,747"	"6,749"	"6748,"	"0,216"
"6,584"	"6,585"	"0,086"	"0,007"	"4,426"	"6,578"	"6,587"	"6584,"	"-0,02"
"6,897"	"6,899"	"0,178"	"0,031"	"2,589"	"6,942"	"7,071"	"6897,"	"-0,53"
"6,990"	"6,991"	"0,095"	"0,009"	"3,812"	"6,986"	"6,935"	"6990,"	"0,080"
"6,882"	"6,883"	"0,067"	"0,004"	"6,495"	"6,881"	"6,875"	"6882,"	"0,310"
"6,804"	"6,805"	"0,082"	"0,006"	"5,917"	"6,801"	"6,810"	"6804,"	"-0,00"
"6,967"	"6,968"	"0,070"	"0,005"	"6,609"	"6,972"	"6,978"	"6967,"	"-0,12"
"7,039"	"7,039"	"0,073"	"0,005"	"7,044"	"7,040"	"7,059"	"7039,"	"-0,22"
"6,861"	"6,862"	"0,089"	"0,008"	"4,742"	"6,837"	"6,824"	"6861,"	"0,546"
"6,878"	"6,878"	"0,075"	"0,005"	"6,921"	"6,884"	"6,906"	"6878,"	"-0,21"
"6,981"	"6,982"	"0,096"	"0,009"	"4,217"	"6,982"	"6,913"	"6981,"	"0,089"
"7,148"	"7,148"	"0,073"	"0,005"	"5,698"	"7,156"	"7,185"	"7148,"	"-0,01"
"7,129"	"7,129"	"0,067"	"0,004"	"7,992"	"7,128"	"7,122"	"7129,"	"-0,31"
"7,050"	"7,051"	"0,094"	"0,008"	"3,949"	"7,049"	"7,095"	"7050,"	"0,091"
"6,904"	"6,905"	"0,073"	"0,005"	"8,014"	"6,900"	"6,902"	"6904,"	"0,387"
"6,925"	"6,926"	"0,062"	"0,003"	"8,997"	"6,924"	"6,928"	"6925,"	"0,348"
"6,868"	"6,868"	"0,076"	"0,005"	"5,887"	"6,873"	"6,884"	"6868,"	"-0,00"
"6,737"	"6,737"	"0,071"	"0,005"	"6,522"	"6,732"	"6,722"	"6737,"	"-0,13"
"6,846"	"6,846"	"0,079"	"0,006"	"6,111"	"6,849"	"6,832"	"6846,"	"-0,06"
"6,743"	"6,743"	"0,070"	"0,004"	"8,026"	"6,740"	"6,739"	"6743,"	"0,520"
"6,830"	"6,831"	"0,112"	"0,012"	"3,460"	"6,806"	"6,797"	"6830,"	"0,229"
