""Arit"	""RMS""	""Stan"	""Vari"	""Kurt"	""Medi"	""Mode"	""Summ"	""Skew"
"7,508"	"7,510"	"0,151"	"0,022"	"6,192"	"7,509"	"7,515"	"7508,"	"0,304"
"7,402"	"7,403"	"0,145"	"0,021"	"7,510"	"7,409"	"7,421"	"7402,"	"-0,10"
"7,320"	"7,322"	"0,154"	"0,023"	"7,451"	"7,321"	"7,320"	"7320,"	"-0,21"
"7,372"	"7,374"	"0,144"	"0,020"	"7,305"	"7,372"	"7,381"	"7372,"	"0,179"
"7,279"	"7,280"	"0,151"	"0,023"	"7,289"	"7,268"	"7,264"	"7279,"	"0,450"
"7,270"	"7,272"	"0,144"	"0,020"	"7,640"	"7,272"	"7,282"	"7270,"	"0,078"
"7,259"	"7,260"	"0,145"	"0,021"	"7,099"	"7,255"	"7,241"	"7259,"	"0,408"
"7,265"	"7,266"	"0,159"	"0,025"	"6,392"	"7,264"	"7,263"	"7265,"	"0,039"
"7,206"	"7,207"	"0,141"	"0,020"	"7,779"	"7,206"	"7,211"	"7206,"	"-0,10"
"7,277"	"7,278"	"0,142"	"0,020"	"7,264"	"7,283"	"7,263"	"7277,"	"0,006"
"7,285"	"7,287"	"0,158"	"0,025"	"7,516"	"7,288"	"7,307"	"7285,"	"-0,09"
"7,226"	"7,227"	"0,155"	"0,024"	"7,069"	"7,228"	"7,234"	"7226,"	"-0,29"
"7,199"	"7,201"	"0,146"	"0,021"	"6,790"	"7,209"	"7,222"	"7199,"	"-0,24"
"7,108"	"7,109"	"0,114"	"0,013"	"10,78"	"7,108"	"7,108"	"7108,"	"-0,19"
"7,208"	"7,209"	"0,138"	"0,019"	"8,386"	"7,201"	"7,180"	"7208,"	"0,247"
"7,381"	"7,382"	"0,149"	"0,022"	"6,911"	"7,387"	"7,404"	"7381,"	"-0,02"
"7,348"	"7,350"	"0,146"	"0,021"	"7,176"	"7,355"	"7,408"	"7348,"	"0,063"
"7,130"	"7,132"	"0,158"	"0,024"	"6,417"	"7,126"	"7,110"	"7130,"	"-0,08"
"7,085"	"7,087"	"0,136"	"0,018"	"8,884"	"7,083"	"7,060"	"7085,"	"0,310"
"7,208"	"7,210"	"0,134"	"0,017"	"8,829"	"7,210"	"7,205"	"7208,"	"0,108"
"7,094"	"7,096"	"0,145"	"0,021"	"8,913"	"7,093"	"7,088"	"7094,"	"-0,16"
"7,083"	"7,085"	"0,155"	"0,024"	"7,701"	"7,084"	"7,080"	"7083,"	"-0,25"
"7,191"	"7,192"	"0,136"	"0,018"	"8,148"	"7,186"	"7,169"	"7191,"	"-0,19"
"7,213"	"7,214"	"0,146"	"0,021"	"8,063"	"7,215"	"7,262"	"7213,"	"0,028"
"7,130"	"7,132"	"0,141"	"0,020"	"7,706"	"7,127"	"7,117"	"7130,"	"0,160"
"7,254"	"7,256"	"0,148"	"0,022"	"6,550"	"7,255"	"7,290"	"7254,"	"0,096"
"7,297"	"7,299"	"0,129"	"0,016"	"9,357"	"7,304"	"7,296"	"7297,"	"-0,47"
"7,297"	"7,298"	"0,129"	"0,016"	"9,376"	"7,301"	"7,299"	"7297,"	"-0,09"
"7,268"	"7,269"	"0,126"	"0,016"	"9,735"	"7,268"	"7,279"	"7268,"	"0,185"
"7,314"	"7,315"	"0,138"	"0,019"	"8,486"	"7,314"	"7,301"	"7314,"	"0,119"
