""Arit"	""RMS""	""Stan"	""Vari"	""Kurt"	""Medi"	""Mode"	""Summ"	""Skew"
"5,219"	"5,220"	"0,085"	"0,007"	"6,627"	"5,218"	"5,222"	"5219,"	"0,071"
"5,246"	"5,247"	"0,077"	"0,006"	"8,404"	"5,249"	"5,256"	"5246,"	"-0,05"
"5,350"	"5,351"	"0,087"	"0,007"	"6,092"	"5,360"	"5,367"	"5350,"	"-0,17"
"5,416"	"5,416"	"0,065"	"0,004"	"8,376"	"5,416"	"5,413"	"5416,"	"-0,20"
"5,360"	"5,360"	"0,090"	"0,008"	"5,306"	"5,370"	"5,392"	"5360,"	"0,028"
"5,269"	"5,270"	"0,077"	"0,005"	"7,961"	"5,268"	"5,262"	"5269,"	"0,093"
"5,278"	"5,278"	"0,079"	"0,006"	"7,987"	"5,278"	"5,295"	"5278,"	"0,253"
"5,257"	"5,258"	"0,079"	"0,006"	"7,023"	"5,255"	"5,242"	"5257,"	"-0,13"
"5,314"	"5,315"	"0,078"	"0,006"	"7,978"	"5,312"	"5,310"	"5314,"	"0,078"
"5,297"	"5,298"	"0,074"	"0,005"	"7,357"	"5,301"	"5,298"	"5297,"	"-0,08"
"5,257"	"5,258"	"0,090"	"0,008"	"6,112"	"5,263"	"5,267"	"5257,"	"-0,08"
"5,206"	"5,206"	"0,078"	"0,006"	"8,374"	"5,205"	"5,212"	"5206,"	"0,005"
"5,284"	"5,285"	"0,087"	"0,007"	"6,998"	"5,285"	"5,280"	"5284,"	"-0,22"
"5,317"	"5,318"	"0,073"	"0,005"	"7,946"	"5,318"	"5,322"	"5317,"	"0,018"
"5,312"	"5,313"	"0,076"	"0,005"	"8,347"	"5,313"	"5,306"	"5312,"	"-0,20"
"5,371"	"5,371"	"0,072"	"0,005"	"7,129"	"5,370"	"5,386"	"5371,"	"0,131"
"5,316"	"5,317"	"0,098"	"0,009"	"5,924"	"5,312"	"5,275"	"5316,"	"0,093"
"5,280"	"5,281"	"0,087"	"0,007"	"9,451"	"5,279"	"5,269"	"5280,"	"0,457"
"5,332"	"5,332"	"0,091"	"0,008"	"7,769"	"5,332"	"5,348"	"5332,"	"0,183"
"5,311"	"5,312"	"0,089"	"0,007"	"7,578"	"5,311"	"5,319"	"5311,"	"0,199"
"5,342"	"5,343"	"0,088"	"0,007"	"8,410"	"5,339"	"5,311"	"5342,"	"0,297"
"5,364"	"5,365"	"0,089"	"0,008"	"7,927"	"5,364"	"5,362"	"5364,"	"0,280"
"5,296"	"5,297"	"0,095"	"0,009"	"7,369"	"5,298"	"5,274"	"5296,"	"-0,56"
"5,283"	"5,283"	"0,083"	"0,007"	"7,741"	"5,284"	"5,283"	"5283,"	"0,016"
"5,255"	"5,256"	"0,088"	"0,007"	"8,207"	"5,256"	"5,264"	"5255,"	"0,220"
"5,329"	"5,330"	"0,088"	"0,007"	"7,929"	"5,328"	"5,333"	"5329,"	"0,174"
"5,350"	"5,351"	"0,084"	"0,007"	"7,820"	"5,352"	"5,333"	"5350,"	"-0,22"
"5,360"	"5,360"	"0,082"	"0,006"	"7,945"	"5,361"	"5,361"	"5360,"	"0,178"
"5,377"	"5,377"	"0,085"	"0,007"	"8,892"	"5,376"	"5,371"	"5377,"	"0,044"
"5,357"	"5,358"	"0,094"	"0,008"	"7,343"	"5,354"	"5,356"	"5357,"	"0,212"
