""Arit"	""RMS""	""Stan"	""Vari"	""Kurt"	""Medi"	""Mode"	""Summ"	""Skew"
"5,315"	"5,315"	"0,047"	"0,002"	"9,320"	"5,313"	"5,312"	"5315,"	"0,426"
"5,292"	"5,292"	"0,046"	"0,002"	"8,364"	"5,293"	"5,297"	"5292,"	"0,284"
"5,245"	"5,245"	"0,055"	"0,003"	"4,774"	"5,237"	"5,225"	"5245,"	"0,128"
"5,298"	"5,299"	"0,064"	"0,004"	"4,708"	"5,297"	"5,319"	"5298,"	"0,103"
"5,369"	"5,369"	"0,049"	"0,002"	"7,178"	"5,371"	"5,373"	"5369,"	"-0,15"
"5,346"	"5,346"	"0,048"	"0,002"	"7,979"	"5,343"	"5,336"	"5346,"	"0,457"
"5,373"	"5,373"	"0,050"	"0,002"	"5,976"	"5,369"	"5,348"	"5373,"	"0,177"
"5,407"	"5,407"	"0,040"	"0,001"	"11,35"	"5,408"	"5,405"	"5407,"	"0,047"
"5,379"	"5,379"	"0,045"	"0,002"	"6,444"	"5,379"	"5,375"	"5379,"	"0,205"
"5,335"	"5,335"	"0,051"	"0,002"	"6,905"	"5,335"	"5,334"	"5335,"	"0,168"
"5,334"	"5,334"	"0,048"	"0,002"	"7,400"	"5,332"	"5,333"	"5334,"	"0,326"
"5,373"	"5,374"	"0,056"	"0,003"	"5,852"	"5,370"	"5,391"	"5373,"	"0,204"
"5,449"	"5,450"	"0,053"	"0,002"	"5,903"	"5,452"	"5,458"	"5449,"	"-0,15"
"5,458"	"5,458"	"0,049"	"0,002"	"8,379"	"5,460"	"5,458"	"5458,"	"-0,04"
"5,438"	"5,438"	"0,048"	"0,002"	"7,589"	"5,434"	"5,428"	"5438,"	"0,472"
"5,513"	"5,513"	"0,043"	"0,001"	"10,73"	"5,515"	"5,519"	"5513,"	"0,224"
"5,498"	"5,498"	"0,048"	"0,002"	"6,370"	"5,497"	"5,500"	"5498,"	"-0,04"
"5,508"	"5,508"	"0,046"	"0,002"	"7,350"	"5,507"	"5,512"	"5508,"	"0,203"
"5,523"	"5,523"	"0,049"	"0,002"	"6,733"	"5,523"	"5,527"	"5523,"	"0,158"
"5,529"	"5,529"	"0,054"	"0,002"	"7,574"	"5,528"	"5,529"	"5529,"	"0,277"
"5,531"	"5,531"	"0,052"	"0,002"	"6,225"	"5,530"	"5,526"	"5531,"	"0,181"
"5,481"	"5,481"	"0,059"	"0,003"	"4,946"	"5,487"	"5,495"	"5481,"	"-0,17"
"5,339"	"5,340"	"0,059"	"0,003"	"5,559"	"5,336"	"5,316"	"5339,"	"0,192"
"5,342"	"5,343"	"0,050"	"0,002"	"5,632"	"5,345"	"5,361"	"5342,"	"-0,11"
"5,404"	"5,404"	"0,043"	"0,001"	"9,771"	"5,406"	"5,394"	"5404,"	"-0,21"
"5,361"	"5,362"	"0,044"	"0,002"	"8,985"	"5,359"	"5,347"	"5361,"	"-0,12"
"5,418"	"5,418"	"0,056"	"0,003"	"6,123"	"5,418"	"5,413"	"5418,"	"0,072"
"5,429"	"5,429"	"0,051"	"0,002"	"6,550"	"5,429"	"5,431"	"5429,"	"0,146"
"5,452"	"5,452"	"0,049"	"0,002"	"6,644"	"5,453"	"5,461"	"5452,"	"0,114"
"5,460"	"5,460"	"0,046"	"0,002"	"6,914"	"5,462"	"5,471"	"5460,"	"0,046"
"5,410"	"5,410"	"0,039"	"0,001"	"11,22"	"5,410"	"5,412"	"5410,"	"0,262"
"5,357"	"5,358"	"0,055"	"0,003"	"4,809"	"5,349"	"5,331"	"5357,"	"-0,19"
"5,380"	"5,381"	"0,047"	"0,002"	"7,695"	"5,385"	"5,388"	"5380,"	"0,400"
"5,418"	"5,418"	"0,048"	"0,002"	"7,458"	"5,415"	"5,411"	"5418,"	"-0,07"
"5,456"	"5,456"	"0,044"	"0,002"	"6,934"	"5,458"	"5,458"	"5456,"	"-0,09"
"5,412"	"5,412"	"0,052"	"0,002"	"6,656"	"5,409"	"5,407"	"5412,"	"0,160"
"5,430"	"5,431"	"0,044"	"0,002"	"6,803"	"5,431"	"5,416"	"5430,"	"-0,01"
"5,491"	"5,491"	"0,049"	"0,002"	"6,944"	"5,491"	"5,506"	"5491,"	"0,144"
"5,519"	"5,520"	"0,051"	"0,002"	"7,986"	"5,520"	"5,529"	"5519,"	"0,251"
"5,449"	"5,449"	"0,068"	"0,004"	"3,497"	"5,446"	"5,503"	"5449,"	"0,233"
"5,354"	"5,354"	"0,050"	"0,002"	"7,866"	"5,354"	"5,353"	"5354,"	"-0,01"
"5,366"	"5,366"	"0,048"	"0,002"	"7,047"	"5,363"	"5,367"	"5366,"	"0,453"
"5,342"	"5,342"	"0,042"	"0,001"	"12,01"	"5,343"	"5,351"	"5342,"	"0,508"
"5,381"	"5,381"	"0,053"	"0,002"	"5,793"	"5,385"	"5,395"	"5381,"	"-0,09"
"5,413"	"5,413"	"0,044"	"0,001"	"7,705"	"5,412"	"5,413"	"5413,"	"0,359"
